,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,2140.70000,758.30000,3445.70000,19998.30000,30940.00000,3762.40000,54829.90000,67194.50000,6338.00000,34156.00000,4419.20000,40067.20000,54786.00000,4.80000,-2101.90000,-5718.30000,12408.50000,67194.50000
2021-12-31,2343.30000,728.90000,3473.10000,19784.00000,34077.30000,3196.80000,57189.70000,69887.90000,6508.60000,38685.50000,5038.90000,45555.30000,60818.30000,4.70000,-1142.40000,-4738.90000,9069.60000,69887.90000
2020-12-31,1861.40000,511.60000,2773.10000,12808.70000,21122.50000,2616.90000,36671.20000,47233.50000,2180.40000,28497.70000,3703.20000,33060.40000,42665.10000,4.60000,-1343.00000,-3759.40000,4568.40000,47233.50000
2019-12-31,1578.00000,462.20000,2446.60000,12084.40000,18496.70000,2284.70000,32997.60000,42801.60000,4243.90000,21127.20000,4166.90000,26062.40000,37311.20000,4.50000,-1016.80000,-2823.60000,5490.40000,42801.60000
2018-12-31,1304.90000,459.00000,2726.50000,11247.10000,16676.20000,2202.90000,30283.90000,33010.40000,4008.40000,18405.10000,4161.40000,23102.40000,27110.80000,4.50000,-1199.50000,-2642.90000,5899.60000,33010.40000
2017-12-31,955.90000,513.60000,2419.60000,11101.00000,17421.70000,2067.60000,30794.70000,33214.30000,1938.90000,19430.30000,4118.90000,24447.30000,26386.20000,4.40000,-1058.10000,-1978.30000,6828.10000,33214.30000
2016-12-31,940.50000,308.40000,2090.40000,10517.30000,16345.30000,1730.50000,28788.80000,30879.20000,1135.30000,18294.70000,3695.40000,22767.70000,23903.00000,4.30000,-1077.00000,-1999.30000,6976.20000,30879.20000
2015-12-31,462.87900,227.35400,1423.13600,9866.42400,13929.68000,1472.99000,25481.14000,26904.27000,779.00100,17068.81000,2237.31300,19412.45000,20191.45000,4.34100,-998.53500,-1836.99600,6712.81800,26904.27000
2014-12-31,480.00000,199.07400,1254.32000,7590.11200,10856.45000,1295.50000,20009.24000,21263.56000,1535.85300,13642.96000,2031.40500,15674.36000,17210.21000,3.99500,-837.32000,-794.22100,4053.35200,21263.56000
2013-12-31,465.10400,151.16500,1125.44200,7177.72800,10424.92000,1266.26400,19158.22000,20283.66000,770.00900,14408.15000,1515.47000,15923.62000,16693.63000,3.97600,-1081.46700,-311.22000,3590.04000,20283.66000
2012-12-31,443.95200,143.56200,1040.30200,5765.85600,6048.72800,999.20000,13049.13000,14089.43000,507.84200,8693.34500,1204.06100,9897.40600,10405.25000,3.95900,-1196.90700,-183.34700,3684.18100,14089.43000
2011-12-31,394.67600,100.61000,990.90100,4981.72200,5171.34300,859.80200,11251.49000,12242.39000,689.01400,7134.49200,1008.74700,8143.23900,8832.25300,3.93600,-1477.89900,-142.61700,3410.14200,12242.39000
2010-12-31,1006.36300,81.47900,1405.65100,3683.47400,4397.77300,616.23600,8964.43400,10370.08000,405.32600,5512.49200,947.70800,6460.20000,6865.52600,4.86000,-1736.59600,38.05300,3504.55800,10370.08000
2009-12-31,304.90500,67.94900,1024.71800,3169.62300,3845.16300,92.79100,7495.21300,8519.93100,279.19700,4141.06000,781.54900,4922.60900,5201.80600,4.79700,-2109.53200,-12.64900,3318.12500,8519.93100
