,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,4782.50000,1264.80000,,,,6047.30000,743.30000,9549.40000,10860.70000,395.40000,21548.80000,28060.60000,4525.60000,8834.10000,,11236.10000,15761.70000,50.00000,12045.60000,-621.00000,12298.90000,28060.60000
2021-09-30,4647.20000,1428.20000,,,,6075.39900,770.00000,7330.40000,9167.90000,376.30000,17644.60000,24168.40000,3524.30000,7070.40000,,8833.50000,12357.80000,50.20000,11550.80000,-377.60000,11810.60000,24168.40000
2020-09-30,3989.80000,1233.10000,,,,5222.90000,813.80000,5378.50000,9415.00000,319.50000,15926.80000,21684.50000,3529.50000,5817.70000,,7285.90000,10815.40000,49.50000,10472.60000,-407.60000,10869.10000,21684.50000
2019-09-30,5957.60000,839.00000,,,197.70000,6994.30000,683.70000,3859.70000,2994.50000,,7537.90000,14532.20000,2293.50000,747.70000,,1614.50000,3908.00000,49.90000,10288.20000,-431.60000,10624.20000,14532.20000
2018-09-30,6910.60000,847.90000,,,,7758.50000,535.00000,3535.90000,2333.40000,220.70000,6625.00000,14383.50000,2277.00000,728.50000,,1898.60000,4175.60000,51.90000,10217.90000,-370.60000,10207.90000,14383.50000
2017-09-30,8749.70000,1001.90000,,,,9751.60100,517.20000,4861.00000,2227.70000,176.50000,7782.40000,17534.00000,1189.40000,1097.60000,198.70000,3408.80000,4598.20000,55.50000,12849.30000,-284.80000,12935.80000,17534.00000
2016-09-30,8483.30000,794.30000,,,,9277.60000,523.20000,3930.00000,2211.30000,156.70000,6821.20000,16098.80000,997.30000,2083.40000,267.30000,2573.30000,3570.60000,57.00000,12226.20000,-347.40000,12528.20000,16098.80000
2015-09-30,8368.10000,838.00000,,,,9206.10000,510.10000,4109.10000,2257.00000,253.40000,7129.60000,16335.70000,1117.80000,2155.30000,265.80000,2722.10000,3839.90000,60.40000,12094.80000,-314.20000,12495.80000,16335.70000
2014-09-30,7596.00000,950.00000,,,,8644.10000,530.70000,4678.20000,2325.90000,178.20000,7713.00000,16357.10000,1219.80000,2149.00000,281.80000,2924.90000,4144.70000,62.30000,11639.50000,-117.70000,12212.40000,16357.10000
2013-09-30,6323.10000,1268.60000,,,,7704.10000,564.10000,4583.50000,2359.20000,179.40000,7686.20000,15390.30000,1742.70000,2295.10000,272.70000,2962.10000,4704.80000,63.10000,10003.90000,6.10000,10685.50000,15390.30000
2012-09-30,6051.39900,1104.60000,,,161.50000,7412.39900,582.70000,4614.50000,2141.90000,,7339.10000,14751.50000,1910.80000,2777.20000,,3080.20000,4991.00000,63.70000,9075.60100,62.00000,9760.50000,14751.50000
2011-09-30,5198.60000,1324.50000,,,216.20000,6847.20000,589.70000,4190.70000,2148.20000,,6928.60100,13775.80000,2178.10000,2168.50000,32.30000,2493.80000,4671.90000,21.80000,8462.50000,40.40000,9103.90000,13775.80000
2010-09-30,4123.71600,1059.10900,384.75800,36.11700,2241.81300,7934.75500,548.95600,91.86600,2006.62900,125.88200,2773.33300,10708.09000,1730.13500,898.90300,91.26100,1247.50700,2977.64200,22.40100,7530.87700,173.71600,7730.44600,10708.09000
2009-09-30,3104.45100,892.31400,613.20900,30.45200,1575.38600,6283.58500,535.45900,507.83300,2004.60000,32.99300,3184.87800,9468.46300,1471.77300,,78.28400,362.25500,1834.02800,22.93200,7505.89000,103.35100,7634.43500,9468.46300
