,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,4892.80000,1705.00000,1344.40000,1849.00000,9791.20000,3298.60000,2234.90000,7599.10000,14762.90000,24554.10000,3272.80000,6281.00000,944.20000,7892.90000,11165.70000,0.10000,16466.50000,-164.90000,13388.40000,24554.10000
2021-12-31,3802.50000,1549.40000,1351.50000,1153.10000,7856.50000,3416.40000,2831.50000,7982.40000,16020.80000,23877.30000,4298.20000,6274.00000,1320.50000,8619.40000,12917.60000,0.10000,13911.70000,-106.70000,10959.70000,23877.30000
2020-12-31,2610.10000,1913.80000,1068.60000,1294.60000,6887.10000,3411.50000,3671.10000,8846.40000,17731.80000,24618.90000,3742.20000,7426.20000,1329.60000,10190.60000,13932.80000,0.10000,13976.30000,-299.00000,10686.10000,24618.90000
2019-12-31,4475.90000,1880.50000,804.20000,1221.20000,8381.80000,3247.30000,2660.90000,9285.19900,18852.50000,27234.30000,4863.80000,4459.00000,1348.90000,9031.40000,13895.20000,0.10000,16455.40000,-135.20000,13339.10000,27234.30000
2018-12-31,3538.00000,1958.50000,929.90000,1214.50000,7640.90000,3601.20000,3066.50000,8826.40000,17648.00000,25288.90000,3295.20000,5936.50000,1389.40000,8962.10100,12257.30000,0.10000,16257.00000,-240.40000,13031.60000,25288.90000
2017-12-31,3689.00000,1787.00000,902.70000,1494.60000,7873.30000,3182.40000,3488.90000,8512.10000,15779.30000,23652.60000,3368.20000,5935.00000,1628.70000,7686.30000,11054.50000,0.10000,15810.40000,-318.40000,12598.10000,23652.60000
2016-12-31,4895.10000,1441.60000,1001.60000,1393.90000,8732.20000,2501.80000,4165.20000,7477.60000,14144.60000,22876.80000,3419.90000,6512.70000,722.50000,7328.30000,10748.20000,0.10000,15071.60000,-319.90000,12128.60000,22876.80000
2015-12-31,3428.50000,1227.00000,893.40000,1151.40000,6700.30000,2187.60000,3868.00000,6748.90000,12804.50000,19504.80000,2577.70000,6521.50000,905.80000,7552.20000,10129.90000,0.10000,12208.40000,-224.00000,9374.90000,19504.80000
2014-12-31,1845.40000,1292.40000,804.00000,593.20000,4535.00000,1765.70000,2225.30000,5788.70000,9779.70000,14314.70000,2218.10000,580.30000,650.10000,1282.60000,3500.70000,0.10000,9283.90000,-59.50000,10814.00000,14314.70000
2013-12-31,1222.72900,824.40600,659.00300,478.79600,3184.93400,1750.71000,1220.12200,5707.56900,8678.40000,11863.33000,1758.27900,592.43300,659.23100,1484.21800,3242.49700,0.12800,6349.13500,-27.74500,8620.83800,11863.33000
2012-12-31,1705.71000,686.84800,447.37300,404.40600,3244.33700,1742.20000,2310.71200,2832.84300,6885.75500,10130.12000,1657.38900,687.39600,604.26600,1508.93400,3166.32300,0.12700,4486.79400,-55.30500,6963.79500,10130.12000
2011-12-31,1690.65700,584.60300,326.84300,373.32400,2975.42700,1571.38700,1748.28500,2754.50500,6074.17700,9049.60400,912.88900,1060.80800,400.27600,1709.72800,2622.61700,0.12800,3106.76100,-26.53500,6426.98700,9049.60400
2010-12-31,1207.74400,605.32900,289.06600,438.28100,2540.42000,1641.63400,991.29900,2919.14000,5552.07300,8092.49300,1050.12200,1066.37900,325.59900,1592.92800,2643.05000,0.12400,1872.48100,-21.61000,5449.44300,8092.49300
2009-12-31,1263.72400,551.20800,293.95000,371.71300,2480.59500,1637.08300,1424.47700,3009.69900,6071.25900,8551.85400,714.94200,1080.20700,254.20500,1575.03000,2289.97200,0.14400,1068.89000,50.49600,6261.88200,8551.85400
