,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-06-30,224.70000,946.90000,156.80000,1328.40000,150.90000,4562.00000,2127.60000,6840.50000,8168.80000,1313.40000,3793.00000,697.30000,4936.40000,6249.80000,1.60000,2824.00000,-226.30000,1919.10000,8168.80000
2021-06-30,274.50000,820.30000,166.40000,1261.30000,177.20000,5145.10000,1536.20000,6858.50000,8119.80000,1288.00000,3887.60000,734.40000,5022.70000,6310.60000,1.60000,2583.80000,9.20000,1809.10000,8119.80000
2020-06-30,476.60000,711.30000,140.10000,1328.00000,161.60000,2258.30000,1141.90000,3561.80000,4889.80000,1341.00000,1387.60000,687.80000,2202.20000,3543.20000,1.60000,2302.60000,-100.40000,1346.50000,4889.80000
2019-06-30,273.20000,664.00000,105.20000,1042.30000,189.00000,2056.20000,593.10000,2838.30000,3880.70000,802.60000,1470.40000,232.80000,1950.60000,2753.20000,1.60000,2087.70000,-71.20000,1127.50000,3880.70000
2018-06-30,263.90000,615.00000,112.20000,991.10000,204.10000,1749.00000,360.50000,2313.60000,3304.70000,777.30000,1053.40000,246.50000,1433.00000,2210.40000,1.60000,1727.00000,-51.90000,1094.30000,3304.70000
2017-06-30,271.10000,589.50000,129.00000,989.60000,198.10000,1645.70000,316.40000,2160.20000,3149.80000,744.90000,1102.10000,142.70000,1401.10000,2146.00000,1.60000,1469.40000,-55.80000,1003.80000,3149.80000
2016-06-30,727.70000,453.40000,108.00000,1289.10000,112.20000,1209.60000,261.80000,1583.60000,2872.70000,692.90000,890.70000,111.80000,1134.40000,1827.30000,1.60000,1297.80000,-38.20000,1045.50000,2872.70000
2015-06-30,324.10000,444.50000,92.80000,861.40000,97.30000,1166.20000,243.20000,1506.70000,2368.10000,508.90000,689.40000,105.10000,931.40000,1440.30000,1.60000,1132.00000,-20.90000,927.80000,2368.10000
2014-06-30,347.60000,424.80000,108.20000,880.60000,88.30000,986.10000,237.10000,1311.50000,2192.10000,484.40000,524.10000,100.50000,746.00000,1230.40000,1.60000,973.90000,10.30000,961.70000,2192.10000
2013-06-30,266.00000,442.40000,98.60000,807.00000,80.90000,899.00000,231.30000,1211.20000,2018.20000,469.50000,524.50000,96.80000,732.70000,1202.20000,1.60000,811.30000,4.20000,816.00000,2018.20000
2012-06-30,320.50000,370.70000,86.20000,777.40000,79.00000,923.30000,207.90000,1210.20000,1987.60000,410.30000,524.40000,100.90000,726.80000,1137.10000,1.50000,686.10000,3.50000,850.50000,1987.60000
2011-06-30,241.50000,406.60000,103.30000,751.40000,83.10000,882.80000,186.70000,1152.60000,1904.00000,782.70000,124.30000,81.10000,324.00000,1106.70000,1.50000,642.20000,16.10000,797.30000,1904.00000
2010-06-30,412.60000,354.30000,101.70000,992.40000,87.40000,555.60000,159.00000,802.00000,1794.40000,486.40000,324.10000,72.80000,500.90000,987.30000,1.50000,546.90000,-1.40000,807.10000,1794.40000
2009-06-30,173.40000,381.00000,83.20000,2051.80000,75.40000,511.20000,136.30000,722.90000,2774.70000,1429.90000,324.10000,37.60000,435.80000,1865.70000,1.40000,432.30000,6.90000,909.00000,2774.70000
