,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,322.00000,593.00000,102.00000,73.00000,1217.00000,15407.00000,10146.00000,3671.00000,37704.00000,38921.00000,2731.00000,20910.00000,1950.00000,28741.00000,31472.00000,4.00000,-10666.00000,-5.00000,7449.00000,38921.00000
2021-12-31,461.00000,543.00000,105.00000,53.00000,1254.00000,15269.00000,10142.00000,4105.00000,37786.00000,39040.00000,2026.00000,20557.00000,2168.00000,28756.00000,30782.00000,4.00000,-9753.00000,-4.00000,8258.00000,39040.00000
2020-12-31,376.00000,431.00000,95.00000,202.00000,1104.00000,15162.00000,14511.00000,119.00000,37664.00000,38768.00000,1969.00000,19151.00000,2379.00000,27338.00000,29307.00000,4.00000,-8472.00000,-4.00000,9461.00000,38768.00000
2019-12-31,333.00000,596.00000,107.00000,168.00000,1204.00000,14666.00000,14914.00000,116.00000,37253.00000,38457.00000,1920.00000,18021.00000,2516.00000,26048.00000,27968.00000,4.00000,-7365.00000,-5.00000,10489.00000,38457.00000
2018-12-31,408.00000,501.00000,172.00000,148.00000,1229.00000,13653.00000,15594.00000,920.00000,31533.00000,32762.00000,1506.00000,16575.00000,3110.00000,19685.00000,21191.00000,4.00000,-6195.00000,-5.00000,11571.00000,32762.00000
2017-12-31,435.00000,398.00000,162.00000,139.00000,1134.00000,12933.00000,15983.00000,879.00000,31095.00000,32229.00000,1292.00000,16044.00000,2554.00000,18598.00000,19890.00000,4.00000,-4505.00000,-4.00000,12339.00000,32229.00000
2016-12-31,692.14600,373.53200,128.72100,130.36200,1324.76100,9805.31500,9407.74800,819.61000,21350.33000,22675.09000,961.35500,12069.39000,2087.22900,14156.62000,15117.98000,3.60500,-3378.83800,-5.88800,7557.11500,22675.09000
2015-12-31,309.54100,313.29600,133.19400,225.21400,981.24500,9580.05700,9293.46600,775.79000,20955.72000,21936.97000,855.36900,12043.74000,1948.63600,13992.38000,14847.75000,3.33800,-2458.39700,-4.39800,7089.22100,21936.97000
2014-12-31,298.72300,313.30800,138.87300,119.30900,1282.99600,8982.78300,8878.03600,,19860.28000,21143.28000,932.13100,11807.53000,1666.39100,13473.92000,14406.05000,3.33900,-2815.42800,15.82000,6737.22800,21143.28000
2013-12-31,406.92000,249.92500,132.00300,77.12100,892.68300,8947.67700,8974.29100,,19702.23000,20594.91000,756.38700,11490.91000,1349.91900,12897.35000,13653.73000,3.34100,-2535.87900,-23.61200,6941.17500,20594.91000
2012-12-31,1017.30200,192.83300,103.80800,73.96100,1581.32400,6917.53100,6061.65300,,14507.38000,16088.71000,1237.85800,10923.19000,910.57100,11899.59000,13137.45000,2.93200,-2625.99000,-61.79100,2951.26400,16088.71000
2011-12-31,332.48800,77.25800,80.52900,23.49200,599.15200,4861.22700,4213.57200,,9945.94300,10545.10000,402.10600,6853.18200,500.35000,7451.09400,7853.20000,2.84400,-2811.94500,-116.99600,2691.89600,10545.10000
2010-12-31,333.54600,59.91200,65.85600,,545.14500,4893.65100,4343.22500,,9924.38400,10469.53000,440.88500,6750.20700,450.17600,7267.06900,7707.95400,2.90800,-2960.08200,-178.97800,2761.57500,10469.53000
2009-12-31,979.66000,44.43100,68.55100,,1196.03300,4895.98300,4390.22600,,9760.57300,10956.61000,754.10500,6361.95400,514.69100,6950.76200,7704.87100,2.92700,-2628.33600,-124.22400,3251.73900,10956.61000
