,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,882.32500,486.71000,128.00500,209.72700,,1706.76700,371.45100,1728.88500,476.27700,3430.30400,5137.07100,1347.69600,648.07800,304.66000,1044.26200,2391.95800,2765.67300,3895.24000,-91.63700,2745.11300,5137.07100
2021-12-31,1088.94000,337.59600,115.72100,173.51200,,1715.76900,305.91100,1161.62300,439.22600,2670.53000,4386.29900,971.22500,347.58800,225.66300,674.39900,1645.62400,2467.70100,3046.28800,-33.31100,2740.67500,4386.29900
2020-12-31,928.43200,338.48700,75.95600,135.71200,,1478.58700,311.12500,992.67700,436.10600,2472.19800,3950.78500,796.80800,346.79300,207.10200,660.95900,1457.76700,2217.93900,2350.33300,-17.42500,2493.01800,3950.78500
2019-12-31,705.21000,304.54600,55.80200,103.78500,,1169.34300,275.85500,834.23100,345.42900,2187.88200,3357.22500,672.39100,346.01900,162.52100,581.94000,1254.33100,2046.23700,1761.68800,-36.92600,2102.89400,3357.22500
2018-12-31,533.29800,297.08200,28.16200,92.55000,,951.09200,252.63000,887.72900,222.30900,1517.56200,2468.65400,708.98200,345.29100,77.26200,471.27100,1180.25300,1936.12400,772.70900,-24.78000,1288.40100,2468.65400
2017-12-31,688.08700,190.42600,33.20900,68.26600,,979.98800,251.34200,944.84400,230.30100,1438.72600,2418.71400,642.39800,644.36900,81.23200,787.11400,1429.51200,1829.95000,341.00300,-3.63000,989.20200,2418.71400
2016-12-31,468.28900,157.17100,39.47500,37.09900,,702.03400,238.60700,831.57800,311.74000,1394.87400,2096.90800,585.56200,643.49300,59.31400,769.57600,1355.13800,1820.08100,136.90200,-25.16000,741.77000,2096.90800
2015-12-31,711.18400,164.84800,56.76200,31.44100,,964.23500,228.59900,848.25400,299.92900,1381.28000,2345.51500,536.30700,343.28800,59.59600,433.09300,969.40000,1863.08600,-73.99100,-12.42500,1376.11500,2345.51500
2014-12-31,1022.60600,122.49200,56.39400,126.31300,523.93000,1851.73500,230.11200,914.69900,209.36600,1357.82100,3209.55600,1393.09100,348.67600,79.48900,482.89100,1875.98200,1851.42700,-326.40800,12.34700,1333.57400,3209.55600
2013-12-31,633.04800,107.62400,50.22000,123.38200,306.81700,1221.09100,238.71500,768.59800,196.52500,1207.51000,2428.60100,1148.21000,,71.43600,124.28600,1272.49600,1757.24200,-485.30600,24.31100,1156.10500,2428.60100
2012-12-31,827.06100,97.82100,36.16300,127.03600,303.15400,1391.23500,244.43900,418.20400,225.56600,895.76800,2287.00300,1217.27000,,104.03300,154.56200,1371.83200,1721.55600,-649.54900,43.95000,915.17100,2287.00300
2011-12-31,604.63900,136.77200,43.24300,64.21600,215.11300,1063.98300,262.51700,365.35900,58.03900,697.28600,1761.26900,1015.36600,131.92000,128.89400,334.77300,1350.13900,1733.88400,-1083.24500,50.95300,411.13000,1761.26900
2010-12-31,570.12400,191.89300,39.03400,78.35500,,879.40600,285.11500,338.09100,206.12400,852.71000,1732.11600,697.54800,406.40400,266.11000,757.91400,1455.46200,1715.54100,-1138.85300,53.05600,276.65400,1732.11600
2009-12-31,571.29900,200.62800,24.16500,54.65500,,850.74700,311.50200,28.84100,161.04900,559.84000,1410.58700,397.89800,436.01200,376.00600,904.31600,1302.21400,1674.39600,-1177.98300,43.27000,108.37300,1410.58700
