,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1508.00000,2054.00000,2808.00000,241.00000,6611.00000,5584.00000,1062.00000,11247.00000,547.00000,19661.00000,26272.00000,4068.00000,13373.00000,1120.00000,16099.00000,20167.00000,11274.00000,-518.00000,6105.00000,26272.00000
2021-12-31,536.00000,1667.00000,1524.00000,80.00000,3807.00000,4193.00000,823.00000,2147.00000,521.00000,8168.00000,11975.00000,2505.00000,3176.00000,1002.00000,4933.00000,7438.00000,9677.00000,-329.00000,4537.00000,11975.00000
2020-12-31,1488.00000,1242.00000,978.00000,55.00000,3763.00000,3939.00000,820.00000,1485.00000,411.00000,7146.00000,10909.00000,1973.00000,3227.00000,1097.00000,5041.00000,7014.00000,8091.00000,-328.00000,3895.00000,10909.00000
2019-12-31,503.00000,1181.00000,1038.00000,43.00000,2765.00000,3713.00000,975.00000,1386.00000,338.00000,6711.00000,9476.00000,1754.00000,3409.00000,977.00000,4824.00000,6578.00000,6399.00000,-300.00000,2898.00000,9476.00000
2018-12-31,470.00000,1318.00000,1046.00000,40.00000,2874.00000,3719.00000,979.00000,1367.00000,290.00000,6439.00000,9313.00000,1779.00000,2970.00000,930.00000,4155.00000,5934.00000,5847.00000,-247.00000,3379.00000,9313.00000
2017-12-31,608.00000,1230.00000,900.00000,54.00000,2792.00000,3762.00000,976.00000,1304.00000,338.00000,6746.00000,9538.00000,1559.00000,3315.00000,1154.00000,4680.00000,6239.00000,4920.00000,-177.00000,3299.00000,9538.00000
2016-12-31,668.00000,1024.00000,720.00000,60.00000,2472.00000,3577.00000,852.00000,990.00000,307.00000,5885.00000,8357.00000,1077.00000,2890.00000,1239.00000,4259.00000,5336.00000,4320.00000,-358.00000,3021.00000,8357.00000
2015-12-31,997.00000,991.00000,682.00000,49.00000,2787.00000,3609.00000,838.00000,830.00000,300.00000,5799.00000,8586.00000,1550.00000,2468.00000,1603.00000,4207.00000,5757.00000,3621.00000,-348.00000,2829.00000,8586.00000
2014-12-31,812.00000,1042.00000,782.00000,33.00000,2698.00000,3733.00000,876.00000,881.00000,355.00000,6098.00000,8796.00000,1338.00000,2586.00000,1653.00000,4380.00000,5718.00000,3491.00000,-165.00000,3078.00000,8796.00000
2013-12-31,1025.00000,1210.00000,804.00000,28.00000,3182.00000,3425.00000,841.00000,940.00000,341.00000,5836.00000,9018.00000,1545.00000,2887.00000,1662.00000,4774.00000,6319.00000,3011.00000,-4.00000,2699.00000,9018.00000
2012-12-31,1012.00000,1036.00000,711.00000,31.00000,2839.00000,3350.00000,800.00000,942.00000,463.00000,6161.00000,9000.00000,1355.00000,2930.00000,2935.00000,5915.00000,7270.00000,1993.00000,-89.00000,1730.00000,9000.00000
2011-12-31,746.00000,1106.00000,712.00000,35.00000,2703.00000,3269.00000,824.00000,957.00000,344.00000,5815.00000,8518.00000,1385.00000,2873.00000,2827.00000,5792.00000,7177.00000,2424.00000,-850.00000,1341.00000,8518.00000
2010-12-31,818.00000,1080.00000,610.00000,68.00000,2668.00000,3017.00000,838.00000,1026.00000,289.00000,5613.00000,8281.00000,1542.00000,2990.00000,2707.00000,5813.00000,7355.00000,1851.00000,-670.00000,926.00000,8281.00000
2009-12-31,1257.00000,983.00000,522.00000,52.00000,2856.00000,2797.00000,872.00000,1092.00000,311.00000,5556.00000,8412.00000,1607.00000,3259.00000,2823.00000,6219.00000,7826.00000,1505.00000,-660.00000,586.00000,8412.00000
