,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,233.91200,752.39000,255.80900,89.34100,107.58000,1439.03200,1465.65500,311.60200,3805.17800,148.27900,6163.73900,7602.77000,1091.58500,2707.53100,174.82200,3530.10700,4621.69200,0.50900,1432.90100,-262.05700,2981.07800,7602.77000
2021-12-31,241.21400,642.88100,199.14600,93.54300,97.31100,1274.09500,1291.06800,201.35200,3773.07300,151.53700,5750.19700,7024.29200,1033.18500,2663.56400,242.85900,3452.12500,4485.31000,0.50500,980.75100,-164.74000,2538.98200,7024.29200
2020-12-31,228.42400,617.74000,185.69500,96.71200,72.56000,1201.13100,1124.35800,,1875.26200,1074.13100,4289.70000,5490.83100,839.75100,1929.57100,205.21500,2532.91100,3372.66200,0.49800,625.41400,-138.87400,2118.16900,5490.83100
2019-12-31,238.01400,514.03300,160.66000,52.58800,56.03000,1021.32500,1044.12800,,1616.40500,826.18800,3671.46500,4692.79000,710.18100,1849.66600,182.93300,2344.78100,3054.96200,0.48900,280.32900,-178.01900,1637.82800,4692.79000
2018-12-31,195.44200,472.24800,127.89200,53.44700,48.80700,897.83600,932.87700,,1320.07600,681.70400,2958.04300,3855.87900,558.22200,1636.59800,179.12100,1977.87900,2536.10100,0.48200,42.09600,-172.70300,1319.77800,3855.87900
2017-12-31,163.79400,430.01600,114.95600,36.54400,81.31500,826.62500,781.97300,,872.77700,425.89300,2103.29700,2929.92200,463.50400,1114.10500,194.81500,1419.01100,1882.51500,0.87500,288.65800,-144.73100,1047.40700,2929.92200
2016-12-31,117.62600,364.05000,95.83300,34.31500,45.00800,656.83200,755.82700,,861.80800,408.58700,2054.96800,2711.80000,429.59300,1207.69600,159.23900,1443.08200,1872.67500,0.86300,165.30300,-253.76400,839.12500,2711.80000
2015-12-31,117.94700,270.06800,93.73500,30.19800,47.28600,559.23400,677.95900,,506.25900,285.01700,1509.26300,2068.49700,311.76100,845.99700,89.06200,1019.18000,1330.94100,0.85500,10.53800,-135.54800,737.55600,2068.49700
2014-12-31,160.02300,257.99100,89.04300,26.90000,45.29700,579.25400,676.79700,,338.55100,234.35200,1291.32400,1870.57800,294.68600,740.55700,99.54500,899.96500,1194.65100,0.84500,-138.77500,-74.24700,675.92700,1870.57800
2013-12-31,155.92700,220.63000,89.39600,,86.59700,552.55000,676.18200,,315.23800,61.96400,1080.20600,1632.75600,247.03400,642.35200,70.63200,741.64500,988.67900,0.82500,-265.47300,5.35700,644.07700,1632.75600
2012-12-31,109.68500,203.00100,88.47000,,83.60100,485.25200,717.02000,,293.53100,48.65900,1101.09200,1586.34400,342.24700,527.13600,104.96600,640.89700,983.14400,0.79600,-368.30100,6.60300,603.20000,1586.34400
2011-12-31,68.90500,184.81000,92.96900,,79.05200,425.84300,738.03000,,290.99800,57.65900,1132.47700,1558.32000,216.79700,703.18700,108.45100,814.16000,1030.95700,0.78500,-465.59600,4.59300,527.36300,1558.32000
2010-12-31,179.16000,192.97200,100.29700,,76.60300,552.89400,752.65700,,319.67400,62.32300,1180.47900,1733.37300,259.78000,670.27000,114.59600,784.86600,1044.64600,0.77500,-575.16200,33.63500,688.72700,1733.37300
2009-12-31,182.57400,190.10100,102.72300,,111.88400,595.60100,863.74400,,661.81500,53.18000,1608.49200,2204.09300,249.77300,457.41900,122.06600,580.49600,830.26900,0.77100,-238.49300,45.03700,1373.82400,2204.09300
