,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,2087.00000,1313.00000,341.00000,108.00000,3849.00000,34242.00000,,502.00000,2814.00000,38063.00000,41912.00000,2471.00000,17896.00000,863.00000,26816.00000,29287.00000,2066.00000,10363.00000,-388.00000,12625.00000,41912.00000
2021-12-31,2316.00000,1148.00000,339.00000,70.00000,3873.00000,33015.00000,,451.00000,2691.00000,36658.00000,40531.00000,2233.00000,16185.00000,752.00000,24798.00000,27031.00000,2202.00000,11630.00000,-408.00000,13500.00000,40531.00000
2020-12-31,3131.00000,912.00000,302.00000,96.00000,4441.00000,32444.00000,,63.00000,2373.00000,35352.00000,39793.00000,2019.00000,16304.00000,737.00000,24664.00000,26683.00000,2288.00000,11259.00000,-598.00000,13110.00000,39793.00000
2019-12-31,1954.00000,986.00000,261.00000,77.00000,3278.00000,32168.00000,,,2279.00000,34979.00000,38257.00000,2151.00000,15993.00000,796.00000,24243.00000,26394.00000,773.00000,11404.00000,-675.00000,11863.00000,38257.00000
2018-12-31,1111.00000,1010.00000,263.00000,181.00000,2565.00000,31998.00000,943.00000,,1223.00000,34164.00000,36729.00000,1915.00000,14739.00000,805.00000,22234.00000,24149.00000,818.00000,12157.00000,-661.00000,12580.00000,36729.00000
2017-12-31,419.00000,970.00000,372.00000,154.00000,1915.00000,31764.00000,907.00000,,1153.00000,33824.00000,35739.00000,1894.00000,11790.00000,916.00000,19124.00000,21018.00000,890.00000,14084.00000,-486.00000,14721.00000,35739.00000
2016-12-31,1020.00000,938.00000,407.00000,122.00000,2487.00000,31150.00000,840.00000,,937.00000,32927.00000,35414.00000,2040.00000,10962.00000,1122.00000,21680.00000,23720.00000,928.00000,11253.00000,-640.00000,11694.00000,35414.00000
2015-12-31,1438.00000,982.00000,350.00000,70.00000,2840.00000,30174.00000,803.00000,,928.00000,31905.00000,34745.00000,1952.00000,10515.00000,1431.00000,21125.00000,23077.00000,966.00000,11238.00000,-665.00000,11668.00000,34745.00000
2014-12-31,961.00000,1129.00000,273.00000,68.00000,2572.00000,28584.00000,779.00000,,1118.00000,30481.00000,33053.00000,2107.00000,9514.00000,1398.00000,19770.00000,21877.00000,992.00000,10734.00000,-666.00000,11176.00000,33053.00000
2013-12-31,1079.00000,1052.00000,252.00000,64.00000,2602.00000,27291.00000,752.00000,,1137.00000,29180.00000,31782.00000,2424.00000,9022.00000,1170.00000,18854.00000,21278.00000,1009.00000,9936.00000,-523.00000,10504.00000,31782.00000
2012-12-31,1371.00000,1114.00000,274.00000,75.00000,2953.00000,26050.00000,695.00000,,1025.00000,27770.00000,30723.00000,2645.00000,9052.00000,1794.00000,18942.00000,21587.00000,1020.00000,9010.00000,-936.00000,9136.00000,30723.00000
2011-12-31,1306.00000,1000.00000,240.00000,78.00000,2806.00000,24974.00000,678.00000,,886.00000,26538.00000,29344.00000,2558.00000,8734.00000,1983.00000,18318.00000,20876.00000,1049.00000,8275.00000,-875.00000,8468.00000,29344.00000
2010-12-31,1346.00000,993.00000,218.00000,106.00000,2855.00000,23799.00000,673.00000,,814.00000,25286.00000,28141.00000,2537.00000,8051.00000,1800.00000,16904.00000,19441.00000,370.00000,9087.00000,-771.00000,8700.00000,28141.00000
2009-12-31,1090.00000,995.00000,203.00000,124.00000,2570.00000,23064.00000,650.00000,,603.00000,24317.00000,26887.00000,1865.00000,7895.00000,1831.00000,16254.00000,18119.00000,393.00000,9090.00000,-809.00000,8768.00000,26887.00000
