,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,2211.00000,1261.70000,264.60000,73.10000,3810.40000,898.50000,45.50000,184.00000,202.00000,2417.60000,6228.00000,3078.40000,990.40000,149.80000,3431.20000,6509.60000,0.80000,-1546.40000,-20.20000,-281.60000,6228.00000
2021-12-31,2551.70000,807.70000,175.80000,65.40000,3600.60000,687.60000,440.80000,188.70000,235.80000,2318.50000,5919.10000,2318.10000,988.40000,138.70000,2802.60000,5120.70000,0.80000,-467.90000,-4.80000,798.40000,5919.10000
2020-12-31,1837.30000,720.00000,139.80000,43.30000,2740.40000,448.00000,118.30000,124.60000,63.20000,1304.10000,4044.50000,1829.50000,,146.50000,1359.00000,3188.50000,0.20000,-352.10000,0.70000,856.00000,4044.50000
2019-12-31,2065.60000,544.30000,117.90000,41.20000,2769.00000,344.30000,144.30000,98.30000,60.00000,1110.20000,3879.20000,1455.80000,,44.90000,1081.00000,2536.80000,0.20000,160.80000,1.10000,1342.40000,3879.20000
2018-12-31,1649.60000,444.50000,90.00000,36.80000,2220.90000,271.40000,67.00000,60.30000,20.80000,857.10000,3078.00000,1256.40000,,13.00000,811.40000,2067.80000,0.20000,-57.50000,-0.80000,1010.20000,3078.00000
2017-12-31,1251.30000,348.20000,77.30000,40.00000,1716.80000,245.40000,98.00000,30.90000,19.90000,541.10000,2257.90000,1027.20000,,8.60000,641.30000,1668.50000,0.20000,-319.60000,-0.80000,589.40000,2257.90000
2016-12-31,1085.52500,312.99800,106.88700,33.30600,1538.71600,137.24900,224.98300,39.38100,16.86700,601.22500,2139.94100,829.44000,,14.26200,472.82000,1302.26000,0.17300,37.62000,-0.76500,837.68100,2139.94100
2015-12-31,891.35100,259.56300,83.86800,35.76100,1270.54300,91.06700,272.95900,22.33200,14.39300,519.96700,1790.51000,678.67000,,19.18800,356.46300,1035.13300,0.17100,68.48100,-0.93300,755.37700,1790.51000
2014-12-31,720.02000,184.74100,69.47700,31.14300,1005.38100,58.91900,271.72400,5.65600,10.53000,419.39300,1424.77400,496.45600,,17.38500,252.35200,748.80800,0.16600,113.64500,-0.34900,675.96600,1424.77400
2013-12-31,491.37000,130.47100,48.67200,14.05300,735.54600,36.65200,351.67500,9.71300,4.82000,432.91800,1168.46400,413.06100,,0.47100,169.64300,582.70400,0.16100,121.86300,1.09200,585.76000,1168.46400
2012-12-31,413.69400,107.64200,21.06000,13.21500,569.27400,25.63800,325.89200,2.11700,4.05100,406.22300,975.49700,319.30400,,0.56400,145.25900,464.56300,0.16200,110.60100,3.09100,510.93400,975.49700
2011-12-31,390.27300,95.52200,16.24900,13.94800,523.57000,7.96600,148.41400,,8.27400,211.17700,734.74700,266.86400,,21.62400,109.52900,376.39300,0.15600,43.76500,0.40200,358.35400,734.74700
2010-12-31,313.51000,72.33600,13.51700,8.84900,420.15800,7.05600,73.95000,,1.27200,125.26400,545.42200,218.38200,,11.60300,94.58600,312.96800,0.15000,-18.72700,2.18100,232.45400,545.42200
2009-12-31,260.31400,54.55100,10.64900,3.10000,342.21700,6.38700,,,1.19500,44.99600,387.21300,180.56500,,2.80300,64.19600,244.76100,0.06700,-59.97200,1.08400,142.45200,387.21300
