,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,908.00000,8891.00000,2068.00000,1776.00000,13643.00000,25575.00000,1204.00000,9653.00000,298.00000,38795.00000,52438.00000,9902.00000,37714.00000,1615.00000,42609.00000,52511.00000,3.00000,-2280.00000,-490.00000,-73.00000,52438.00000
2021-12-31,1451.00000,8095.00000,1986.00000,2010.00000,13542.00000,24063.00000,886.00000,9540.00000,598.00000,37200.00000,50742.00000,9582.00000,34342.00000,2060.00000,39671.00000,49253.00000,3.00000,-532.00000,-404.00000,1489.00000,50742.00000
2020-12-31,1793.00000,7051.00000,2025.00000,1464.00000,12333.00000,23199.00000,810.00000,8578.00000,546.00000,35157.00000,47490.00000,8704.00000,30795.00000,1940.00000,35894.00000,44598.00000,3.00000,777.00000,-502.00000,2892.00000,47490.00000
2019-12-31,621.00000,7380.00000,1849.00000,1346.00000,11196.00000,22715.00000,564.00000,8269.00000,480.00000,33862.00000,45058.00000,7757.00000,33577.00000,1420.00000,37866.00000,45623.00000,3.00000,-2351.00000,-460.00000,-565.00000,45058.00000
2018-12-31,502.00000,6789.00000,1732.00000,1190.00000,10213.00000,19757.00000,594.00000,7953.00000,690.00000,28994.00000,39207.00000,7569.00000,32033.00000,1248.00000,34556.00000,42125.00000,3.00000,-4572.00000,-381.00000,-2918.00000,39207.00000
2017-12-31,732.00000,6501.00000,1573.00000,1171.00000,9977.00000,17895.00000,617.00000,7394.00000,710.00000,26616.00000,36593.00000,6158.00000,32858.00000,1374.00000,35430.00000,41588.00000,4.00000,-6532.00000,-278.00000,-4995.00000,36593.00000
2016-12-31,646.00000,5826.00000,1503.00000,1111.00000,9086.00000,16352.00000,542.00000,6704.00000,1074.00000,24672.00000,33758.00000,5834.00000,31160.00000,1249.00000,33557.00000,39391.00000,4.00000,-6968.00000,-338.00000,-5633.00000,33758.00000
2015-12-31,741.00000,5889.00000,1439.00000,1163.00000,9232.00000,15014.00000,610.00000,6731.00000,1157.00000,23512.00000,32744.00000,5516.00000,30255.00000,1904.00000,33274.00000,38790.00000,4.00000,-7338.00000,-265.00000,-6046.00000,32744.00000
2014-12-31,566.00000,5694.00000,1279.00000,1025.00000,8930.00000,14355.00000,659.00000,6416.00000,620.00000,22050.00000,30980.00000,5480.00000,29088.00000,1832.00000,31998.00000,37478.00000,4.00000,-7575.00000,-323.00000,-6498.00000,30980.00000
2013-12-31,414.00000,5208.00000,1179.00000,747.00000,8037.00000,13619.00000,569.00000,5903.00000,466.00000,20794.00000,28831.00000,5695.00000,27590.00000,1525.00000,30064.00000,35759.00000,4.00000,-9403.00000,-257.00000,-6928.00000,28831.00000
2012-12-31,705.00000,4672.00000,1086.00000,915.00000,7763.00000,13185.00000,619.00000,5539.00000,679.00000,20312.00000,28075.00000,6172.00000,27495.00000,1776.00000,30244.00000,36416.00000,4.00000,-10960.00000,-457.00000,-8341.00000,28075.00000
2011-12-31,373.00000,4533.00000,1054.00000,679.00000,7233.00000,12834.00000,649.00000,5251.00000,641.00000,19665.00000,26898.00000,5554.00000,25645.00000,1720.00000,28358.00000,33912.00000,4.00000,-9423.00000,-440.00000,-7014.00000,26898.00000
2010-12-31,411.00000,3832.00000,897.00000,848.00000,6919.00000,11352.00000,1511.00000,2693.00000,1003.00000,16933.00000,23852.00000,4269.00000,27633.00000,1749.00000,30377.00000,34646.00000,4.00000,-11888.00000,-428.00000,-10794.00000,23852.00000
2009-12-31,312.00000,3692.00000,802.00000,579.00000,6577.00000,11427.00000,2019.00000,2577.00000,1113.00000,17554.00000,24131.00000,4313.00000,24824.00000,1915.00000,27796.00000,32109.00000,1.00000,-8763.00000,-450.00000,-7978.00000,24131.00000
