,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2021-12-31,337.00000,10968.00000,11305.00000,1027.00000,57749.00000,2769.00000,2577.00000,65273.00000,76578.00000,48136.00000,4944.00000,5655.00000,10599.00000,58735.00000,4.00000,15764.00000,172.00000,17843.00000,76578.00000
2020-12-31,239.00000,10279.00000,10518.00000,1122.00000,56532.00000,2861.00000,2243.00000,63593.00000,74111.00000,45823.00000,4352.00000,5380.00000,9732.00000,55555.00000,4.00000,13918.00000,1170.00000,18556.00000,74111.00000
2019-12-31,262.00000,9911.00000,10173.00000,1181.00000,53030.00000,2983.00000,2366.00000,60644.00000,70817.00000,45042.00000,4348.00000,5157.00000,9505.00000,54547.00000,4.00000,12685.00000,52.00000,16270.00000,70817.00000
2018-12-31,121.00000,8352.00000,8473.00000,1006.00000,46790.00000,1947.00000,2173.00000,53834.00000,62307.00000,40133.00000,4265.00000,4808.00000,9073.00000,49206.00000,4.00000,11055.00000,-1579.00000,13101.00000,62307.00000
2017-12-31,180.00000,7971.00000,8151.00000,1034.00000,45146.00000,1949.00000,167166.00000,217109.00000,225260.00000,39458.00000,4678.00000,167630.00000,172308.00000,211766.00000,4.00000,9642.00000,663.00000,13494.00000,225260.00000
2016-12-31,328.00000,7389.00000,7717.00000,991.00000,39757.00000,611.00000,171856.00000,216859.00000,224576.00000,35049.00000,4494.00000,168130.00000,172624.00000,207673.00000,4.00000,13114.00000,-337.00000,16903.00000,224576.00000
2015-12-31,448.00000,26726.00000,27174.00000,974.00000,72918.00000,498.00000,121762.00000,201174.00000,228348.00000,78902.00000,5084.00000,126720.00000,131804.00000,210706.00000,5.00000,12550.00000,-329.00000,17642.00000,228348.00000
2014-12-31,399.00000,26349.00000,26748.00000,831.00000,76278.00000,498.00000,135938.00000,218265.00000,245013.00000,79687.00000,5653.00000,140953.00000,146606.00000,226293.00000,5.00000,11191.00000,928.00000,18720.00000,245013.00000
2013-12-31,1428.00000,26795.00000,28223.00000,877.00000,98401.00000,498.00000,143884.00000,249661.00000,277884.00000,105799.00000,6106.00000,147074.00000,153180.00000,258979.00000,5.00000,10683.00000,-79.00000,18905.00000,277884.00000
2012-12-31,2421.00000,8208.00000,10629.00000,977.00000,134250.00000,654.00000,144336.00000,287884.00000,298513.00000,117358.00000,6967.00000,151741.00000,158708.00000,276066.00000,5.00000,10745.00000,2843.00000,22447.00000,298513.00000
2011-12-31,2581.00000,8214.00000,10795.00000,1029.00000,134948.00000,1006.00000,146144.00000,291814.00000,302609.00000,122311.00000,6530.00000,152282.00000,158812.00000,281123.00000,5.00000,11001.00000,1251.00000,21486.00000,302609.00000
2010-12-31,2062.00000,8135.00000,10197.00000,1150.00000,130995.00000,1051.00000,161371.00000,308149.00000,318346.00000,122517.00000,6589.00000,168929.00000,175518.00000,298035.00000,5.00000,12077.00000,-1001.00000,20311.00000,318346.00000
2009-12-31,2142.00000,8788.00000,10930.00000,1026.00000,125556.00000,1204.00000,154375.00000,296787.00000,307717.00000,123343.00000,6632.00000,159848.00000,166480.00000,289823.00000,4.00000,11164.00000,-3312.00000,17894.00000,307717.00000
