,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,4117.90000,942.10000,893.20000,299.80000,6253.00000,2374.20000,2623.60000,1058.60000,,6721.00000,12974.00000,1422.10000,439.30000,439.30000,1861.40000,0.40000,3500.10000,-162.50000,11112.60000,12974.00000
2021-12-31,4204.00000,782.70000,587.10000,271.10000,5844.90000,1876.40000,4415.50000,976.80000,,7710.10000,13555.00000,1149.80000,453.70000,453.70000,1603.50000,0.40000,4760.90000,-24.20000,11951.50000,13555.00000
2020-12-31,5111.40000,645.50000,601.50000,267.50000,6625.90000,1577.30000,1757.70000,840.30000,,4543.00000,11168.90000,965.20000,444.60000,444.60000,1409.80000,0.40000,3261.30000,24.90000,9759.10000,11168.90000
2019-12-31,3221.70000,645.20000,595.50000,200.20000,4662.60000,1272.90000,2623.50000,748.60000,,5070.60000,9733.20000,1030.20000,418.30000,418.30000,1448.50000,0.10000,2494.50000,12.40000,8284.70000,9733.20000
2018-12-31,3063.10000,682.30000,409.00000,178.80000,4333.20000,812.00000,1771.30000,501.60000,,3513.50000,7846.70000,820.60000,338.60000,338.60000,1159.20000,0.10000,1521.70000,-13.30000,6687.50000,7846.70000
2017-12-31,1960.60000,507.90000,241.20000,99.20000,2808.90000,613.10000,1885.90000,396.90000,,2967.90000,5776.80000,662.80000,333.60000,333.60000,996.40000,0.10000,115.00000,-15.50000,4780.40000,5776.80000
2016-12-31,2554.60000,430.20000,182.30000,83.30000,3250.40000,458.40000,2283.30000,201.10000,142.80000,3236.50000,6486.90000,596.50000,112.60000,112.60000,709.10000,,1574.90000,-8.90000,5777.80000,6486.90000
2015-12-31,1559.80000,394.30000,167.90000,73.50000,2195.50000,432.10000,1788.00000,323.90000,,2711.80000,4907.30000,491.90000,95.90000,95.90000,587.80000,,899.20000,-9.50000,4319.50000,4907.30000
2014-12-31,1232.50000,315.10000,181.70000,82.60000,1811.90000,387.40000,1264.50000,324.30000,,2147.50000,3959.40000,501.20000,78.80000,78.80000,580.00000,,487.70000,-5.10000,3379.40000,3959.40000
2013-12-31,1403.50000,301.40000,179.60000,38.30000,1932.40000,309.90000,1350.40000,231.50000,,2017.90000,3950.30000,380.90000,68.00000,68.00000,448.90000,,979.40000,2.10000,3501.40000,3950.30000
2012-12-31,1324.40000,370.30000,121.50000,67.30000,1892.80000,241.80000,1596.10000,241.50000,,2166.40000,4059.20000,401.60000,77.50000,77.50000,479.10000,,1333.40000,6.60000,3580.10000,4059.20000
2011-12-31,1029.20000,297.90000,112.10000,20.90000,1466.30000,197.20000,1142.60000,187.90000,,1596.80000,3063.10000,320.60000,96.90000,96.90000,417.50000,,901.90000,0.90000,2645.60000,3063.10000
2010-12-31,910.40000,246.80000,86.80000,23.30000,1275.80000,159.80000,698.50000,183.00000,,1114.60000,2390.40000,273.80000,79.20000,79.20000,353.00000,,718.90000,1.60000,2037.40000,2390.40000
2009-12-31,555.40000,205.40000,57.60000,21.40000,847.10000,125.70000,616.60000,166.90000,,962.60000,1809.70000,202.80000,69.60000,69.60000,272.40000,,511.70000,1.30000,1537.30000,1809.70000
