,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,697.99900,1556.78600,119.20700,49.03600,2786.10700,264.58100,3514.92500,297.53100,4513.62900,7299.73600,3597.60000,2453.60700,423.46400,3474.33800,7071.93800,0.08200,3856.82600,-101.61000,227.79800,7299.73600
2021-12-31,756.49300,1365.18000,117.83800,,2620.08000,273.56200,3665.73500,308.68900,4796.24400,7416.32400,3378.78000,2456.83300,511.88700,3666.48600,7045.26600,0.08200,3049.02700,-81.43100,371.05800,7416.32400
2020-12-31,712.58300,1241.50800,109.21200,,2323.05800,336.76500,3752.54500,256.31600,4992.90900,7315.96700,2947.49400,1958.28600,539.59300,3278.04500,6225.53900,0.08200,2255.46700,-99.22800,1090.42800,7315.96700
2019-12-31,280.83600,1326.01200,146.02600,,2018.74100,344.57900,3862.81300,222.24500,5132.55300,7151.29400,2856.53400,2043.88800,479.74600,3356.16700,6212.70100,0.08200,1988.72200,-77.93800,938.59300,7151.29400
2018-12-31,156.36800,1255.11800,165.23700,,1811.73900,267.66500,3965.70100,156.36900,4389.73500,6201.47400,2620.93500,2116.10900,613.67300,2729.78200,5350.71700,0.08200,1755.43200,-39.86700,850.75700,6201.47400
2017-12-31,538.90800,1176.84300,124.63200,542.96500,2588.60800,221.50700,4279.31600,193.74200,4694.56500,7283.17300,2822.58500,2899.12400,577.99900,3477.12300,6299.70800,0.08200,1647.28400,1.50800,983.46500,7283.17300
2016-12-31,474.23300,643.01300,84.54000,,1343.19600,121.60600,815.25400,87.27900,1024.13900,2367.33500,1460.24900,664.39100,181.81700,846.20800,2306.45700,0.07800,1644.00500,-49.68300,60.87800,2367.33500
2015-12-31,372.97600,580.76300,62.42700,,1140.99700,108.73300,811.90300,106.88400,1027.52000,2168.51700,1323.49200,783.83100,193.59400,977.42500,2300.91700,0.07800,1450.68400,-44.40200,-132.40000,2168.51700
2014-12-31,365.30200,552.10700,63.86800,,1096.65800,97.99000,617.35400,92.34900,807.69300,1904.35100,1215.21800,385.00000,142.96200,527.96200,1743.18000,0.07800,1275.04900,-21.17000,161.17100,1904.35100
2013-12-31,423.99000,490.92300,63.68200,,1084.88200,91.75900,525.31000,81.63100,698.70000,1783.58200,1159.92300,136.25000,126.09300,262.34300,1422.26600,0.07800,1091.28300,8.34500,361.31600,1783.58200
2012-12-31,299.85200,463.96800,75.71300,,927.46600,89.08900,531.32700,73.39500,693.81100,1621.27700,1070.00000,115.00000,129.60400,244.60400,1314.60400,0.07800,908.48200,5.96800,306.67300,1621.27700
2011-12-31,142.73900,421.03300,63.52100,,705.78500,68.13200,515.61000,90.34500,674.08700,1379.87200,921.13700,150.00000,126.95100,276.95100,1198.08800,0.07800,742.57900,5.79300,181.78400,1379.87200
2010-12-31,120.18100,364.81800,64.14800,,621.10200,47.61400,523.84900,93.09300,664.55600,1285.65800,811.15200,180.00000,107.45000,287.45000,1098.60200,0.07800,605.67700,14.63800,187.05600,1285.65800
2009-12-31,116.57400,317.59800,53.40000,,557.82500,52.46600,537.72500,67.26300,657.45400,1215.27900,898.17300,124.00000,80.57100,204.57100,1102.74400,0.07800,509.39200,11.32200,112.53500,1215.27900
