,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,1140.47900,3405.38100,176.13400,,4721.99400,346.67600,8578.71000,504.64600,9938.42600,14660.42000,3250.84500,3357.25600,,5305.18300,8556.02700,127.39300,4225.78400,-975.13000,6104.39200,14660.42000
2021-09-30,1014.24900,3101.41800,176.22800,,4291.89500,353.11700,8762.75800,471.54900,10340.71000,14632.61000,3209.92400,2839.93300,,5447.84800,8657.77200,128.89300,4015.57800,-794.44200,5974.83700,14632.61000
2020-09-30,1209.93400,3167.31000,162.35500,,4539.59900,319.37100,6297.43100,409.99000,7814.75400,12354.35000,2941.59700,1676.94100,,3557.08900,6498.68600,129.74800,4020.57500,-933.05700,5855.66700,12354.35000
2019-09-30,1082.20100,2840.20900,189.35800,,4111.76800,308.14300,6097.62000,430.54700,7350.94300,11462.71000,3073.70600,1201.24500,,2620.34700,5694.05300,132.87900,3939.17400,-916.81200,5768.65800,11462.71000
2018-09-30,634.87000,2513.93400,171.09600,1236.68400,4556.58400,257.85900,5368.80800,2462.54400,8089.21100,12645.79000,3145.69300,2144.16700,150.60400,3555.74800,6701.44100,142.21800,3809.99100,-806.70300,5944.35400,12645.79000
2017-09-30,774.15100,2102.54300,119.48600,,2996.18000,349.91100,3342.74600,692.02200,4384.67900,7380.85900,1926.22700,235.00000,,967.28100,2893.50800,120.38600,3721.69800,-653.51400,4487.35100,7380.85900
2016-09-30,655.71600,2115.66300,93.09100,,2864.47000,319.67300,3416.55000,759.32900,4495.55200,7360.02200,1782.68600,385.33000,,1247.15400,3029.84000,120.95100,3586.64700,-610.59400,4330.18200,7360.02200
2015-09-30,460.85900,2548.74300,113.07600,,3122.67800,381.23800,3402.19700,879.81300,4663.24800,7785.92600,1981.16600,584.43400,,1448.30200,3429.46800,123.15300,3496.21200,-464.76400,4356.45800,7785.92600
2014-09-30,732.64700,2867.55500,121.97600,,3892.07100,456.79700,3466.54100,638.25000,4561.58800,8453.65900,2349.84600,764.07500,,1598.15300,3947.99900,131.75300,3527.19300,-363.54900,4505.66000,8453.65900
2013-09-30,1256.40500,2548.99000,103.07700,,4039.55800,379.29600,2240.73500,614.55500,3234.58600,7274.14400,1887.61900,415.08600,,1138.19000,3025.80900,131.63900,3300.96100,-304.12700,4248.33500,7274.14400
2012-09-30,1032.45700,2348.89200,88.35900,,3612.07700,331.13100,2010.34000,885.88500,3227.35600,6839.43300,1747.05200,528.26000,,1333.49200,3080.54400,129.93600,2920.44100,-281.88700,3758.88900,6839.43300
2011-09-30,905.63300,2077.49400,63.54600,,3180.09100,284.63300,1872.76800,861.73400,3019.13500,6199.22600,2168.52600,2.04200,,707.31500,2875.84100,127.78500,2564.28100,-237.53800,3323.38500,6199.22600
2010-09-30,938.84200,1659.84400,50.65800,,2767.04200,215.03200,1118.88900,582.95400,1916.87500,4683.91700,1239.45300,0.50900,,579.53590,1818.98900,125.90900,2251.36600,-285.74100,2864.92800,4683.91700
2009-09-30,1033.61900,1618.56100,49.20300,,2818.44900,240.35000,929.84200,439.97300,1610.16500,4428.61400,1295.90100,0.73700,,501.23800,1797.13900,124.23000,2009.33800,-211.51500,2631.47500,4428.61400
