,cash-on-hand,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,149.82900,454.05500,15039.83000,2050.64300,17238.33000,17826.12000,207.81500,7157.88600,606.90000,7857.71900,8179.21300,6.18500,-119.54800,10.58100,9646.90900,17826.12000
2021-12-31,334.66300,589.34000,15041.57000,2536.36800,17722.40000,18459.20000,220.30800,7475.70200,515.74800,8004.93000,8349.01700,6.16700,299.11500,2.21600,10110.18000,18459.20000
2020-12-31,293.18800,512.43600,9351.71300,1512.01300,10999.69000,11614.50000,146.45700,5355.48000,329.90400,5701.16800,5944.24400,4.32500,-162.81200,,5670.25400,11614.50000
2019-12-31,123.94700,342.63600,9429.22300,976.55300,10556.11000,10997.87000,170.08200,5315.76700,472.45700,5806.16700,6068.96000,4.31800,-904.67900,,4928.90700,10997.87000
2018-12-31,143.58100,328.10900,9491.90300,1022.93300,10670.99000,10999.10000,174.90300,4873.87200,515.59000,5413.14400,5588.04700,4.21400,-787.70700,,5411.05300,10999.10000
2017-12-31,238.51300,450.10800,10220.39000,937.75310,11313.62000,11763.73000,185.70200,5478.92700,560.80700,6055.87700,6241.57900,4.25600,-761.33700,-1.48000,5522.14700,11763.73000
2016-12-31,142.48600,347.50600,9729.78300,1005.61700,10883.09000,11230.60000,145.75100,5066.36800,528.65400,5681.97500,5827.72600,4.25000,-676.86700,5.76600,5402.87400,11230.60000
2015-12-31,189.53400,388.61000,9453.48900,1349.72300,10955.56000,11344.17000,150.05900,5376.31000,549.14200,6012.16100,6162.21900,4.13400,-572.33500,5.58800,5181.95100,11344.17000
2014-12-31,187.32200,433.72100,8062.82000,1606.55700,9827.67900,10261.40000,129.50900,4595.97000,542.67600,5230.12500,5359.63500,4.11800,-1006.57800,45.12200,4901.76500,10261.40000
2013-12-31,148.76800,343.33700,7244.66300,1899.93200,9320.29300,9663.63000,124.29000,4221.40100,462.26000,4769.81400,4894.10400,4.09700,-996.05800,-64.98200,4769.52600,9663.63000
2012-12-31,141.87500,384.11900,7201.82500,1993.91700,9367.11500,9751.23400,111.88100,4195.31700,430.48000,4706.87300,4818.75400,4.07800,-824.00800,-66.18200,4932.48000,9751.23400
2011-12-31,112.88200,379.90700,7078.16700,2008.71400,9248.85500,9628.76200,125.54400,4114.38500,413.61600,4623.07500,4748.61900,4.06900,-702.99900,-107.66000,4880.14300,9628.76200
2010-12-31,125.15400,364.18300,7043.38000,2279.26400,9469.69100,9833.87500,154.48200,4058.98700,364.06000,4518.10700,4672.58900,4.06400,-515.16400,-23.85300,5161.28600,9833.87500
2009-12-31,122.05800,367.00000,7539.19300,2115.89100,9816.07900,10183.08000,142.67000,4434.38300,387.74400,4922.43100,5065.10100,4.05500,-338.73800,-96.43200,5117.97800,10183.08000
