,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1251.00000,1477.00000,,2692.00000,5420.00000,19166.00000,18823.00000,2172.00000,40161.00000,45581.00000,4803.00000,20418.00000,6760.00000,30341.00000,35144.00000,1002.00000,-7546.00000,-1099.00000,10437.00000,45581.00000
2021-12-31,354.00000,1544.00000,,9638.00000,11536.00000,20895.00000,22956.00000,2606.00000,46457.00000,57993.00000,7169.00000,27428.00000,7507.00000,38984.00000,46153.00000,1024.00000,-5998.00000,-2158.00000,11840.00000,57993.00000
2020-12-31,406.00000,1962.00000,,808.00000,3176.00000,26338.00000,27089.00000,2791.00000,56218.00000,59394.00000,6634.00000,29410.00000,8846.00000,41598.00000,48232.00000,1097.00000,-8031.00000,-2813.00000,11162.00000,59394.00000
2019-12-31,1690.00000,2259.00000,,819.00000,4768.00000,26079.00000,31101.00000,2794.00000,59974.00000,64742.00000,7258.00000,32394.00000,8702.00000,44014.00000,51272.00000,1090.00000,-6814.00000,-2680.00000,13470.00000,64742.00000
2018-12-31,492.00000,2398.00000,,930.00000,3820.00000,26408.00000,38810.00000,1218.00000,66436.00000,70256.00000,5531.00000,35409.00000,6961.00000,44897.00000,50428.00000,1080.00000,-1643.00000,-2461.00000,19828.00000,70256.00000
2017-12-31,556.00000,2557.00000,,1081.00000,4194.00000,26852.00000,43248.00000,1317.00000,71417.00000,75611.00000,4857.00000,37283.00000,7567.00000,47263.00000,52120.00000,1069.00000,1103.00000,-1995.00000,23491.00000,75611.00000
2016-12-31,222.00000,2017.00000,,2923.00000,5162.00000,17039.00000,23978.00000,838.00000,41855.00000,47017.00000,5349.00000,18185.00000,6613.00000,28269.00000,33618.00000,547.00000,-1.00000,-2117.00000,13399.00000,47017.00000
2015-12-31,126.00000,1943.00000,,581.00000,2650.00000,18069.00000,26225.00000,660.00000,44954.00000,47604.00000,4604.00000,18722.00000,6649.00000,28940.00000,33544.00000,544.00000,272.00000,-1934.00000,14060.00000,47604.00000
2014-12-31,128.00000,1988.00000,,580.00000,2696.00000,18433.00000,27295.00000,679.00000,46407.00000,49103.00000,3918.00000,19953.00000,7055.00000,30162.00000,34080.00000,569.00000,147.00000,-2017.00000,15023.00000,49103.00000
2013-12-31,168.00000,1977.00000,,597.00000,3907.00000,18646.00000,28411.00000,823.00000,47880.00000,51787.00000,4409.00000,20181.00000,5253.00000,30187.00000,34596.00000,584.00000,66.00000,-802.00000,17191.00000,51787.00000
2012-12-31,211.00000,1959.00000,,552.00000,3638.00000,18909.00000,30597.00000,796.00000,50302.00000,53940.00000,4595.00000,19400.00000,7092.00000,30056.00000,34651.00000,626.00000,1285.00000,-1701.00000,19289.00000,53940.00000
2011-12-31,128.00000,1977.00000,,393.00000,3517.00000,19444.00000,32214.00000,869.00000,52527.00000,56044.00000,4017.00000,21356.00000,6044.00000,31200.00000,35217.00000,619.00000,2319.00000,-1012.00000,20827.00000,56044.00000
2010-12-31,173.00000,815.00000,,74.00000,1143.00000,8754.00000,11813.00000,328.00000,20895.00000,22038.00000,1011.00000,7316.00000,1695.00000,11380.00000,12391.00000,305.00000,3302.00000,-141.00000,9647.00000,22038.00000
2009-12-31,161.80700,801.27300,35.75500,41.43700,1123.59100,9097.13900,11698.18000,643.82300,21439.14000,22562.73000,1707.19500,7253.65300,1878.50300,11388.74000,13095.93000,299.18900,3232.76900,-85.30600,9466.79900,22562.73000
