,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,47823.20000,92253.70000,500.50000,51736.00000,691.30000,9855.20000,62783.00000,155036.70000,133988.50000,4790.40000,4998.30000,9788.69900,143777.20000,408.60000,13798.50000,-1569.20000,11259.50000,155036.70000
2021-12-31,70275.09000,112546.30000,488.70000,61575.00000,706.20000,8573.60000,71343.50000,183889.80000,164044.30000,3651.20000,4177.50000,7828.70000,171873.00000,408.60000,13117.30000,-35.60000,12016.80000,183889.80000
2020-12-31,65862.70000,100583.80000,514.90000,59813.10000,707.20000,8384.90000,69420.10000,170003.90000,148189.50000,4589.50000,5536.60000,10126.10000,158315.60000,408.60000,12207.70000,428.00000,11688.30000,170003.90000
2019-12-31,43935.40000,76086.20000,483.30000,51160.80000,696.80000,8401.30000,60742.20000,136828.40000,116908.00000,3998.80000,4830.60000,8829.40000,125737.40000,408.60000,11656.70000,-194.70000,11091.00000,136828.40000
2018-12-31,40091.50000,74115.00000,428.20000,51242.80000,669.30000,5757.20000,58097.50000,132212.50000,115161.00000,3401.30000,3141.90000,6543.20000,121704.20000,408.60000,10776.80000,-453.70000,10508.30000,132212.50000
2017-12-31,51933.90000,86041.91000,464.60000,46791.10000,605.60000,4687.30000,52548.61000,138590.50000,121562.00000,3224.30000,3588.00000,6812.30000,128374.30000,408.60000,9685.10000,-414.30000,10216.20000,138590.50000
2016-12-31,38781.40000,73486.20000,466.60000,44500.90000,519.40000,4953.80000,50440.70000,123926.90000,107439.70000,3104.90000,3611.90000,6716.80000,114156.50000,408.60000,8908.40000,-370.00000,9770.40000,123926.90000
2015-12-31,38601.60000,73745.70000,446.90000,37566.20000,526.40000,4464.40000,43003.89000,116749.60000,101822.10000,3146.00000,3075.60000,6221.60000,108043.70000,408.60000,8242.80000,-372.70000,8705.90000,116749.60000
2014-12-31,36432.60000,69374.59000,444.30000,33729.30000,533.20000,5865.10000,40571.90000,109946.50000,94260.20000,3389.30000,3848.10000,7237.40000,101497.60000,408.60000,7625.40000,-319.70000,8448.90000,109946.50000
2013-12-31,36002.60000,66465.20000,458.80000,30718.60000,540.70000,4764.00000,36482.10000,102947.30000,87539.10000,3982.90000,3513.30000,7496.20000,95035.30000,408.60000,7134.80000,-244.30000,7912.00000,102947.30000
2012-12-31,30244.70000,61500.40000,469.90000,31025.50000,537.80000,3930.20000,35963.40000,97463.80000,83255.20000,4104.40000,2577.20000,6681.60100,89936.80000,408.60000,6702.70000,-283.00000,7527.00000,97463.80000
2011-12-31,34589.60000,64137.00000,494.50000,30991.70000,532.00000,4068.50000,36086.70000,100223.70000,85623.10000,4536.90000,2946.40000,7483.30000,93106.40000,408.60000,6302.30000,-345.60000,7117.30000,100223.70000
2010-12-31,29260.80000,57774.50000,504.50000,20824.10000,400.90000,4339.90000,26069.40000,83843.90000,69189.50000,4902.30000,2921.80000,7824.10000,77013.60000,408.60000,5972.10000,-305.30000,6830.30000,83843.90000
2009-12-31,30629.90000,58921.20000,543.50000,18623.50000,401.60000,3651.70000,23220.30000,82141.50000,68046.90000,4666.40000,3116.10000,7782.50000,75829.40000,408.60000,5576.00000,-361.60000,6312.10000,82141.50000
