,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,775.25300,,775.25300,16037.96000,232.51700,506.57400,16777.05000,17552.31000,514.68000,6870.82600,6870.82600,7385.50600,17.52700,-110.23100,-80.31700,10166.80000,17552.31000
2021-12-31,734.59900,,734.59900,15307.00000,302.89400,1036.41900,16646.31000,17380.91000,482.09100,7475.27900,7543.52800,8025.61900,17.51300,-550.41600,-53.58700,9355.28900,17380.91000
2020-12-31,257.56000,,257.56000,10408.57000,204.65400,945.76100,11558.99000,11816.55000,394.65500,2544.99200,2844.99200,3239.64700,17.45800,-914.79100,-43.40100,8576.89900,11816.55000
2019-12-31,409.74300,,409.74300,9807.60500,205.93600,942.16000,10955.70000,11365.44000,383.28400,1902.49300,1902.49300,2285.77700,17.44200,-665.57500,-64.89000,9079.66700,11365.44000
2018-12-31,361.21800,,361.21800,9442.11100,209.85600,915.08500,10567.05000,10928.27000,371.25900,1412.28300,1412.28300,1783.54200,17.41300,-577.36000,-64.06000,9144.72800,10928.27000
2017-12-31,433.37600,,433.37600,9230.09900,214.95700,854.46000,10299.52000,10732.89000,337.20100,1431.32200,1431.32200,1768.52300,17.38500,-675.71100,-75.06400,8964.36900,10732.89000
2016-12-31,183.68800,,183.68800,8922.57600,212.71900,811.35500,9946.65000,10130.34000,297.93500,390.74900,390.74900,688.68400,17.32900,-487.58100,-95.10600,9441.65400,10130.34000
2015-12-31,104.28500,,104.28500,8557.71300,211.45800,904.77600,9673.94700,9778.23200,261.57800,319.01600,319.01600,580.59400,17.29300,-434.61000,-68.54800,9197.63800,9778.23200
2014-12-31,187.71200,,187.71200,8485.28800,228.63200,917.04400,9630.96400,9818.67600,247.14100,64.36400,64.36400,311.50500,17.24500,-374.82300,-48.15600,9507.17100,9818.67600
2013-12-31,19.16900,428.13900,447.30800,8239.77800,246.85400,942.32600,9428.95900,9876.26600,918.35800,139.05300,139.05300,1057.41100,17.17800,-318.48200,-0.50000,8818.85500,9876.26600
2012-12-31,17.23900,,428.23400,7331.93200,209.37400,823.86300,8365.16900,8793.40300,201.71100,468.82800,468.82800,670.53900,17.13900,-279.47400,-1.00500,8122.86400,8793.40300
2011-12-31,139.00800,,541.70100,7379.19700,209.83300,801.83100,8390.86000,8932.56200,210.96600,398.31400,410.66900,621.63500,17.02400,-259.57800,-23.01400,8310.92700,8932.56200
2010-12-31,558.53100,495.22900,1053.76000,7532.81600,216.72500,692.03200,8441.57300,9495.33300,205.76900,568.41700,580.63000,786.39900,16.92700,-236.41000,-15.77300,8708.93400,9495.33300
2009-12-31,763.78900,561.70300,1325.49200,7562.03300,212.90400,705.21600,8480.15300,9805.64500,212.25300,518.88900,532.01100,744.26400,16.84200,-153.75900,-15.00200,9061.38100,9805.64500
