,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1917.00000,2704.00000,2239.00000,347.00000,3209.00000,10416.00000,94570.00000,2045.00000,5567.00000,,122944.00000,134891.00000,15724.00000,50656.00000,13949.00000,84635.00000,100359.00000,5417.00000,11538.00000,-167.00000,34532.00000,134891.00000
2021-12-31,1798.00000,2251.00000,1993.00000,330.00000,2593.00000,8965.00000,91108.00000,1935.00000,5725.00000,,116868.00000,127534.00000,10921.00000,50120.00000,14394.00000,84046.00000,94967.00000,5279.00000,10929.00000,-237.00000,32567.00000,127534.00000
2020-12-31,1065.00000,2663.00000,2028.00000,276.00000,2585.00000,8617.00000,87634.00000,2316.00000,5767.00000,,112516.00000,122935.00000,12079.00000,45073.00000,13257.00000,78331.00000,90410.00000,5268.00000,11311.00000,-395.00000,32525.00000,122935.00000
2019-12-31,1975.00000,2810.00000,1909.00000,314.00000,2809.00000,9817.00000,83080.00000,2482.00000,5816.00000,601.00000,107083.00000,118700.00000,12546.00000,41798.00000,12620.00000,74104.00000,86650.00000,5257.00000,10877.00000,-321.00000,32050.00000,118700.00000
2018-12-31,1396.00000,3290.00000,1870.00000,432.00000,2595.00000,9583.00000,80797.00000,2647.00000,5928.00000,5350.00000,107331.00000,116914.00000,14286.00000,40736.00000,15025.00000,73298.00000,87584.00000,5164.00000,8706.00000,-203.00000,29330.00000,116914.00000
2017-12-31,2130.00000,3067.00000,2032.00000,452.00000,2391.00000,10072.00000,79872.00000,2537.00000,7141.00000,,100933.00000,111005.00000,13594.00000,44462.00000,8476.00000,71559.00000,85153.00000,5038.00000,8885.00000,-189.00000,25852.00000,111005.00000
2016-12-31,1975.00000,3084.00000,2151.00000,364.00000,2148.00000,9722.00000,78446.00000,2593.00000,7221.00000,,99975.00000,109697.00000,12917.00000,42629.00000,8419.00000,70050.00000,82967.00000,4952.00000,10356.00000,-180.00000,26730.00000,109697.00000
2015-12-31,1404.00000,1587.00000,1929.00000,495.00000,1111.00000,6526.00000,61114.00000,921.00000,319.00000,,71792.00000,78318.00000,9129.00000,24688.00000,6048.00000,47089.00000,56218.00000,4572.00000,10010.00000,-130.00000,22100.00000,78318.00000
2014-12-31,710.00000,1379.00000,1969.00000,665.00000,964.00000,5864.00000,54868.00000,946.00000,,,64369.00000,70233.00000,8961.00000,20644.00000,4374.00000,39971.00000,48932.00000,4539.00000,9609.00000,-128.00000,21301.00000,70233.00000
2013-12-31,659.00000,1313.00000,2298.00000,278.00000,752.00000,5614.00000,51208.00000,883.00000,,,58932.00000,64546.00000,5525.00000,21344.00000,4345.00000,38882.00000,44407.00000,4461.00000,9510.00000,-75.00000,20139.00000,64546.00000
2012-12-31,635.00000,1179.00000,2819.00000,657.00000,707.00000,6162.00000,48390.00000,886.00000,,,56987.00000,63149.00000,7014.00000,19274.00000,3899.00000,36756.00000,43770.00000,4389.00000,9626.00000,-123.00000,19379.00000,63149.00000
2011-12-31,1323.00000,1330.00000,2270.00000,385.00000,804.00000,6272.00000,45010.00000,911.00000,,,52995.00000,59267.00000,6577.00000,18647.00000,3297.00000,34030.00000,40607.00000,4328.00000,8968.00000,-111.00000,18660.00000,59267.00000
2010-12-31,515.00000,1400.00000,2135.00000,784.00000,898.00000,5883.00000,42002.00000,901.00000,,,49149.00000,55032.00000,6472.00000,18154.00000,3244.00000,31276.00000,37748.00000,4219.00000,8366.00000,-70.00000,17284.00000,55032.00000
2009-12-31,733.00000,1303.00000,2241.00000,508.00000,943.00000,5873.00000,39230.00000,893.00000,,,46173.00000,52046.00000,5584.00000,18131.00000,2916.00000,30877.00000,36461.00000,4101.00000,7885.00000,-88.00000,15585.00000,52046.00000
