,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-03-31,348.32000,799.04100,574.99900,156.63700,1878.99700,1552.57600,7732.88000,70.66100,9544.59800,11423.59000,922.22200,2945.48100,75.57900,3956.73500,4878.95700,4742.92000,1999.24400,-209.80800,6544.63700,11423.59000
2021-03-31,220.53100,609.40600,315.06700,66.75000,1211.75400,1235.40000,3924.45500,52.72000,5362.71700,6574.47100,577.92000,1650.54000,88.01000,2105.08300,2683.00300,2002.82500,1939.40800,-61.24300,3891.46800,6574.47100
2020-03-31,319.58100,586.48100,263.54400,54.43000,1224.03600,1111.85500,2921.55800,51.58100,4216.83100,5440.86700,503.60700,1150.52100,90.34600,1519.05000,2022.65700,1982.16400,1658.66100,-235.46300,3418.21000,5440.86700
2019-03-31,220.63300,564.83000,208.24300,60.02900,1053.73500,1031.58200,2927.54200,60.21200,4019.33600,5073.07100,465.19600,1183.22700,87.81200,1422.07700,1887.27300,1998.56400,1339.02400,-159.77800,3185.79800,5073.07100
2018-03-31,201.53400,528.06600,205.73100,54.32600,989.65700,1010.52400,3160.76400,39.38900,4210.67700,5200.33400,398.46200,1316.00100,108.60000,1584.57200,1983.03400,2048.03700,1146.22300,11.68500,3217.30000,5200.33400
2017-03-31,282.91800,483.45100,197.83700,53.59600,1017.80200,915.90800,2956.19000,34.55500,3906.65300,4924.45500,381.58300,1478.36100,82.67300,1732.83900,2114.42200,2085.13400,954.15500,-240.70200,2810.03300,4924.45500
2016-03-31,248.84100,471.52300,192.79200,59.36900,972.52500,1064.31900,3279.94200,29.63000,4373.89100,5346.41600,400.60600,1567.79600,84.29800,1906.91800,2307.52400,2151.71900,939.45900,-68.15900,3038.89200,5346.41600
2015-03-31,167.68900,325.28900,160.81800,35.00700,720.43200,493.05300,860.64500,23.16100,1376.85900,2097.29100,283.33100,621.07500,47.33400,740.31400,1023.64500,264.85300,1193.79100,-66.66900,1073.64600,2097.29100
2014-03-31,152.80200,313.68600,155.14600,37.02700,674.74500,454.41000,747.71500,10.29200,1212.41700,1887.16200,254.50600,493.48000,38.87700,591.41000,845.91600,246.18600,1112.24000,4.48100,1041.24600,1887.16200
2013-03-31,142.00800,275.93700,144.44300,30.35700,613.94000,431.95200,704.42400,10.79300,1147.16900,1761.10900,218.83700,492.29000,58.07800,595.29200,814.12900,239.64800,1031.18300,-4.08800,946.98000,1761.10900
2012-03-31,150.82100,280.32400,157.71200,19.81500,651.88300,386.40900,337.78400,29.62000,753.81300,1405.69600,278.39500,210.00000,51.93400,304.63700,583.03200,244.09100,914.40100,13.62700,822.66400,1405.69600
2011-03-31,193.01600,272.24800,167.34400,16.48300,705.80600,370.40200,318.81000,31.66700,720.87900,1426.68500,344.74600,210.00000,56.61200,293.27400,638.02000,241.34300,816.84600,35.18800,788.66500,1426.68500
2010-03-31,214.97100,214.94000,121.13500,18.43500,576.45700,346.85800,305.31100,9.77600,661.94500,1238.40200,197.12900,210.00000,56.03000,286.77900,483.90800,237.16500,798.80900,12.99100,754.49400,1238.40200
2009-03-31,154.18000,238.43800,130.21800,23.09900,553.13000,350.99600,305.18900,7.62400,663.80900,1216.93900,202.02600,210.00000,68.63900,296.74800,498.77400,232.28200,814.35900,-15.80000,718.16500,1216.93900
