,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,112.50000,334.30000,83.70000,394.60000,925.10000,541.50000,2180.80000,3100.00000,6036.00000,6961.10000,2319.20000,2343.20000,195.50000,2874.20000,5193.40000,0.10000,5999.10000,-731.20000,,1767.70000,6961.10000
2021-12-31,111.90000,341.30000,87.80000,366.40000,907.40000,531.40000,2529.90000,3613.60000,6900.70000,7808.10000,1848.00000,2342.80000,253.20000,3117.60000,4965.60000,0.10000,5240.40000,-394.60000,,2842.50000,7808.10000
2020-12-31,218.80000,457.80000,81.20000,36.40000,794.20000,632.30000,5492.90000,365.70000,6767.60100,7561.80000,1430.80000,2699.60000,64.70000,3432.80000,4863.60000,0.10000,4762.20000,-375.70000,,2698.20000,7561.80000
2019-12-31,184.60000,467.50000,60.90000,31.90000,744.90000,548.10000,5263.20000,270.60000,6310.30000,7055.20000,1491.80000,2651.60000,86.90000,3302.60000,4794.40000,0.10000,4228.40000,-486.90000,,2260.80000,7055.20000
2018-12-31,139.50000,390.40000,63.90000,50.70000,644.50000,555.90000,4589.30000,99.50000,5255.80000,5900.30000,1324.60000,2050.50000,104.00000,2505.10000,3829.70000,0.10000,3942.60000,-591.90000,,2070.60000,5900.30000
2017-12-31,142.30000,374.30000,38.10000,42.90000,597.60000,478.30000,4714.00000,214.50000,5422.70000,6020.30000,1337.60000,2284.40000,135.10000,2757.30000,4094.90000,0.10000,3308.00000,-412.30000,,1925.40000,6020.30000
2016-12-31,138.50000,313.20000,28.90000,20.30000,500.90000,380.30000,3588.90000,145.50000,4130.30000,4631.20000,621.60000,2280.20000,74.80000,2677.20000,3298.80000,0.10000,2752.90000,-650.80000,,1332.40000,4631.20000
2015-12-31,141.90000,299.60000,34.10000,129.00000,604.60000,350.30000,3998.10000,607.80000,4989.10000,5593.70000,1479.30000,2270.90000,127.40000,2742.40000,4221.70000,0.10000,2161.70000,-242.00000,,1372.00000,5593.70000
2014-12-31,43.16000,286.18000,31.49600,18.87500,384.48300,302.27300,1613.62200,26.36300,1960.84700,2345.33000,771.27000,1100.87400,43.38800,1363.01700,2134.28700,0.13700,1654.14900,-80.51400,-0.16100,211.04300,2345.33000
2013-12-31,169.71200,225.89300,25.65700,48.50600,474.84500,233.37300,1629.29900,105.97900,2029.60600,2504.45100,431.17900,1271.43900,40.57200,1525.68300,1956.86200,0.13700,1254.10700,-43.48800,-0.30600,547.58900,2504.45100
2012-12-31,94.70200,224.40500,21.94600,39.10900,390.55900,154.08400,1768.39400,47.29900,1969.77700,2360.33600,585.35000,1266.16200,78.19000,1519.39500,2104.74500,0.13700,905.72700,-89.16000,-0.48300,255.59100,2360.33600
2011-12-31,196.66900,190.01400,21.90500,41.24800,453.65400,119.41100,936.36800,21.19300,1087.45200,1541.10600,349.65000,1100.33200,61.86600,1289.94600,1639.59600,0.13700,576.58500,-78.28700,-0.69100,-98.49000,1541.10600
2010-12-31,60.62700,151.27000,17.79100,7.06600,240.43500,93.40900,832.89700,26.69700,976.65510,1217.09000,720.88200,401.82600,90.21300,610.65000,1331.53200,0.13500,293.82700,-55.80300,-0.98800,-114.44200,1217.09000
2009-12-31,76.97200,106.15700,16.15500,21.65600,225.34500,89.16500,599.35500,10.29500,771.60800,996.95300,300.27900,527.50900,76.96000,731.62300,1031.90200,0.13000,51.27500,-53.62800,-1.30500,-34.94900,996.95300
