,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,541.00000,1519.00000,2034.00000,233.00000,4327.00000,1429.00000,11910.00000,850.00000,14189.00000,18516.00000,3467.00000,3751.00000,768.00000,4902.00000,8369.00000,2.00000,4577.00000,-661.00000,10147.00000,18516.00000
2021-12-31,473.00000,1477.00000,1689.00000,193.00000,3832.00000,1497.00000,12292.00000,833.00000,14622.00000,18454.00000,2910.00000,4056.00000,884.00000,5305.00000,8215.00000,2.00000,4055.00000,-466.00000,10239.00000,18454.00000
2020-12-31,599.00000,1412.00000,1642.00000,227.00000,3880.00000,1601.00000,12354.00000,619.00000,14574.00000,18454.00000,3226.00000,3792.00000,1001.00000,5075.00000,8301.00000,2.00000,3589.00000,-339.00000,10153.00000,18454.00000
2019-12-31,604.20000,1663.90000,1773.10000,150.90000,4192.10000,1655.80000,12464.60000,631.70000,14752.10000,18944.20000,3258.00000,4333.60000,1100.70000,5692.60000,8950.60000,2.00000,3267.00000,-382.60000,9993.60000,18944.20000
2018-12-31,2342.30000,1146.80000,844.90000,115.60000,4449.60000,563.80000,3526.40000,109.40000,4199.60000,8649.20000,1646.60000,3792.80000,47.00000,4133.50000,5780.10000,1.30000,3022.00000,-256.60000,2869.10000,8649.20000
2017-12-31,233.40100,1166.78700,742.63400,122.29100,2265.11300,573.97200,3664.53500,76.36000,4314.86700,6579.98000,1573.33000,1823.30300,75.17900,2178.11800,3751.44800,1.32300,2773.30000,-44.99200,2828.53200,6579.98000
2016-12-31,398.48400,942.50800,658.51000,868.12900,2867.63100,518.37600,3132.62500,62.38600,3713.38700,6581.01800,1446.63900,1762.96700,38.31000,2157.55400,3604.19300,1.32300,2553.25800,-379.60500,2976.82500,6581.01800
2015-12-31,226.19100,598.78900,478.57400,236.46600,1540.02000,353.19300,1299.06600,37.23400,1689.49300,3229.51300,664.77600,691.80500,43.30900,863.39800,1528.17400,1.32300,2280.80100,-276.71900,1701.33900,3229.51300
2014-12-31,425.84900,631.22600,510.94900,25.88700,1637.86400,339.11100,1285.14900,41.71700,1665.97700,3303.84100,738.80200,520.40300,41.51500,756.74100,1495.54300,1.32300,1909.13600,-159.48600,1808.29800,3303.84100
2013-12-31,285.76000,554.50300,403.22900,38.93300,1333.04700,276.07800,1172.11200,40.76000,1488.95000,2821.99700,579.40000,450.28800,40.65300,655.43000,1234.83000,1.32300,1576.70200,-34.85600,1587.16700,2821.99700
2012-12-31,215.76600,389.91500,407.03900,19.32400,1092.93800,244.08800,974.34300,39.99000,1258.60400,2351.54200,553.05900,317.85300,41.04900,516.46600,1069.52500,1.32300,1297.11100,-53.56400,1282.01700,2351.54200
2011-12-31,285.61500,346.28100,348.17400,18.37300,1055.78200,222.02200,844.88600,36.02300,1103.17100,2158.95300,541.38500,395.80500,36.06500,569.92400,1111.30900,0.66200,1053.70600,-60.89700,1047.64400,2158.95300
2010-12-31,236.94100,258.14900,253.49100,13.79900,801.95300,206.22500,762.74500,28.81200,1001.12800,1803.08100,348.37400,382.00700,32.30000,551.31990,899.69400,0.66200,887.40600,-38.07700,903.38700,1803.08100
2009-12-31,188.65900,208.26000,239.33300,12.72400,689.50900,201.70700,670.60800,19.04700,896.32600,1585.83500,305.34800,359.03900,26.30100,501.57400,806.92200,0.66200,766.22100,-30.54600,778.91300,1585.83500
