,cash-on-hand,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,29665.00000,24435.00000,1782.00000,97631.00000,204692.00000,49793.00000,16951.00000,271436.00000,369067.00000,69045.00000,40559.00000,24071.00000,97549.00000,166594.00000,15752.00000,432860.00000,-13270.00000,202473.00000,369067.00000
2021-12-31,6802.00000,18780.00000,1189.00000,59154.00000,216552.00000,45195.00000,18022.00000,279769.00000,338923.00000,56643.00000,43428.00000,24574.00000,106597.00000,163240.00000,15746.00000,392059.00000,-13764.00000,175683.00000,338923.00000
2020-12-31,4364.00000,18850.00000,1098.00000,44893.00000,227553.00000,43515.00000,16789.00000,287857.00000,332750.00000,56363.00000,47182.00000,24495.00000,112257.00000,168620.00000,15688.00000,383943.00000,-16705.00000,164130.00000,332750.00000
2019-12-31,3089.00000,18528.00000,1469.00000,50052.00000,253018.00000,43164.00000,16363.00000,312545.00000,362597.00000,63989.00000,26342.00000,25404.00000,99670.00000,163659.00000,15637.00000,421341.00000,-19493.00000,198938.00000,362597.00000
2018-12-31,3042.00000,18958.00000,1272.00000,47973.00000,247101.00000,40790.00000,10332.00000,298223.00000,346196.00000,57138.00000,20538.00000,22476.00000,90530.00000,147668.00000,15258.00000,421653.00000,-19564.00000,198528.00000,346196.00000
2017-12-31,3177.00000,16992.00000,1368.00000,47134.00000,252630.00000,39160.00000,9767.00000,301557.00000,348691.00000,57771.00000,24406.00000,23989.00000,96420.00000,154191.00000,14656.00000,414540.00000,-16262.00000,194500.00000,348691.00000
2016-12-31,3657.00000,15080.00000,1285.00000,41416.00000,244224.00000,35102.00000,9572.00000,288898.00000,330314.00000,47638.00000,28932.00000,25193.00000,108846.00000,156484.00000,12157.00000,407831.00000,-22239.00000,173830.00000,330314.00000
2015-12-31,3705.00000,16245.00000,2798.00000,42623.00000,251605.00000,34245.00000,8285.00000,294135.00000,336758.00000,53976.00000,19925.00000,26582.00000,105972.00000,159948.00000,11612.00000,412444.00000,-23511.00000,176810.00000,336758.00000
2014-12-31,4658.00000,16678.00000,3565.00000,52910.00000,252668.00000,35239.00000,8676.00000,296583.00000,349493.00000,64633.00000,11653.00000,27111.00000,103796.00000,168429.00000,10792.00000,408384.00000,-18957.00000,181064.00000,349493.00000
2013-12-31,4913.00000,16135.00000,5108.00000,59308.00000,243650.00000,36328.00000,7522.00000,287500.00000,346808.00000,71724.00000,6891.00000,26522.00000,94589.00000,166313.00000,10077.00000,387432.00000,-10725.00000,180495.00000,346808.00000
2012-12-31,9923.00000,14542.00000,5008.00000,64460.00000,226949.00000,34718.00000,7668.00000,269335.00000,333795.00000,64139.00000,7928.00000,27231.00000,97996.00000,162135.00000,9653.00000,365727.00000,-12184.00000,171660.00000,333795.00000
2011-12-31,13068.00000,15024.00000,6229.00000,72963.00000,214664.00000,34333.00000,9092.00000,258089.00000,331052.00000,77505.00000,9322.00000,21869.00000,92803.00000,170308.00000,9512.00000,330939.00000,-9123.00000,160744.00000,331052.00000
2010-12-31,8453.00000,12976.00000,5271.00000,58984.00000,199548.00000,35338.00000,8640.00000,243526.00000,302510.00000,62633.00000,12227.00000,20454.00000,87198.00000,149831.00000,9371.00000,298899.00000,-4823.00000,152679.00000,302510.00000
2009-12-31,10862.00000,11553.00000,5175.00000,55235.00000,139116.00000,31665.00000,7307.00000,178088.00000,233323.00000,52061.00000,7129.00000,17651.00000,65870.00000,117931.00000,5503.00000,276937.00000,-5461.00000,115392.00000,233323.00000
