,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,7.00000,727.00000,695.00000,1089.00000,2518.00000,30608.00000,813.00000,411.00000,992.00000,35139.00000,37657.00000,3175.00000,13577.00000,6429.00000,24152.00000,27327.00000,3.00000,3636.00000,14.00000,10330.00000,37657.00000
2022-06-30,7.00000,600.00000,600.00000,1189.00000,2396.00000,30086.00000,808.00000,411.00000,963.00000,34712.00000,37108.00000,3588.00000,12985.00000,6501.00000,23511.00000,27099.00000,3.00000,3336.00000,14.00000,10009.00000,37108.00000
2022-03-31,7.00000,647.00000,520.00000,857.00000,2031.00000,29578.00000,772.00000,411.00000,934.00000,34166.00000,36197.00000,3145.00000,12563.00000,6610.00000,23117.00000,26262.00000,3.00000,3282.00000,14.00000,9935.00000,36197.00000
2021-12-31,16.00000,519.00000,592.00000,841.00000,1968.00000,29261.00000,756.00000,411.00000,891.00000,33767.00000,35735.00000,2826.00000,12562.00000,6605.00000,23080.00000,25906.00000,3.00000,3182.00000,13.00000,9829.00000,35735.00000
2021-09-30,7.00000,626.00000,595.00000,976.00000,2204.00000,28559.00000,,411.00000,1180.00000,32461.00000,34665.00000,2357.00000,12444.00000,6130.00000,22494.00000,24851.00000,3.00000,3199.00000,0.00000,9814.00000,34665.00000
2021-06-30,230.00000,502.00000,527.00000,857.00000,2116.00000,28020.00000,,411.00000,1027.00000,31800.00000,33916.00000,2177.00000,12492.00000,5970.00000,22257.00000,24434.00000,3.00000,2915.00000,-1.00000,9482.00000,33916.00000
2021-03-31,140.00000,525.00000,467.00000,691.00000,1823.00000,27307.00000,,411.00000,989.00000,30966.00000,32789.00000,2307.00000,11527.00000,5935.00000,21205.00000,23512.00000,3.00000,2850.00000,0.00000,9277.00000,32789.00000
2020-12-31,139.00000,480.00000,521.00000,513.00000,1653.00000,26807.00000,288.00000,411.00000,789.00000,30377.00000,32030.00000,2180.00000,11078.00000,5978.00000,20770.00000,22950.00000,3.00000,2757.00000,-1.00000,9080.00000,32030.00000
2020-09-30,6.00000,596.00000,557.00000,431.00000,1590.00000,25541.00000,,411.00000,993.00000,28927.00000,30517.00000,2105.00000,10172.00000,5647.00000,19781.00000,21886.00000,2.00000,2769.00000,-15.00000,8631.00000,30517.00000
2020-06-30,8.00000,562.00000,514.00000,536.00000,1620.00000,25081.00000,,411.00000,917.00000,28396.00000,30016.00000,2000.00000,10171.00000,5572.00000,19647.00000,21647.00000,2.00000,2525.00000,-16.00000,8369.00000,30016.00000
