,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,2640.00000,1799.00000,1055.00000,98.00000,2051.00000,7643.00000,23039.00000,952.00000,2203.00000,3156.00000,30720.00000,38363.00000,6491.00000,21740.00000,4489.00000,27368.00000,33859.00000,8.00000,-1635.00000,-1640.00000,4504.00000,38363.00000
2022-09-30,2538.00000,1787.00000,998.00000,149.00000,2156.00000,7628.00000,21597.00000,1121.00000,2805.00000,3131.00000,30147.00000,37775.00000,5902.00000,20198.00000,5045.00000,26412.00000,32314.00000,8.00000,-732.00000,-1691.00000,5461.00000,37775.00000
2022-06-30,2082.00000,1675.00000,871.00000,182.00000,2113.00000,6923.00000,20753.00000,1098.00000,2825.00000,2939.00000,29147.00000,36070.00000,5989.00000,19174.00000,4968.00000,25228.00000,31217.00000,8.00000,-1153.00000,-1790.00000,4853.00000,36070.00000
2022-03-31,1830.00000,1523.00000,688.00000,91.00000,2010.00000,6142.00000,20453.00000,1081.00000,2767.00000,2661.00000,28506.00000,34648.00000,5753.00000,17998.00000,5148.00000,24181.00000,29934.00000,8.00000,-974.00000,-1899.00000,4714.00000,34648.00000
2021-12-31,1479.00000,1418.00000,604.00000,142.00000,1713.00000,5356.00000,19906.00000,1080.00000,2627.00000,2425.00000,27607.00000,32963.00000,4732.00000,17332.00000,4615.00000,23664.00000,28396.00000,8.00000,-1089.00000,-2220.00000,4567.00000,32963.00000
2021-09-30,1831.00000,1400.00000,577.00000,133.00000,1749.00000,5690.00000,22788.00000,781.00000,2038.00000,2230.00000,29340.00000,35030.00000,4658.00000,18517.00000,4148.00000,24608.00000,29266.00000,8.00000,-457.00000,-2365.00000,5764.00000,35030.00000
2021-06-30,1899.00000,1374.00000,445.00000,114.00000,1698.00000,5530.00000,22582.00000,793.00000,2010.00000,2301.00000,29197.00000,34727.00000,4337.00000,18664.00000,5208.00000,24993.00000,29330.00000,8.00000,-800.00000,-2347.00000,5397.00000,34727.00000
2021-03-31,2398.00000,1342.00000,446.00000,105.00000,1946.00000,6237.00000,22498.00000,785.00000,1943.00000,2273.00000,28966.00000,35203.00000,5021.00000,18379.00000,4143.00000,24514.00000,29535.00000,8.00000,-828.00000,-2237.00000,5668.00000,35203.00000
2020-12-31,1721.00000,1300.00000,461.00000,102.00000,1830.00000,5414.00000,22826.00000,835.00000,1888.00000,2101.00000,29189.00000,34603.00000,5362.00000,18451.00000,4113.00000,24521.00000,29883.00000,8.00000,-680.00000,-2397.00000,4720.00000,34603.00000
2020-09-30,2263.00000,1404.00000,474.00000,100.00000,1644.00000,5885.00000,22287.00000,787.00000,1673.00000,2039.00000,28382.00000,34267.00000,5777.00000,19505.00000,3986.00000,24417.00000,30194.00000,8.00000,-998.00000,-2628.00000,4073.00000,34267.00000
