,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1105.31600,679.20600,185.04000,1969.56200,1540.18200,320.53100,3205.55400,116.52200,6333.83800,8303.40000,818.86800,2285.25800,105.30500,3124.34500,3943.21300,1.56500,1920.35100,-140.33200,4360.18700,8303.40000
2022-09-30,864.14800,622.02700,209.39800,1695.57300,1520.42800,488.52600,3208.39900,105.31700,6411.79600,8107.36900,753.01100,2284.14700,95.18400,3121.17400,3874.18500,1.62200,1743.53300,-186.67200,4233.18400,8107.36900
2022-06-30,690.68900,668.42500,207.04300,1566.15700,1541.87500,640.66800,3240.53500,131.68900,6644.89700,8211.05400,817.08400,2283.03700,86.60900,3113.49200,3930.57600,1.62000,1635.37900,-143.07900,4280.47800,8211.05400
2022-03-31,506.86900,718.79300,238.82100,1464.48300,1579.83300,786.71200,3258.07000,128.85500,6839.29600,8303.77900,869.26500,2281.92700,77.23100,3133.99200,4003.25700,1.61500,1515.84200,-88.61100,4300.52200,8303.77900
2021-12-31,1078.19500,675.92600,166.31300,1920.43400,1534.32900,1088.04800,2469.47900,142.28700,6218.23900,8138.67300,790.34100,1976.16700,68.74800,2818.31800,3608.65900,1.60500,1256.69200,-69.10500,4530.01400,8138.67300
2021-09-30,1917.28500,660.09200,184.50300,2761.88000,1543.30100,835.07400,1884.09200,133.79000,5353.59500,8115.47500,731.44000,1958.55800,80.05000,2801.59000,3533.03000,1.64700,1096.15800,-53.72600,4582.44500,8115.47500
2021-06-30,1416.48800,656.60900,180.15500,2253.25200,1538.42200,1164.62000,1903.37800,131.61000,5667.68600,7920.93800,647.44900,1941.11300,81.44900,2796.83200,3444.28100,1.64500,917.24200,-31.55700,4476.65700,7920.93800
2021-03-31,1288.05900,666.53600,206.80700,2161.40200,1511.39300,1165.57300,1909.52900,140.64600,5656.51800,7817.92000,715.13100,1923.82900,84.86200,2781.42600,3496.55700,1.63800,760.74500,-47.34700,4321.36300,7817.92000
2020-12-31,1098.07300,660.05200,171.40600,1929.53100,1478.27200,1398.80200,1909.09500,147.56700,5834.59900,7764.13000,758.17000,1906.70700,89.83300,2754.66400,3512.83400,1.62700,605.05000,-20.20100,4251.29600,7764.13000
2020-09-30,1444.03600,630.40600,168.77900,2243.22100,1383.48000,1110.05800,1783.39700,151.34700,5271.17200,7514.39300,717.12400,1889.74300,81.38600,2689.65200,3406.77600,1.64100,491.68000,-45.85400,4107.61700,7514.39300
2020-06-30,1372.60900,644.65900,175.73100,2192.99900,1281.39200,1018.83500,1790.25500,143.54200,5031.79900,7224.79800,657.42200,1872.93700,82.37400,2663.08100,3320.50300,1.63800,333.05700,-57.30700,3904.29500,7224.79800
2020-03-31,1249.27100,613.80900,151.50400,2014.58400,1180.55000,961.15000,1799.68300,173.77600,4933.37300,6947.95600,630.24700,1856.28700,82.94400,2645.49100,3275.73800,1.63100,171.14200,-78.99500,3672.21800,6947.95600
2019-12-31,1536.99400,551.94300,142.67600,2231.61300,1152.15300,835.38400,1779.69600,173.06200,4775.27300,7006.88600,693.33600,1839.79100,90.06500,2655.59200,3348.92800,1.62000,47.99600,-45.14400,3657.95800,7006.88600
2019-09-30,1570.21100,516.65700,167.04000,2253.90800,1079.91400,734.11600,1749.88600,151.13400,4103.52600,6357.43400,602.52300,1823.44800,106.79000,2253.31100,2855.83400,1.65200,-71.10400,-56.42400,3501.60000,6357.43400
2019-06-30,1042.49200,523.38200,178.92000,1744.79400,1019.40700,287.04600,1762.67300,150.51100,3598.44200,5343.23600,590.81400,893.19100,135.10200,1357.65800,1948.47200,1.64900,-208.99400,-42.48400,3394.76400,5343.23600
2019-03-31,1118.63000,529.34600,170.44200,1818.41800,951.25900,101.43400,1771.86900,150.86500,3364.34400,5182.76200,569.70600,883.58400,126.99600,1329.83900,1899.54500,1.64000,-322.90900,-46.97900,3283.21700,5182.76200
2018-12-31,1892.10500,479.88900,163.36000,2535.35400,910.61800,209.06600,1655.75200,116.06700,2926.41600,5461.77000,1210.70900,874.08000,160.94000,1059.20100,2269.91000,1.62900,-430.89000,-48.91200,3191.86000,5461.77000
2018-09-30,1801.64000,466.36400,161.78500,2429.78900,884.48300,257.13500,1665.50800,103.28400,2934.09800,5363.88700,1195.93800,864.67900,123.69500,1012.41900,2208.35700,1.72200,-524.90600,-48.21800,3155.53000,5363.88700
2018-06-30,1856.97100,479.86500,147.32400,2484.16000,852.95000,411.74600,1679.24500,132.37300,3120.54400,5604.70400,1136.32800,855.37800,143.40900,1023.09800,2159.42600,1.71800,-632.48900,-41.97000,3445.27800,5604.70400
2018-03-31,811.55300,484.61700,163.55600,1459.72600,845.11800,512.27000,1692.13400,133.16600,3227.17800,4686.90400,1130.59500,,145.32800,170.05200,1300.64700,1.70800,-675.55000,-18.33400,3386.25700,4686.90400
2017-12-31,711.93600,461.45700,172.85300,1346.24600,862.53500,567.59200,1699.94700,136.36500,3302.67000,4648.91600,456.69400,662.91300,142.95500,829.75310,1286.44700,1.69900,-690.66200,-21.93000,3362.46900,4648.91600
2017-09-30,752.00100,400.83900,142.94300,1295.78300,883.75400,661.92900,1535.05000,113.68800,3213.35100,4509.13400,430.30600,657.13100,128.83400,806.17300,1236.47900,1.75500,-761.51500,-24.83300,3272.65500,4509.13400
2017-06-30,683.12100,395.86500,159.37100,1238.35700,856.03900,731.78100,1540.66400,114.75000,3250.68200,4489.03900,399.06400,651.40000,125.79300,802.80310,1201.86700,1.75100,-822.02700,-32.52000,3287.17200,4489.03900
