,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,3150.60000,1827.20000,635.30000,165.10000,542.90000,6321.10000,15039.20000,3391.50000,1239.40000,953.00000,21957.20000,28278.30000,3276.90000,7492.80000,1117.70000,10484.00000,13760.90000,249.40000,16731.40000,-2218.30000,14517.40000,28278.30000
2022-09-30,3301.70000,1794.40000,514.20000,156.80000,515.80000,6282.90000,14160.50000,3353.80000,1170.50000,947.00000,20909.70000,27192.60000,3465.80000,7085.80000,1099.10000,10024.40000,13490.20000,249.40000,16520.30000,-2786.10000,13702.40000,27192.60000
2022-06-30,3315.00000,2359.00000,514.00000,179.30000,,6367.30000,14131.70000,3339.50000,1243.60000,1765.00000,21121.70000,27489.00000,3406.90000,6831.60000,1726.20000,9866.40000,13273.30000,249.40000,16297.90000,-2050.60000,14215.70000,27489.00000
2022-03-31,3197.60000,2348.80000,507.50000,195.50000,,6249.40000,14095.20000,3423.80000,1332.00000,1657.00000,21200.30000,27449.70000,3205.10000,6748.10000,1736.80000,9733.90000,12939.00000,249.40000,16075.90000,-1505.60000,14510.70000,27449.70000
2021-12-31,3682.30000,2178.70000,487.20000,135.30000,,6483.50000,13624.70000,3329.20000,1342.10000,1621.50000,20641.80000,27125.30000,2630.10000,7178.30000,1731.70000,10119.60000,12749.70000,249.40000,15905.20000,-1452.30000,14375.60000,27125.30000
2021-09-30,5800.80000,2002.20000,453.90000,119.40000,,8376.30000,13254.60000,1649.30000,1332.20000,1506.50000,18482.90000,26859.20000,2799.10000,7150.30000,1640.90000,9972.10100,12771.20000,249.40000,15678.30000,-1515.90000,14088.00000,26859.20000
2021-06-30,5816.50000,1980.80000,447.20000,132.30000,,8376.80000,13035.60000,1577.70000,1375.50000,1122.70000,17875.30000,26252.10000,2697.10000,7166.20000,1819.00000,10063.40000,12760.50000,249.40000,15400.20000,-1681.90000,13491.60000,26252.10000
2021-03-31,6195.50000,1934.00000,430.30000,206.80000,,8766.60000,12628.30000,1538.20000,1363.80000,1072.80000,17392.30000,26158.90000,3017.40000,7115.90000,1840.00000,10006.70000,13024.10000,249.40000,15200.00000,-1824.40000,13134.80000,26158.90000
2020-12-31,6200.00000,2008.40000,422.90000,178.50000,,8809.80000,12517.10000,1520.40000,1376.40000,1048.20000,17278.30000,26088.10000,2985.90000,7091.60000,1935.70000,10030.30000,13016.20000,249.40000,15060.50000,-1713.30000,13071.90000,26088.10000
2020-09-30,6357.90000,1757.70000,404.80000,164.50000,,8684.90000,11964.70000,1432.20000,1327.30000,943.10000,16483.60000,25168.50000,2416.70000,7430.10000,1916.00000,10308.70000,12725.40000,249.40000,14875.70000,-2140.10000,12443.10000,25168.50000
2020-06-30,6437.10000,1972.60000,410.90000,185.90000,,9006.50000,11468.90000,1346.10000,1180.20000,959.80000,15775.60000,24782.10000,2591.00000,7358.80000,1866.90000,10167.70000,12758.70000,249.40000,14686.60000,-2353.10000,12023.40000,24782.10000
