,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-11-30,269.79000,501.79800,5607.69000,253.84000,6633.11800,5194.54600,302.64500,210.03200,8682.81500,15315.93000,8708.98900,6328.34400,729.00800,10444.87000,19153.86000,0.20800,-790.74900,-297.26500,-3837.92300,15315.93000
2022-08-31,264.38000,504.88600,5638.00400,220.71400,6627.98400,5170.41900,302.64500,203.13100,8647.05900,15275.04000,8588.39300,6122.09200,731.61400,10225.56000,18813.96000,0.20700,-1330.06700,-300.53600,-3538.91300,15275.04000
2022-05-31,263.04400,439.82000,5313.11400,238.74300,6254.72100,4971.62600,302.64500,186.23500,8265.84500,14520.57000,8064.07600,6057.44400,707.87100,9843.71900,17907.80000,0.20700,-2138.16000,-302.19100,-3387.23000,14520.57000
2022-02-28,239.42300,405.58500,5031.22200,227.54000,5903.77000,4879.07900,302.64500,208.47800,8174.70300,14078.47000,7684.64500,5840.88400,669.69000,9531.30500,17215.95000,0.20600,-2730.73100,-310.16300,-3137.47700,14078.47000
2021-11-30,961.12500,379.27600,4768.25800,240.48700,6349.14600,4857.92800,302.64500,193.50000,8111.80300,14460.95000,8087.89300,4771.26600,746.55400,8497.80600,16585.70000,0.23100,135.40600,-324.32700,-2124.75000,14460.95000
2021-08-31,1171.33500,378.39200,4639.81300,225.76300,6415.30300,4856.89100,302.64500,181.60500,8100.89600,14516.20000,7369.75400,5269.82000,704.19400,8943.98100,16313.74000,0.23000,-419.82900,-307.98600,-1797.53600,14516.20000
2021-05-31,975.64600,359.66900,4665.47700,223.60400,6224.39600,4683.14900,302.64500,202.54400,7913.55000,14137.95000,7013.24900,5267.89600,659.19000,8888.09000,15901.34000,0.22900,-1205.60000,-304.38200,-1763.39200,14137.95000
2021-02-28,1026.16400,352.51700,4736.82600,211.33800,6326.84500,4627.99300,302.64500,211.60300,7833.14800,14159.99000,6804.27100,5266.39600,687.76400,8879.29500,15683.56000,0.22800,-1801.76400,-300.83900,-1523.57300,14159.99000
2020-11-30,1664.00500,350.91500,4628.33400,193.54100,6836.79500,4586.00200,302.64500,206.22600,7731.77900,14568.57000,6456.70300,5514.87400,729.89300,9138.85100,15595.55000,0.23800,-1008.53700,-306.90700,-1026.98000,14568.57000
2020-08-31,1750.81500,364.77400,4473.28200,223.00100,6811.87200,4509.22100,302.64500,190.61400,7612.00000,14423.87000,6283.09100,5513.37100,649.64100,9018.75800,15301.85000,0.23700,-1450.97000,-354.25200,-877.97700,14423.87000
2020-05-31,509.11800,266.92000,4440.60200,181.35300,5397.99300,4384.58600,302.64500,179.71290,7504.13800,12902.13000,5769.07600,5418.27100,540.32000,8765.79100,14534.87000,0.23700,-2191.42700,-344.51600,-1632.73600,12902.13000
2020-02-29,152.97000,340.28000,4606.21100,201.08600,5300.54700,4476.42600,302.64500,176.96900,7563.20100,12863.75000,5779.56000,5451.47100,523.73400,8795.30900,14574.87000,0.23700,-2534.32200,-228.33700,-1711.11900,12863.75000
2019-11-30,158.08900,333.24600,4463.12400,202.51600,5156.97500,4450.65600,302.64500,177.71000,7543.48100,12700.46000,5868.23600,5287.32400,498.55500,8608.31100,14476.55000,0.25400,-955.00900,-250.08100,-1776.09000,12700.46000
2019-08-31,176.30000,308.99500,4319.11300,224.27700,5028.68500,4398.75100,302.64500,138.97100,4867.22800,9895.91300,5512.14100,5206.34400,579.29900,6097.62300,11609.76000,0.25400,-1305.34700,-269.32200,-1713.85100,9895.91300
