,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,448.88600,1319.80900,1847.28700,19427.34000,1731.41200,21879.40000,23726.69000,452.45700,14080.96000,588.20700,14676.16000,15333.62000,1.56800,,-15.99100,-359.53600,8393.07100,23726.69000
2022-06-30,502.85000,1330.08700,1911.51300,19029.16000,1641.68300,21354.92000,23266.43000,439.28800,13899.61000,572.29700,14479.83000,15123.76000,1.56700,-567.01600,-27.07700,,8142.66900,23266.43000
2022-03-31,482.34300,1299.52700,1870.08800,18313.21000,1683.12600,20605.55000,22475.63000,395.43700,13255.68000,567.15200,13833.86000,14433.97000,1.56700,-636.42100,-28.48500,,8041.65900,22475.63000
2021-12-31,501.15800,1296.93100,1886.06600,18275.95000,1584.44000,20479.19000,22365.26000,415.57100,13141.03000,561.30000,13711.90000,14332.03000,1.56500,,-36.66200,-625.89100,8033.22800,22365.26000
2021-09-30,1081.92100,1265.10900,2444.47100,18268.93000,1512.59900,20404.34000,22848.81000,419.09500,13621.91000,540.14200,14170.83000,14794.06000,1.56200,-657.02100,-40.80300,,8054.74900,22848.81000
2021-06-30,637.28000,1231.03500,1965.27400,18072.45000,1394.01100,20093.80000,22059.08000,413.35500,12779.45000,540.70800,13329.13000,13969.08000,1.56100,-612.24700,-43.16600,,8089.99300,22059.08000
2021-03-31,949.18300,1196.33700,2242.05100,17873.02000,1475.82900,19971.50000,22213.55000,337.55000,12775.63000,570.96800,13554.27000,14092.21000,1.56100,-570.98200,-45.13900,,8121.34700,22213.55000
2020-12-31,1719.32900,1199.91300,3015.52300,17818.81000,1383.77500,19842.67000,22858.19000,442.55200,13284.25000,583.16600,13874.31000,14518.58000,1.55700,,-49.89000,-509.65300,8339.61200,22858.19000
2020-09-30,1764.78900,1187.40800,3055.09300,17741.34000,1518.74900,19904.12000,22959.21000,434.78500,13281.45000,541.00200,13828.05000,14464.18000,1.55600,-364.72000,-52.62200,,8495.03800,22959.21000
2020-06-30,1991.65500,1151.54900,3247.20400,17668.42000,1429.34000,19753.57000,23000.78000,423.56600,13278.72000,544.35800,13829.09000,14453.63000,1.55600,-302.51100,-54.92100,,8547.14600,23000.78000
2020-03-31,858.57790,1149.10800,2102.28000,17518.17000,1542.16900,19727.42000,21829.70000,376.21900,12288.29000,537.87800,12832.02000,13408.82000,1.55300,-416.74000,-55.70000,,8420.88300,21829.70000
2019-12-31,691.88600,1151.59500,1939.40100,17622.21000,1034.07900,19345.50000,21284.90000,467.56900,12035.85000,558.70700,12602.92000,13270.66000,1.54800,-760.52300,-48.33500,,8014.23600,21284.90000
2019-09-30,804.76500,1105.18800,2009.79700,17511.07000,1077.93800,19278.78000,21288.57000,504.44600,12059.77000,521.75900,12588.61000,13292.81000,1.54600,-749.66600,-51.99600,,7995.76700,21288.57000
2019-06-30,1162.92400,1060.89400,2323.53600,17229.71000,1038.94700,18944.74000,21268.28000,507.71800,12019.14000,521.40300,12540.55000,13247.61000,1.54600,-710.59200,-51.34000,,8020.66700,21268.28000
2019-03-31,432.29800,1046.52500,1578.41600,17116.76000,1140.10400,18923.19000,20501.60000,418.05600,11178.68000,534.92700,11713.61000,12331.32000,1.54500,-728.08300,-48.73400,,8170.28700,20501.60000
2018-12-31,639.19100,1021.52500,1760.18400,16752.12000,1065.45000,18496.29000,20256.48000,365.91200,11007.76000,668.84000,11676.60000,12042.51000,1.54500,-675.53400,-47.74100,,8213.96800,20256.48000
2018-09-30,423.78400,1024.77600,1528.56000,16849.14000,1090.25000,18608.94000,20137.50000,408.27100,10889.70000,633.55100,11523.25000,11931.52000,1.54400,-677.31200,-45.13700,,8205.97400,20137.50000
2018-06-30,727.06000,976.31200,1703.37200,16780.93000,798.54200,18257.79000,19961.16000,423.91100,10721.88000,602.13200,11324.01000,11747.92000,1.54400,-649.74700,-47.69500,,8213.24200,19961.16000
2018-03-31,455.12900,962.30800,1417.43700,16641.81000,843.32700,18166.50000,19583.94000,451.17800,10339.31000,609.35800,10948.67000,11399.85000,1.54400,-654.87900,-49.06200,,8184.09000,19583.94000
2017-12-31,505.36900,953.76100,1459.13000,16507.01000,727.05700,17913.10000,19372.23000,415.14600,10271.61000,583.02000,10854.63000,11269.78000,1.54300,,-50.42900,-712.34300,8102.45600,19372.23000
2017-09-30,576.83400,915.16500,1491.99900,16374.45000,784.59800,17816.52000,19308.52000,424.54000,10234.63000,549.64900,10784.28000,11208.82000,1.54300,-692.73900,-51.79600,,8099.69500,19308.52000
2017-06-30,539.78000,908.70900,1448.48900,16234.92000,940.13400,17833.27000,19281.76000,388.73100,10236.64000,583.04000,10819.68000,11208.41000,1.54300,-694.32000,-53.16100,,8073.35200,19281.76000
2017-03-31,354.18300,885.13600,1239.31900,16089.98000,970.65410,17727.31000,18966.63000,760.43690,9706.84600,576.90700,10283.75000,11044.19000,1.53800,-712.27000,-50.98300,,7922.43800,18966.63000
2016-12-31,420.08800,891.68600,1311.77400,15925.03000,928.67800,17539.87000,18851.64000,722.45700,9616.13300,581.12900,10197.26000,10919.72000,1.53800,-693.69400,-52.25100,,7931.92400,18851.64000
2016-09-30,483.30300,861.82700,1345.13000,15789.20000,975.37400,17444.77000,18789.90000,727.60700,9628.92300,574.11700,10203.04000,10930.65000,1.53800,-725.52200,-73.94300,,7859.25300,18789.90000
2016-06-30,1245.69800,861.67700,2107.37500,15740.15000,418.61500,16856.59000,18963.96000,689.63910,9754.08400,622.02300,10376.11000,11065.75000,1.53700,-702.36100,-79.74800,,7898.21900,18963.96000
2016-03-31,1677.02700,841.62300,2518.65000,15569.42000,393.78000,16657.18000,19175.83000,654.30510,9980.36600,611.36900,10591.74000,11246.04000,1.53600,-699.04800,-56.70600,0.00010,7929.79000,19175.83000
2015-12-31,797.50800,852.74800,1650.25600,15555.64000,440.72200,16701.23000,18351.49000,645.09500,9008.54300,810.92100,9819.46400,10464.56000,1.53600,-780.95200,-14.11400,,7886.92700,18351.49000
2015-09-30,1477.38600,803.59100,2280.97700,15569.01000,380.65000,16699.29000,18980.26000,626.11590,9729.79600,561.59200,10291.39000,10917.50000,1.53600,-627.05400,-20.62500,,8062.75900,18980.26000
2015-06-30,1595.30900,785.98000,2381.28900,15612.33000,348.92000,16732.67000,19113.96000,590.44790,9867.45900,561.37200,10535.06000,11125.51000,1.53500,-711.23900,1.84800,,7988.44700,19113.96000
2015-03-31,1652.61400,761.64200,2414.25600,15575.44000,382.90900,16764.81000,19179.07000,590.71610,9886.69500,596.55800,10589.41000,11180.12000,1.53400,-690.99300,-11.90700,,7998.94800,19179.07000
2014-12-31,2250.40000,738.59400,2988.99400,15688.74000,377.28500,16897.77000,19886.77000,586.79490,9906.98300,1384.72700,11397.04000,11983.83000,1.53100,-762.46400,-9.30400,-0.00010,7902.93600,19886.77000
2014-09-30,999.82500,733.09500,1732.92000,15886.28000,418.05700,17142.24000,18875.16000,615.55380,10475.75000,630.13600,11212.01000,11827.57000,1.53100,-148.56600,-9.86600,,7047.59300,18875.16000
2014-06-30,1095.82400,724.93500,1820.75900,15894.95000,328.90100,17077.77000,18898.53000,552.10380,10558.61000,652.13600,11332.53000,11884.63000,1.53100,-176.92900,-10.42900,,7013.90000,18898.53000
2014-03-31,1233.81300,699.54200,1933.35500,15860.78000,323.87000,17046.21000,18979.57000,576.67890,10577.14000,671.57100,11400.35000,11977.02000,1.53000,,-10.98900,-153.97900,7002.54400,18979.57000
2013-12-31,2422.33800,711.06700,3133.40500,15817.19000,341.21500,17042.86000,20176.26000,549.99300,11341.51000,1090.22400,12582.65000,13132.65000,1.53000,-108.55200,-11.55600,,7043.61800,20176.26000
2013-09-30,1694.77400,696.43400,2391.20800,15826.60000,383.10300,17128.50000,19519.71000,577.08780,11354.37000,679.93400,12200.76000,12777.85000,1.52400,,-12.12200,246.20610,6741.86200,19519.71000
2013-06-30,1663.56000,691.69300,2355.25300,15835.91000,331.94200,17107.53000,19462.78000,534.67420,11365.54000,669.15500,12243.74000,12778.41000,1.52400,192.49200,-12.68900,,6684.37200,19462.78000
2013-03-31,964.78590,794.20300,2041.29600,12270.71000,738.38800,13581.98000,15623.28000,309.85000,8871.51800,427.56900,9508.17900,9818.02900,1.51600,-160.69700,-13.25300,,5805.25000,15623.28000
2012-12-31,1097.15900,772.57000,2152.22000,11959.17000,762.69800,13310.10000,15462.32000,271.56300,8912.36900,435.10100,9555.90300,9827.46600,1.51600,-109.98500,-13.81700,,5634.85400,15462.32000
2012-09-30,1255.46800,726.71400,2264.38800,11534.07000,808.59100,12877.56000,15141.94000,292.09300,8650.85700,402.46500,9164.19800,9456.28900,1.50900,-59.62100,-14.37900,,5685.65100,15141.94000
2012-06-30,1703.37800,702.01900,2687.81300,11365.17000,723.16900,12592.82000,15280.63000,225.44300,8896.20700,401.70700,9349.45100,9574.89400,1.50700,-34.46300,-14.97800,,5705.73500,15280.63000
2012-03-31,621.89300,704.55400,1607.62400,11352.57000,751.70200,12605.23000,14212.86000,263.43800,7960.62600,417.44100,8429.60400,8693.04200,1.49400,-70.60900,-15.55800,,5519.81500,14212.86000
2011-12-31,1863.54000,692.36700,2836.34900,10746.49000,754.72800,11946.62000,14782.97000,224.24400,8704.13900,385.41600,9145.20700,9369.45400,1.48100,-53.08000,-16.13800,,5413.51600,14782.97000
2011-09-30,1099.78300,641.17400,2017.33200,10639.18000,882.59000,11963.47000,13980.80000,262.48300,7950.36300,328.13900,8334.15400,8596.63700,1.47600,-72.94100,-16.71700,,5384.16100,13980.80000
2011-06-30,1083.02300,616.23200,1975.63000,10584.62000,874.94700,11908.58000,13884.21000,235.30300,7941.64300,315.07100,8312.36500,8547.66900,1.46400,-69.53700,-17.29400,,5336.54300,13884.21000
2011-03-31,1052.99700,593.13700,1916.13400,10597.04000,873.21900,11919.34000,13835.47000,259.68700,7937.26400,293.41100,8286.32600,8546.01400,1.45100,-56.47900,-17.86700,,5289.45900,13835.47000
2010-12-31,786.97900,572.50100,1629.48000,10441.12000,841.64700,11718.78000,13348.26000,223.91900,7786.00100,318.49800,8160.15100,8384.07000,1.40200,-24.76300,-18.43600,,4964.19300,13348.26000
2010-09-30,1570.84500,534.66300,2375.50800,9529.71000,842.73600,10673.33000,13048.84000,284.22300,7444.88600,185.98200,7630.86800,7915.09100,1.40100,58.05100,-19.53000,,5133.74900,13048.84000
2010-06-30,1728.83000,499.65600,2498.48600,9175.76600,824.06100,10289.21000,12787.70000,257.52100,7229.30000,176.28800,7461.24000,7718.76100,1.39300,70.42600,-20.15500,,5068.94000,12787.70000
2010-03-31,1241.24000,479.02700,1990.26700,9112.76000,856.75100,10261.08000,12251.34000,258.79900,6674.89900,196.51100,6927.06200,7185.85900,1.39000,78.64500,-21.14500,,5065.48100,12251.34000
2009-12-31,1470.80000,456.36100,2197.16100,9065.88100,791.26600,10151.54000,12348.70000,296.14700,6719.77100,208.07400,6983.49700,7279.64400,1.38900,95.43300,-21.77700,,5069.05900,12348.70000
2009-09-30,802.78700,425.55400,1498.34100,9020.21400,824.58000,10133.44000,11631.78000,278.71300,6008.99000,211.65600,6276.29800,6555.01100,1.38700,111.46300,-22.41100,,5076.76600,11631.78000
2009-06-30,841.53400,418.61800,1530.15200,8960.28500,806.39700,10050.51000,11580.66000,290.37200,5957.69600,207.03500,6220.38300,6510.75500,1.38500,115.02700,-28.46400,,5069.90900,11580.66000
2009-03-31,163.20900,400.35300,833.56200,8898.07700,838.40800,10038.37000,10871.94000,250.59800,6112.80000,231.20900,6399.66100,6650.25900,1.21300,117.08200,-29.20200,,4221.67700,10871.94000
