,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,2221.40000,580.20000,140451.30000,143252.90000,465.50000,30924.80000,3788.30000,35178.60000,178431.50000,140572.70000,3421.80000,834.70000,9608.00000,150180.70000,3.60000,6111.70000,-99.80000,28250.80000,178431.50000
2022-06-30,1974.60000,582.30000,138894.10000,141451.00000,481.60000,31041.50000,3697.20000,35220.30000,176671.30000,139000.10000,3436.70000,869.80000,9669.50000,148669.60000,3.60000,5797.50000,-31.70000,28001.70000,176671.30000
2022-03-31,2155.30000,608.90000,168240.10000,171004.30000,493.90000,31154.30000,3265.20000,34913.40000,205917.70000,168458.60000,3437.10000,903.50000,9722.30100,178180.90000,3.60000,5498.90000,28.00000,27736.80000,205917.70000
2021-12-31,2949.90000,434.50000,158377.40000,161761.80000,505.30000,31235.30000,3277.90000,35018.50000,196780.30000,160398.40000,2695.70000,896.50000,8982.60000,169381.00000,3.60000,5151.90000,53.50000,27399.30000,196780.30000
2021-09-30,1569.70000,470.40000,149554.30000,151594.40000,521.30000,31296.90000,3361.70000,35179.90000,186774.30000,150417.10000,2695.70000,987.00000,9075.10000,159492.20000,3.60000,6037.40000,37.30000,27282.10000,186774.30000
2021-06-30,1191.90000,509.60000,143147.50000,144849.00000,527.60000,31377.60000,1944.90000,33850.10000,178699.10000,142012.80000,3444.60000,1054.90000,9898.90000,151911.70000,3.60000,5434.50000,106.00000,26787.40000,178699.10000
2021-03-31,1041.60000,547.00000,125156.90000,126745.50000,528.60000,31426.40000,1951.60000,33906.60000,160652.10000,124222.50000,3443.60000,1058.20000,9873.70000,134096.20000,3.60000,5247.30000,83.50000,26555.90000,160652.10000
2020-12-31,1734.10000,461.30000,87088.50000,89283.90000,579.20000,32839.40000,1957.10000,35375.70000,124659.60000,88197.90000,3443.80000,1059.40000,10110.20000,98308.10000,3.60000,4995.90000,134.90000,26351.50000,124659.60000
2020-09-30,1424.50000,490.90000,88433.90000,90349.30000,547.20000,32824.90000,2037.40000,35409.50000,125758.80000,88630.90000,3442.20000,1054.50000,10117.50000,98748.40000,3.60000,5775.10000,43.70000,27010.40000,125758.80000
2020-06-30,1493.50000,532.10000,79760.60000,81786.20000,538.60000,32849.50000,2040.50000,35428.60000,117214.80000,80201.40000,3440.90000,1126.30000,10174.50000,90375.90000,3.60000,5668.50000,-13.10000,26838.90000,117214.80000
2020-03-31,929.20000,799.70000,100687.70000,102416.60000,538.40000,32915.70000,2061.60000,35515.70000,137932.30000,101053.70000,3539.80000,1118.00000,10279.90000,111333.60000,3.60000,5469.90000,-26.20000,26598.70000,137932.30000
2019-12-31,1634.60000,491.80000,37441.40000,39567.80000,544.00000,33035.50000,2068.00000,35647.50000,75215.30000,38522.50000,3743.20000,1155.10000,10533.50000,49056.00000,3.60000,5008.70000,3.40000,26159.30000,75215.30000
2019-09-30,1290.20000,545.70000,41856.40000,43692.30000,517.30000,33110.90000,2097.10000,35725.30000,79417.60000,41913.50000,3873.30000,1203.10000,10690.80000,52604.30000,3.70000,5704.20000,-32.20000,26813.30000,79417.60000
2019-06-30,1019.50000,593.70000,32849.20000,34462.40000,500.40000,33279.30000,2107.40000,35887.10000,70349.50000,32934.70000,4072.90000,1211.90000,10929.90000,43864.60000,3.60000,5336.80000,5.60000,26484.90000,70349.50000
2019-03-31,1079.80000,559.50000,33965.90000,35605.20000,467.70000,33406.20000,2135.40000,36009.30000,71614.50000,34272.40000,4292.00000,1200.90000,11155.60000,45428.00000,3.60000,5091.10000,0.80000,26186.50000,71614.50000
2018-12-31,1447.40000,553.30000,39886.00000,41886.70000,448.70000,33480.70000,1659.60000,35589.00000,77475.70000,41272.60000,3826.80000,745.10000,10237.80000,51510.40000,3.60000,4855.30000,5.30000,25965.30000,77475.70000
2018-09-30,1489.10000,386.30000,39639.40000,41514.80000,362.70000,27012.70000,1473.90000,28849.30000,70364.10000,38154.10000,3419.60000,612.00000,8914.30100,47068.40000,3.40000,5346.40000,18.70000,23295.70000,70364.10000
2018-06-30,1179.80000,433.90000,38686.80000,40300.50000,380.00000,27043.30000,1475.50000,28898.80000,69199.30000,37179.60000,3419.00000,614.00000,8896.10000,46075.70000,3.40000,5173.30000,18.60000,23123.60000,69199.30000
2018-03-31,875.00000,444.10000,39735.70000,41054.80000,387.20000,27066.90000,1410.40000,28864.50000,69919.30000,39445.30000,2233.50000,621.10000,7701.20000,47146.50000,3.40000,4845.40000,19.90000,22772.80000,69919.30000
2017-12-31,1993.70000,359.70000,44553.10000,46906.50000,399.70000,27090.60000,1394.40000,28884.70000,75791.20000,45672.90000,2233.10000,615.70000,7706.50000,53379.40000,3.40000,4497.20000,14.30000,22411.80000,75791.20000
2017-09-30,1719.10000,390.30000,47283.10000,49392.50000,388.90000,27114.30000,1427.30000,28930.50000,78323.00000,47223.00000,2232.60000,566.50000,10236.10000,57459.10000,3.40000,2973.80000,12.10000,20863.90000,78323.00000
2017-06-30,1446.60000,416.40000,47633.90000,49496.90000,399.50000,27138.10000,1509.30000,29046.90000,78543.80000,47669.60000,2232.10000,546.50000,10097.40000,57767.00000,3.40000,2889.70000,13.30000,20776.80000,78543.80000
2017-03-31,1374.90000,426.60000,44567.00000,46368.50000,411.60000,27162.10000,1533.80000,29107.50000,75476.00000,44804.80000,2231.60000,577.00000,10117.00000,54921.80000,3.40000,2697.90000,10.80000,20554.20000,75476.00000
2016-12-31,1951.90000,364.40000,37715.20000,40031.50000,425.20000,27186.10000,1726.60000,29337.90000,69369.40000,38945.60000,2231.20000,560.90000,10083.10000,49028.70000,3.40000,2524.50000,-14.10000,20340.70000,69369.40000
2016-09-30,1503.80000,395.70000,31876.50000,33776.00000,426.70000,27210.20000,1838.40000,29475.30000,63251.30000,31886.40000,2230.70000,551.60000,10100.00000,41986.40000,3.40000,3458.60000,22.90000,21264.90000,63251.30000
2016-06-30,1240.90000,427.00000,36359.30000,38027.20000,437.90000,27234.20000,1926.30000,29598.40000,67625.60000,36419.80000,2230.20000,549.00000,10131.90000,46551.70000,3.40000,3189.30000,113.30000,21073.90000,67625.60000
2016-03-31,1225.20000,389.30000,37638.80000,39253.30000,449.80000,27258.20000,1806.90000,29514.90000,68768.20000,37848.10000,2229.80000,518.10000,10078.70000,47926.80000,3.40000,3072.30000,28.10000,20841.40000,68768.20000
2015-12-31,1765.10000,357.80000,35781.60000,37904.50000,491.70000,27282.20000,1681.00000,29454.90000,67359.40000,36824.50000,2229.30000,395.50000,9983.10000,46807.60000,3.40000,2907.60000,-80.80000,20551.80000,67359.40000
2015-09-30,1506.70000,363.80000,49588.30000,51458.80000,496.10000,27307.00000,1687.70000,29490.80000,80949.60000,49598.80000,2241.20000,391.30000,9974.00000,59572.80000,3.40000,3771.80000,-94.60000,21376.80000,80949.60000
2015-06-30,1227.30000,399.90000,42427.90000,44055.10000,499.20000,27331.90000,1776.90000,29608.00000,73663.10000,42432.60000,2241.00000,390.90000,9971.70000,52404.30000,3.40000,3575.50000,5.10000,21258.80000,73663.10000
2015-03-31,1773.60000,383.40000,45329.00000,47486.00000,503.30000,27356.80000,1782.30000,29642.40000,77128.40000,45495.10000,2851.90000,386.20000,10537.80000,56032.90000,3.40000,3479.30000,-25.80000,21095.50000,77128.40000
2014-12-31,1440.80000,341.20000,40763.30000,42545.30000,508.90000,27381.70000,1805.60000,29696.20000,72241.50000,41531.20000,2107.90000,376.20000,9786.80000,51318.00000,3.40000,3317.30000,6.20000,20923.50000,72241.50000
2014-09-30,1160.70000,344.80000,32660.90000,34166.40000,498.70000,27406.60000,1898.60000,29803.90000,63970.30000,32627.90000,2107.70000,389.20000,9805.30000,42433.20000,3.30000,3842.00000,130.50000,21537.10000,63970.30000
2014-06-30,1110.20000,334.90000,20286.10000,21731.20000,503.40000,27435.20000,1941.50000,29880.10000,51611.30000,20376.70000,2107.50000,389.80000,9769.20000,30145.90000,3.30000,3709.80000,206.70000,21465.40000,51611.30000
2014-03-31,1125.90000,344.60000,21839.20000,23309.70000,508.40000,27460.40000,1888.60000,29857.40000,53167.10000,22029.70000,2107.40000,443.80000,9827.30000,31857.00000,3.30000,3603.90000,176.30000,21310.10000,53167.10000
2013-12-31,2538.10000,302.70000,21564.80000,24405.60000,513.40000,27485.50000,1873.30000,29872.20000,54277.80000,23311.00000,2107.20000,449.40000,9806.30100,33117.30000,3.30000,3494.60000,152.00000,21160.50000,54277.80000
2013-09-30,2130.00000,311.90000,16606.20000,19048.10000,714.20000,27520.50000,1697.10000,29931.80000,48979.90000,17213.20000,2107.00000,375.30000,9788.80000,27002.00000,3.30000,4326.50000,177.20000,21977.90000,48979.90000
2013-06-30,2029.30000,359.10000,14536.20000,16924.60000,713.20000,27546.20000,1698.70000,29958.10000,46882.70000,16192.90000,1358.20000,228.80000,8835.20000,25028.10000,3.30000,4239.20000,153.20000,21854.60000,46882.70000
2013-03-31,1904.10000,309.20000,10084.50000,12297.80000,709.90000,27572.10000,1842.00000,30124.00000,42421.80000,11786.70000,1358.00000,227.00000,9079.30000,20866.00000,3.30000,4079.00000,230.00000,21555.80000,42421.80000
2012-12-31,1661.30000,267.50000,6789.10000,8717.90000,724.00000,27595.90000,1825.40000,30145.30000,38863.20000,7616.90000,2106.80000,220.50000,9821.39900,17438.30000,3.30000,3993.40000,209.30000,21424.90000,38863.20000
2012-09-30,2078.90000,296.90000,7641.00000,10016.80000,705.40000,27458.30000,1677.50000,29841.20000,39858.00000,8389.50000,2106.40000,254.10000,9759.69900,18149.20000,3.30000,4408.60000,119.70000,21708.80000,39858.00000
2012-06-30,1335.90000,336.90000,6568.10000,8240.90000,703.70000,27449.80000,1551.50000,29705.00000,37945.90000,6659.50000,2107.70000,218.10000,9666.40000,16325.90000,3.30000,4340.30000,114.30000,21620.00000,37945.90000
2012-03-31,1107.10000,360.00000,7887.50000,9354.60000,816.50000,28305.50000,812.50000,29934.50000,39289.10000,8109.90000,2107.20000,196.40000,9630.10100,17740.00000,0.70000,4243.60000,164.80000,21549.10000,39289.10000
2011-12-31,1089.90000,289.40000,9566.50000,10945.80000,821.90000,28337.30000,653.70000,29812.90000,40758.70000,9615.20000,2106.80000,187.60000,9591.49900,19206.70000,3.30000,4324.60000,111.60000,21552.00000,40758.70000
2011-09-30,875.90000,369.50000,7845.90000,9091.30000,813.80000,28370.70000,611.80000,29796.30000,38887.60000,7922.30000,2106.30000,190.00000,10101.00000,18023.30000,0.70000,3671.60000,91.90000,20864.30000,38887.60000
2011-06-30,748.60000,385.80000,4420.70000,5555.10000,812.80000,28405.00000,816.30000,30034.10000,35589.20000,4522.70000,2105.80000,201.10000,10164.00000,14686.70000,0.70000,3448.60000,208.30000,20902.50000,35589.20000
2011-03-31,719.30000,394.00000,3474.30000,4587.60000,797.00000,28446.10000,878.30000,30121.40000,34709.00000,3744.10000,2105.30000,192.40000,10177.40000,13921.50000,0.70000,3248.80000,244.90000,20787.50000,34709.00000
2010-12-31,905.40000,297.50000,4184.60000,5387.50000,786.80000,28477.40000,394.40000,29658.60000,35046.10000,4781.20000,2104.80000,191.50000,10204.80000,14986.00000,0.70000,2885.80000,-104.10000,20060.10000,35046.10000
2010-09-30,612.50010,333.40000,3103.30000,4049.20000,740.60000,28469.50000,427.20000,29637.30000,33686.50000,3666.20000,2104.40000,177.40000,10119.50000,13785.70000,0.70000,2766.80000,-124.80000,19900.80000,33686.50000
2010-06-30,408.60000,330.80000,3862.60000,4602.00000,729.50000,28502.80000,424.60000,29656.90000,34258.90000,4334.30000,2524.40000,172.90000,10541.10000,14875.40000,0.70000,2599.30000,-136.80000,19383.50000,34258.90000
2010-03-31,490.49980,316.90000,4675.60000,5483.00000,734.70000,28551.60000,433.10000,29719.40000,35202.40000,5163.90000,2823.80000,170.30000,10848.80000,16012.70000,0.70000,2404.20000,-133.80000,19189.70000,35202.40000
2009-12-31,303.20010,248.30000,6147.50000,6699.00000,738.50000,27777.70000,435.80000,28952.00000,35651.00000,6523.60000,2014.70000,165.80000,9826.39900,16350.00000,0.70000,2239.90000,-126.20000,19301.00000,35651.00000
2009-09-30,297.80020,264.00000,6944.40000,7506.20000,726.90000,27808.40000,478.10000,29013.40000,36519.60000,7318.40000,2239.30000,161.70000,10070.90000,17389.30000,0.70000,2113.90000,-128.70000,19130.30000,36519.60000
2009-06-30,554.09940,282.40000,8675.90000,9512.40000,725.30000,27814.00000,479.50000,29018.80000,38531.20000,9006.70000,2738.60000,142.30000,10543.20000,19549.90000,0.70000,1988.00000,-143.90000,18981.30000,38531.20000
2009-03-31,587.70000,279.50000,10033.70000,10900.90000,711.40000,27834.30000,468.90000,29014.60000,39915.50000,10474.60000,2848.20000,133.10000,10641.80000,21116.40000,0.70000,1842.50000,-157.00000,18799.10000,39915.50000
