,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2023-01-31,1660.95200,765.62800,52.07100,26.53200,133.59800,2638.78100,2656.27300,455.23200,75.46600,3293.62700,5932.40800,487.62300,1.94600,,231.13300,718.75600,0.04800,4495.10200,-156.50700,5213.65200,5932.40800
2022-10-31,1539.39100,634.22500,53.86600,20.59700,116.52600,2364.60500,2582.48100,446.69100,87.37000,3229.07200,5593.67700,504.47700,1.96900,,236.36600,740.84300,0.04800,4201.96100,-198.93600,4852.83400,5593.67700
2022-07-31,1384.23600,628.45500,58.79100,18.73100,112.24200,2202.45500,2485.76400,456.63400,47.70800,3106.40900,5308.86400,440.88900,1.99600,,242.37600,683.26500,0.04800,3956.40800,-169.36500,4625.59900,5308.86400
2022-04-30,1679.70700,587.49500,56.98800,19.20800,114.02800,2457.42600,2402.80900,388.85400,73.77900,2986.44800,5443.87400,449.09500,402.73300,,641.72500,1090.82000,0.02400,3693.72600,-152.59600,4353.05400,5443.87400
2022-01-31,1346.51700,646.05510,52.97900,19.92600,123.89600,2189.37300,2376.01300,395.63900,55.62200,2947.58300,5136.95600,417.86000,403.82900,,629.24000,1047.10000,0.02400,3415.37900,-123.50200,4089.85600,5136.95600
2021-10-31,1298.37300,563.17400,48.19400,14.04500,115.99400,2039.78000,2318.70100,397.97600,39.14100,2879.07200,4918.85200,491.91100,408.94000,,633.12000,1125.03100,0.02400,3128.31700,-111.37800,3793.82100,4918.85200
2021-07-31,1048.26000,500.64000,44.96800,14.29400,94.44900,1702.61100,2296.62400,401.59000,41.83100,2859.53200,4562.14300,421.03100,397.63600,,611.91100,1032.94200,0.02400,2868.20300,-100.86000,3529.20100,4562.14300
2021-04-30,911.89000,445.46100,39.22900,16.10600,86.68500,1499.37100,2227.53100,390.05000,39.28500,2782.57500,4281.94600,413.04500,397.63300,,619.52400,1032.56900,0.02400,2617.43600,-101.66400,3249.37700,4281.94600
2021-01-31,616.40300,468.90300,30.20300,17.03000,92.92800,1225.46700,2175.34600,391.23600,34.56600,2708.97100,3934.43800,371.01500,402.70300,0.32800,620.83100,991.84600,0.02400,2330.79100,-106.72000,2942.59200,3934.43800
2020-10-31,605.73200,408.81200,28.24400,11.26000,84.12800,1138.17600,2072.05900,388.44000,30.02600,2603.01200,3741.18800,407.53600,411.84500,0.31100,622.81900,1030.35500,0.02400,2137.64900,-128.49400,2710.83300,3741.18800
2020-07-31,477.71800,376.94700,20.08000,15.33000,73.68400,963.75900,1941.71900,391.39400,39.93400,2491.50200,3455.26100,356.04400,396.90000,,609.70100,965.74500,0.02400,1937.85300,-121.08800,2489.51600,3455.26100
2020-04-30,306.38700,377.82200,19.80900,14.77700,75.35700,794.15200,1838.29700,386.71000,35.48000,2367.43100,3161.58300,286.56800,403.65300,0.13400,594.00400,880.57200,0.02300,1773.58000,-138.92300,2281.01100,3161.58300
2020-01-31,93.51100,514.37800,18.51500,14.96400,90.59500,731.96300,1789.32600,388.55300,34.05500,2316.64200,3048.60500,342.83700,399.84600,0.13800,581.03900,923.87600,0.02300,1626.86200,-119.87000,2124.72900,3048.60500
2019-10-31,181.10200,442.67900,19.48200,14.77800,86.03500,744.07600,1545.71400,389.79600,39.58100,2111.86300,2855.93900,323.31800,399.97900,0.13700,606.02200,929.34000,0.02300,1458.22300,-119.29000,1926.59900,2855.93900
2019-07-31,186.31900,386.79100,20.94100,16.56800,76.54800,687.16700,1427.72600,388.47700,43.83600,1860.45000,2547.61700,282.00400,400.09100,3.34200,487.23200,769.23600,0.02300,1338.32800,-132.52900,1778.38100,2547.61700
2019-04-30,102.82600,395.46600,22.30900,17.69500,75.28900,613.58500,1340.69200,395.35200,41.80100,1778.17800,2391.76300,296.90600,398.83500,3.37100,476.00500,772.91100,0.02300,1186.12500,-113.19100,1618.85200,2391.76300
2019-01-31,108.17400,393.58600,28.31500,17.78100,80.61000,628.46600,1237.11700,398.31000,32.66400,1668.43900,2296.90500,372.03300,398.74000,3.47500,464.91900,836.95200,0.02300,1037.05100,-107.22300,1459.95300,2296.90500
