,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,2501.00000,3796.00000,969.00000,7266.00000,1101.00000,427.00000,6878.00000,662.00000,10586.00000,17852.00000,3347.00000,638.00000,645.00000,2196.00000,5543.00000,5.00000,12588.00000,-299.00000,12309.00000,17852.00000
2022-09-30,2731.00000,3686.00000,900.00000,7317.00000,1105.00000,431.00000,6463.00000,638.00000,10030.00000,17347.00000,3223.00000,636.00000,612.00000,2166.00000,5389.00000,5.00000,12447.00000,-511.00000,11958.00000,17347.00000
2022-06-30,2320.00000,3785.00000,918.00000,7023.00000,1121.00000,443.00000,6618.00000,673.00000,10235.00000,17258.00000,3153.00000,608.00000,569.00000,2155.00000,5308.00000,5.00000,12193.00000,-269.00000,11950.00000,17258.00000
2022-03-31,2319.00000,3663.00000,1095.00000,7077.00000,1171.00000,458.00000,6772.00000,708.00000,10357.00000,17434.00000,3186.00000,617.00000,664.00000,2275.00000,5461.00000,5.00000,11956.00000,-19.00000,11973.00000,17434.00000
2021-12-31,2719.00000,3557.00000,1066.00000,7342.00000,1171.00000,463.00000,6838.00000,701.00000,10510.00000,17852.00000,3529.00000,626.00000,665.00000,2332.00000,5861.00000,5.00000,11922.00000,37.00000,11991.00000,17852.00000
2021-09-30,2413.00000,3510.00000,1072.00000,6995.00000,1179.00000,466.00000,6649.00000,705.00000,10237.00000,17232.00000,3319.00000,636.00000,676.00000,2367.00000,5686.00000,5.00000,11479.00000,33.00000,11546.00000,17232.00000
2021-06-30,1850.00000,3419.00000,1182.00000,6451.00000,1225.00000,433.00000,6676.00000,732.00000,10378.00000,16829.00000,3183.00000,645.00000,691.00000,2441.00000,5624.00000,5.00000,11086.00000,82.00000,11205.00000,16829.00000
2021-03-31,2158.00000,3232.00000,1205.00000,6595.00000,1250.00000,439.00000,6329.00000,760.00000,10065.00000,16660.00000,3150.00000,654.00000,762.00000,2473.00000,5623.00000,5.00000,10907.00000,81.00000,11037.00000,16660.00000
2020-12-31,2724.00000,3087.00000,1040.00000,6851.00000,1251.00000,440.00000,6077.00000,846.00000,10072.00000,16923.00000,3540.00000,663.00000,796.00000,2547.00000,6087.00000,5.00000,10689.00000,110.00000,10836.00000,16923.00000
2020-09-30,4575.00000,3118.00000,926.00000,8619.00000,1313.00000,441.00000,6018.00000,829.00000,10168.00000,18787.00000,3296.00000,2412.00000,777.00000,4351.00000,7647.00000,5.00000,11142.00000,-40.00000,11140.00000,18787.00000
2020-06-30,4582.00000,3208.00000,741.00000,8531.00000,1345.00000,429.00000,5417.00000,823.00000,9685.00000,18216.00000,3212.00000,2421.00000,735.00000,4032.00000,7244.00000,5.00000,11072.00000,-188.00000,10972.00000,18216.00000
2020-03-31,4282.00000,3220.00000,823.00000,8325.00000,1322.00000,433.00000,5019.00000,809.00000,9104.00000,17429.00000,2872.00000,2430.00000,707.00000,3944.00000,6816.00000,5.00000,10831.00000,-264.00000,10613.00000,17429.00000
2019-12-31,3424.00000,3256.00000,931.00000,7611.00000,1309.00000,17.00000,5020.00000,736.00000,8593.00000,16204.00000,2983.00000,700.00000,696.00000,2199.00000,5182.00000,5.00000,11022.00000,-38.00000,11022.00000,16204.00000
2019-09-30,3077.00000,3438.00000,876.00000,7391.00000,1318.00000,79.00000,4886.00000,773.00000,8453.00000,15844.00000,2919.00000,709.00000,652.00000,2223.00000,5142.00000,6.00000,10820.00000,-159.00000,10702.00000,15844.00000
2019-06-30,3003.00000,3386.00000,817.00000,7206.00000,1337.00000,80.00000,4812.00000,767.00000,8311.00000,15517.00000,2824.00000,718.00000,632.00000,2136.00000,4960.00000,6.00000,10583.00000,-70.00000,10557.00000,15517.00000
2019-03-31,3668.00000,3377.00000,838.00000,7883.00000,1314.00000,79.00000,4823.00000,724.00000,8213.00000,16096.00000,2720.00000,727.00000,621.00000,2240.00000,4960.00000,6.00000,11140.00000,-74.00000,11136.00000,16096.00000
2018-12-31,4511.00000,3190.00000,909.00000,8610.00000,1394.00000,80.00000,4631.00000,689.00000,7236.00000,15846.00000,2710.00000,736.00000,731.00000,1712.00000,4422.00000,6.00000,11485.00000,-114.00000,11424.00000,15846.00000
2018-09-30,4763.00000,3187.00000,777.00000,8727.00000,1362.00000,93.00000,4058.00000,643.00000,6547.00000,15274.00000,2693.00000,624.00000,750.00000,1603.00000,4296.00000,6.00000,11041.00000,-188.00000,10978.00000,15274.00000
2018-06-30,4247.00000,3204.00000,852.00000,8303.00000,1345.00000,80.00000,4096.00000,615.00000,6503.00000,14806.00000,2537.00000,649.00000,750.00000,1621.00000,4158.00000,6.00000,10681.00000,-94.00000,10648.00000,14806.00000
2018-03-31,4989.00000,3145.00000,856.00000,8990.00000,1333.00000,83.00000,3668.00000,577.00000,6055.00000,15045.00000,2469.00000,673.00000,732.00000,1588.00000,4057.00000,6.00000,10856.00000,63.00000,10988.00000,15045.00000
2017-12-31,5056.00000,3222.00000,833.00000,9111.00000,1324.00000,235.00000,3685.00000,448.00000,6110.00000,15221.00000,2839.00000,698.00000,765.00000,1713.00000,4552.00000,6.00000,10544.00000,70.00000,10669.00000,15221.00000
2017-09-30,4713.00000,3292.00000,552.00000,8557.00000,1304.00000,262.00000,3565.00000,428.00000,6023.00000,14580.00000,2600.00000,723.00000,159.00000,1001.00000,3601.00000,6.00000,10721.00000,44.00000,10979.00000,14580.00000
2017-06-30,4378.00000,3089.00000,632.00000,8099.00000,1284.00000,198.00000,3470.00000,430.00000,5839.00000,13938.00000,2415.00000,747.00000,155.00000,1040.00000,3455.00000,6.00000,10316.00000,33.00000,10483.00000,13938.00000
2017-03-31,4274.00000,3039.00000,529.00000,7842.00000,1306.00000,110.00000,3486.00000,427.00000,5787.00000,13629.00000,2585.00000,772.00000,155.00000,1061.00000,3646.00000,6.00000,9935.00000,-17.00000,9983.00000,13629.00000
2016-12-31,5169.00000,2905.00000,526.00000,8600.00000,1311.00000,62.00000,3505.00000,359.00000,5662.00000,14262.00000,2418.00000,797.00000,162.00000,1116.00000,3534.00000,6.00000,10478.00000,-114.00000,10728.00000,14262.00000
2016-09-30,4858.60000,2915.70000,425.50000,8199.80000,1323.30000,60.60000,3418.90000,328.80000,5516.89900,13716.70000,2300.70000,821.60000,140.10000,1123.70000,3424.40000,6.10000,10063.20000,-56.20000,10292.30000,13716.70000
2016-06-30,4481.20000,2878.50000,399.20000,7758.90000,1287.40000,59.60000,3419.30000,286.20000,5381.20000,13140.10000,2120.00000,840.00000,138.60000,1157.20000,3277.20000,6.10000,9618.80000,-95.70000,9862.90000,13140.10000
2016-03-31,4451.70000,2751.30000,367.90000,7570.90000,1270.00000,,3324.10000,275.90000,5165.00000,12735.90000,2050.40000,858.40000,138.10000,1073.20000,3123.60000,6.10000,9366.40000,-61.60000,9612.30000,12735.90000
2015-12-31,4949.00000,2622.00000,338.00000,7909.00000,1271.00000,,3269.00000,264.00000,5152.00000,13061.00000,2714.00000,877.00000,140.00000,1069.00000,3783.00000,6.00000,8925.00000,-106.00000,9278.00000,13061.00000
2015-09-30,4050.70000,2556.60000,264.70000,7237.90000,1278.90000,,3285.00000,262.10000,5029.70000,12267.60000,2128.40000,900.00000,129.20000,1312.20000,3440.60000,6.10000,8501.80000,-113.30000,8827.00000,12267.60000
2015-06-30,3566.50000,2548.70000,322.70000,6771.40000,1277.30000,,3311.40000,277.70000,5026.20000,11797.60000,1956.50000,912.50000,103.90000,1300.30000,3256.80000,6.10000,8104.60000,-90.50000,8540.80000,11797.60000
2015-03-31,3349.80000,2448.10000,336.90000,6406.50000,1268.00000,,3332.00000,223.60000,4976.90000,11383.40000,1884.10000,925.00000,111.20000,1320.80000,3204.90000,6.10000,7684.50000,-119.30000,8178.50000,11383.40000
2014-12-31,3774.70000,2293.30000,352.60000,6420.60000,1247.20000,,3367.30000,209.70000,5058.40000,11479.00000,2592.10000,937.50000,116.40000,1146.70000,3738.80000,6.10000,7301.60000,-123.10000,7740.20000,11479.00000
2014-09-30,4618.47900,2147.13100,234.94200,7260.02600,1101.46800,,547.46800,175.34800,1967.01700,9227.04300,1741.46400,,85.82800,103.86900,1845.33300,6.08900,6938.77700,-123.65800,7381.71000,9227.04300
2014-06-30,4129.22100,2120.58000,257.04800,6740.69000,1086.11600,,570.49300,166.70000,1946.60400,8687.29400,1567.66200,,108.94100,128.80300,1696.46500,6.07900,6583.15300,-111.46000,6990.82900,8687.29400
2014-03-31,3864.98400,1970.95400,254.37200,6290.74000,1090.88500,,569.91700,187.18900,1988.55900,8279.29900,1502.86600,,133.20100,153.47600,1656.34200,6.08400,6211.24500,-167.28500,6622.95700,8279.29900
2013-12-31,3747.47300,1875.27200,268.90700,6147.88200,1081.16400,,575.51000,183.01300,1986.83600,8134.71800,1774.50800,,203.24900,224.41900,1998.92700,6.07700,5862.36700,-276.25900,6135.79100,8134.71800
2013-09-30,3360.59900,1891.18600,218.78500,5739.20500,1011.80300,,536.10000,169.29500,1877.94400,7617.14900,1602.03800,,352.04100,366.83500,1968.87300,3.02400,5538.03500,-375.08900,5648.27600,7617.14900
2013-06-30,2900.56900,1785.22700,220.03400,5133.96100,1017.70500,,534.63800,160.07400,1878.35900,7012.32000,1357.29700,,316.72700,331.27500,1688.57200,3.01300,5218.40800,-324.60200,5323.74800,7012.32000
2013-03-31,2744.44600,1702.33400,206.36400,4836.64000,1008.19800,,529.85000,169.64700,1872.66200,6709.30200,1225.84300,,252.68400,267.52500,1493.36800,3.02500,4917.99800,-208.43100,5215.93400,6709.30200
2012-12-31,2863.75800,1528.74600,219.89600,4814.29400,971.48600,,396.66000,160.30700,1707.27700,6521.57100,1377.33000,,287.08100,289.85800,1667.18800,3.01700,4633.78900,-239.68300,4854.38300,6521.57100
2012-09-30,2631.74800,1577.19500,166.42400,4541.53100,878.56100,,388.98600,143.03400,1565.50800,6107.03900,1275.58800,,254.48800,259.08100,1534.66900,2.99900,4355.01000,-190.04300,4572.37000,6107.03900
