,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,17901.00000,20456.00000,8247.00000,3739.00000,50343.00000,143591.00000,45238.00000,4722.00000,436.00000,207366.00000,257709.00000,34208.00000,21375.00000,63259.00000,97467.00000,1832.00000,190024.00000,-2798.00000,160242.00000,257709.00000
2022-09-30,15431.00000,22466.00000,9002.00000,4604.00000,51503.00000,144144.00000,45154.00000,4663.00000,424.00000,208232.00000,259735.00000,36883.00000,21420.00000,63225.00000,100108.00000,1832.00000,186394.00000,-3173.00000,159627.00000,259735.00000
2022-06-30,12370.00000,26860.00000,7715.00000,4243.00000,51188.00000,144410.00000,43557.00000,4663.00000,822.00000,206748.00000,257936.00000,39121.00000,23005.00000,64253.00000,103374.00000,1832.00000,177909.00000,-3491.00000,154562.00000,257936.00000
2022-03-31,11704.00000,23255.00000,6525.00000,3225.00000,44709.00000,144444.00000,41732.00000,4374.00000,771.00000,204339.00000,249048.00000,31203.00000,29019.00000,70745.00000,101948.00000,1832.00000,169059.00000,-3652.00000,147100.00000,249048.00000
2021-12-31,5675.00000,18419.00000,6795.00000,2849.00000,33738.00000,146961.00000,40696.00000,4385.00000,768.00000,205797.00000,239535.00000,26791.00000,31113.00000,72804.00000,99595.00000,1832.00000,165546.00000,-3889.00000,139940.00000,239535.00000
2021-09-30,6032.00000,16567.00000,6129.00000,3409.00000,32137.00000,147945.00000,41097.00000,4402.00000,1980.00000,207811.00000,239948.00000,25188.00000,37056.00000,78038.00000,103226.00000,1832.00000,163044.00000,-4418.00000,136722.00000,239948.00000
2021-06-30,7561.00000,15705.00000,6239.00000,3468.00000,32973.00000,151208.00000,40551.00000,4402.00000,1362.00000,209833.00000,242806.00000,28147.00000,39521.00000,80748.00000,108895.00000,1832.00000,159640.00000,-4295.00000,133911.00000,242806.00000
2021-03-31,7108.00000,14118.00000,5620.00000,3587.00000,30433.00000,154003.00000,39591.00000,4402.00000,1115.00000,211212.00000,241645.00000,27480.00000,40599.00000,81232.00000,108712.00000,1832.00000,159285.00000,-4586.00000,132933.00000,241645.00000
2020-12-31,5627.00000,11471.00000,5676.00000,3304.00000,26078.00000,156618.00000,39052.00000,4402.00000,1101.00000,213712.00000,239790.00000,22183.00000,42767.00000,84881.00000,107064.00000,1832.00000,160377.00000,-5612.00000,132726.00000,239790.00000
2020-09-30,6894.00000,9722.00000,5681.00000,2506.00000,24803.00000,142383.00000,37655.00000,4416.00000,1799.00000,198260.00000,223063.00000,19664.00000,34280.00000,71361.00000,91025.00000,1832.00000,163509.00000,-4507.00000,132038.00000,223063.00000
2020-06-30,6914.00000,8570.00000,5511.00000,2737.00000,23732.00000,143850.00000,37290.00000,4416.00000,1792.00000,199671.00000,223403.00000,20825.00000,30302.00000,68192.00000,89017.00000,1832.00000,166122.00000,-4750.00000,134386.00000,223403.00000
2020-03-31,8542.00000,10167.00000,6574.00000,3279.00000,28562.00000,149220.00000,39693.00000,4454.00000,2989.00000,208115.00000,236677.00000,28235.00000,23663.00000,63528.00000,91763.00000,1832.00000,176113.00000,-4884.00000,144914.00000,236677.00000
2019-12-31,5749.00000,13325.00000,5848.00000,3407.00000,28329.00000,150494.00000,38688.00000,4463.00000,3411.00000,209099.00000,237428.00000,26530.00000,23691.00000,65690.00000,92220.00000,1832.00000,174945.00000,-4990.00000,145208.00000,237428.00000
2019-09-30,11755.00000,12966.00000,5951.00000,3316.00000,33988.00000,164363.00000,38327.00000,4507.00000,3052.00000,222549.00000,256537.00000,30233.00000,25056.00000,69412.00000,99645.00000,1832.00000,183783.00000,-3269.00000,156892.00000,256537.00000
2019-06-30,8571.00000,14383.00000,6809.00000,3324.00000,33087.00000,165411.00000,37417.00000,4507.00000,2985.00000,222791.00000,255878.00000,28829.00000,25061.00000,69598.00000,98427.00000,1832.00000,183442.00000,-3357.00000,157451.00000,255878.00000
2019-03-31,8755.00000,14928.00000,6723.00000,3265.00000,33671.00000,166732.00000,36360.00000,4507.00000,2654.00000,223138.00000,256809.00000,29951.00000,26064.00000,70740.00000,100691.00000,1832.00000,181387.00000,-3459.00000,156118.00000,256809.00000
2018-12-31,10345.00000,15050.00000,5704.00000,2922.00000,34021.00000,169207.00000,35546.00000,4518.00000,1863.00000,219842.00000,253863.00000,27171.00000,28733.00000,71050.00000,98221.00000,1832.00000,180987.00000,-3544.00000,155642.00000,253863.00000
2018-09-30,9746.00000,16788.00000,6029.00000,3020.00000,35583.00000,171645.00000,34672.00000,4518.00000,983.00000,221023.00000,256606.00000,29183.00000,29989.00000,72750.00000,101933.00000,1832.00000,178816.00000,-3265.00000,154673.00000,256606.00000
2018-06-30,7686.00000,16672.00000,6644.00000,3254.00000,34256.00000,174242.00000,34242.00000,4518.00000,1239.00000,223673.00000,257929.00000,31862.00000,29919.00000,72687.00000,104549.00000,1832.00000,176899.00000,-3368.00000,153380.00000,257929.00000
2018-03-31,6504.00000,15771.00000,6128.00000,3323.00000,31726.00000,175846.00000,33470.00000,4531.00000,1200.00000,224716.00000,256442.00000,30630.00000,31144.00000,74246.00000,104876.00000,1832.00000,175619.00000,-3459.00000,151566.00000,256442.00000
2017-12-31,4822.00000,15353.00000,5585.00000,2800.00000,28560.00000,177712.00000,32497.00000,4531.00000,640.00000,225246.00000,253806.00000,27737.00000,33571.00000,76750.00000,104487.00000,1832.00000,174106.00000,-3589.00000,149319.00000,253806.00000
2017-09-30,6654.00000,14124.00000,5761.00000,2859.00000,29398.00000,178436.00000,32402.00000,4531.00000,584.00000,225762.00000,255160.00000,28223.00000,34075.00000,79026.00000,107249.00000,1832.00000,173035.00000,-3422.00000,147911.00000,255160.00000
2017-06-30,4775.00000,13168.00000,6075.00000,2608.00000,26626.00000,178176.00000,31706.00000,4543.00000,3793.00000,227973.00000,254599.00000,27956.00000,34082.00000,79255.00000,107211.00000,1832.00000,173116.00000,-3604.00000,147388.00000,254599.00000
2017-03-31,6994.00000,13754.00000,5921.00000,2899.00000,29568.00000,180296.00000,30915.00000,4543.00000,4352.00000,229543.00000,259111.00000,28426.00000,36959.00000,82895.00000,111321.00000,1832.00000,173698.00000,-3726.00000,147790.00000,259111.00000
2016-12-31,7001.00000,14092.00000,5419.00000,3107.00000,29619.00000,182186.00000,30250.00000,4581.00000,4119.00000,230459.00000,260078.00000,31785.00000,35286.00000,81571.00000,113356.00000,1832.00000,173046.00000,-3843.00000,146722.00000,260078.00000
2016-09-30,7672.00000,12522.00000,5976.00000,2703.00000,28873.00000,183439.00000,30002.00000,4581.00000,3893.00000,230990.00000,259863.00000,24744.00000,39528.00000,87167.00000,111911.00000,1832.00000,174657.00000,-3843.00000,147952.00000,259863.00000
2016-06-30,9084.00000,13490.00000,6427.00000,3470.00000,32471.00000,184685.00000,27740.00000,4581.00000,3216.00000,229007.00000,261478.00000,24927.00000,39555.00000,88226.00000,113153.00000,1832.00000,175379.00000,-4032.00000,148325.00000,261478.00000
2016-03-31,8879.00000,12459.00000,6508.00000,3867.00000,31713.00000,189940.00000,27510.00000,4588.00000,1085.00000,232129.00000,263842.00000,29162.00000,32709.00000,83204.00000,112366.00000,1832.00000,178853.00000,-4150.00000,151476.00000,263842.00000
2015-12-31,11332.00000,12860.00000,6334.00000,3904.00000,34430.00000,188396.00000,27110.00000,4588.00000,1449.00000,230110.00000,264540.00000,25467.00000,33622.00000,85187.00000,110654.00000,1832.00000,181578.00000,-4291.00000,153886.00000,264540.00000
2015-09-30,13239.00000,14240.00000,6864.00000,5476.00000,39819.00000,187405.00000,26710.00000,4588.00000,898.00000,228630.00000,268449.00000,30144.00000,29296.00000,82367.00000,112511.00000,1832.00000,184167.00000,-4549.00000,155938.00000,268449.00000
2015-06-30,12521.00000,16153.00000,7116.00000,4948.00000,40738.00000,185267.00000,26206.00000,4588.00000,387.00000,225717.00000,266455.00000,28268.00000,29289.00000,82296.00000,110564.00000,1832.00000,184129.00000,-4651.00000,155891.00000,266455.00000
2015-03-31,13107.00000,15239.00000,6837.00000,6087.00000,41270.00000,186123.00000,28238.00000,4588.00000,,228334.00000,269604.00000,29445.00000,30025.00000,83158.00000,112603.00000,1832.00000,185557.00000,-4780.00000,157001.00000,269604.00000
2014-12-31,13215.00000,16736.00000,6505.00000,5776.00000,42232.00000,183173.00000,26912.00000,4593.00000,,223794.00000,266026.00000,31926.00000,24028.00000,77909.00000,109835.00000,1832.00000,184987.00000,-4859.00000,156191.00000,266026.00000
