,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,1310.00000,2061.00000,,638.00000,4009.00000,17793.00000,431.00000,753.00000,339.00000,19316.00000,23557.00000,3460.00000,6196.00000,1439.00000,9090.00000,12550.00000,65.00000,3981.00000,-129.00000,11007.00000,23557.00000
2022-06-30,3457.00000,2348.00000,,546.00000,6351.00000,15113.00000,423.00000,753.00000,318.00000,16607.00000,23194.00000,4094.00000,6461.00000,1401.00000,8874.00000,12968.00000,66.00000,3107.00000,-130.00000,10226.00000,23194.00000
2022-03-31,2625.00000,2002.00000,,346.00000,4973.00000,15074.00000,416.00000,753.00000,333.00000,16576.00000,21778.00000,3754.00000,6471.00000,1417.00000,8589.00000,12343.00000,66.00000,2013.00000,-131.00000,9435.00000,21778.00000
2021-12-31,2271.00000,1543.00000,114.00000,321.00000,4249.00000,15008.00000,402.00000,753.00000,378.00000,16541.00000,21025.00000,3087.00000,6482.00000,1518.00000,8539.00000,11626.00000,66.00000,1692.00000,-132.00000,9399.00000,21025.00000
2021-09-30,2321.00000,1597.00000,,309.00000,4227.00000,15078.00000,388.00000,753.00000,367.00000,16586.00000,21057.00000,3505.00000,6492.00000,1743.00000,8491.00000,11996.00000,68.00000,750.00000,-100.00000,9061.00000,21057.00000
2021-06-30,1539.00000,1225.00000,,312.00000,3076.00000,15189.00000,398.00000,753.00000,397.00000,16737.00000,20065.00000,3072.00000,6502.00000,1698.00000,8458.00000,11530.00000,68.00000,243.00000,-101.00000,8535.00000,20065.00000
2021-03-31,1878.00000,1255.00000,,334.00000,3467.00000,15274.00000,402.00000,753.00000,306.00000,16735.00000,20457.00000,2945.00000,7042.00000,1724.00000,9026.00000,11971.00000,67.00000,218.00000,-104.00000,8486.00000,20457.00000
2020-12-31,2237.00000,775.00000,,248.00000,3260.00000,5393.00000,12.00000,753.00000,271.00000,6429.00000,9912.00000,1440.00000,4298.00000,909.00000,5453.00000,6893.00000,38.00000,208.00000,-127.00000,3019.00000,9912.00000
2020-09-30,1897.00000,493.00000,,359.00000,3477.00000,5556.00000,,753.00000,233.00000,6623.00000,10326.00000,1709.00000,4297.00000,770.00000,5469.00000,7178.00000,38.00000,351.00000,-116.00000,3148.00000,10326.00000
2020-06-30,1669.00000,515.00000,,1194.00000,3378.00000,5686.00000,,753.00000,227.00000,6748.00000,10357.00000,1452.00000,4296.00000,1011.00000,5552.00000,7004.00000,38.00000,586.00000,-117.00000,3353.00000,10357.00000
