,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,2553.00000,836.00000,,453.00000,3842.00000,553.00000,6115.00000,517.00000,9628.00000,13470.00000,3113.00000,1879.00000,926.00000,2806.00000,5919.00000,3.00000,7585.00000,-37.00000,7551.00000,13470.00000
2022-09-30,1874.00000,919.00000,,649.00000,3442.00000,531.00000,6186.00000,525.00000,9637.00000,13079.00000,2561.00000,1879.00000,840.00000,2720.00000,5281.00000,3.00000,7658.00000,137.00000,7798.00000,13079.00000
2022-06-30,2416.00000,579.00000,,522.00000,3517.00000,545.00000,6275.00000,528.00000,9675.00000,13192.00000,2833.00000,1878.00000,839.00000,2718.00000,5551.00000,3.00000,7567.00000,71.00000,7641.00000,13192.00000
2022-03-31,3062.00000,650.00000,,439.00000,4151.00000,550.00000,6349.00000,507.00000,9649.00000,13800.00000,3513.00000,1878.00000,783.00000,2662.00000,6175.00000,3.00000,7607.00000,15.00000,7625.00000,13800.00000
2021-12-31,3016.00000,965.00000,,377.00000,4358.00000,522.00000,6441.00000,479.00000,9572.00000,13930.00000,3630.00000,1878.00000,730.00000,2683.00000,6313.00000,3.00000,7608.00000,6.00000,7617.00000,13930.00000
2021-09-30,1972.00000,1031.00000,,387.00000,3390.00000,516.00000,6539.00000,435.00000,9629.00000,13019.00000,2577.00000,1877.00000,641.00000,2586.00000,5163.00000,3.00000,7855.00000,-2.00000,7856.00000,13019.00000
2021-06-30,3719.00000,557.00000,,401.00000,4677.00000,510.00000,5165.00000,422.00000,8057.00000,12734.00000,2471.00000,1877.00000,634.00000,2535.00000,5006.00000,3.00000,7760.00000,-35.00000,7728.00000,12734.00000
2021-03-31,6366.00000,521.00000,,326.00000,7213.00000,491.00000,3177.00000,362.00000,6075.00000,13288.00000,2964.00000,1876.00000,565.00000,2484.00000,5448.00000,3.00000,7887.00000,-50.00000,7840.00000,13288.00000
2020-12-31,6710.00000,778.00000,,233.00000,7721.00000,467.00000,1933.00000,375.00000,4699.00000,12420.00000,3492.00000,397.00000,567.00000,965.00000,4457.00000,3.00000,8054.00000,-94.00000,7963.00000,12420.00000
2020-09-30,6031.00000,423.00000,,376.00000,6830.00000,458.00000,1933.00000,312.00000,4640.00000,11470.00000,2485.00000,397.00000,512.00000,910.00000,3395.00000,3.00000,8016.00000,-89.00000,8075.00000,11470.00000
2020-06-30,5960.00000,507.00000,,223.00000,6690.00000,450.00000,1937.00000,313.00000,4594.00000,11284.00000,2568.00000,397.00000,536.00000,934.00000,3502.00000,3.00000,7831.00000,-52.00000,7782.00000,11284.00000
2020-03-31,5735.00000,461.00000,,321.00000,6517.00000,449.00000,1938.00000,305.00000,4595.00000,11112.00000,2664.00000,397.00000,589.00000,987.00000,3651.00000,3.00000,7508.00000,-50.00000,7461.00000,11112.00000
2019-12-31,5602.00000,798.00000,,229.00000,6629.00000,439.00000,1954.00000,311.00000,4532.00000,11161.00000,2338.00000,995.00000,589.00000,1586.00000,3924.00000,3.00000,7267.00000,-33.00000,7237.00000,11161.00000
2019-09-30,4883.00000,856.00000,,301.00000,6040.00000,442.00000,1962.00000,314.00000,4553.00000,10593.00000,1818.00000,995.00000,620.00000,1617.00000,3435.00000,3.00000,7165.00000,-10.00000,7158.00000,10593.00000
2019-06-30,5187.00000,329.00000,,284.00000,5800.00000,446.00000,1972.00000,323.00000,3949.00000,9749.00000,1650.00000,995.00000,617.00000,1614.00000,3264.00000,3.00000,6499.00000,-17.00000,6485.00000,9749.00000
2019-03-31,5445.00000,623.00000,,313.00000,6381.00000,448.00000,1979.00000,114.00000,2576.00000,8957.00000,2265.00000,994.00000,365.00000,1361.00000,3626.00000,3.00000,5358.00000,-30.00000,5331.00000,8957.00000
2018-12-31,5161.00000,806.00000,,280.00000,6247.00000,426.00000,1984.00000,94.00000,2610.00000,8857.00000,2090.00000,994.00000,428.00000,1423.00000,3513.00000,3.00000,5358.00000,-17.00000,5344.00000,8857.00000
2018-09-30,4545.00000,966.00000,,292.00000,5803.00000,440.00000,1994.00000,101.00000,2647.00000,8450.00000,1649.00000,993.00000,490.00000,1484.00000,3133.00000,3.00000,5199.00000,-19.00000,5317.00000,8450.00000
2018-06-30,4971.00000,371.00000,,282.00000,5624.00000,440.00000,1993.00000,98.00000,2623.00000,8247.00000,1464.00000,993.00000,529.00000,1523.00000,2987.00000,3.00000,4944.00000,-26.00000,5260.00000,8247.00000
2018-03-31,5331.00000,385.00000,,288.00000,6004.00000,453.00000,1954.00000,89.00000,2580.00000,8584.00000,2491.00000,992.00000,505.00000,1498.00000,3989.00000,3.00000,4062.00000,-127.00000,4595.00000,8584.00000
2017-12-31,4884.00000,886.00000,,196.00000,5966.00000,447.00000,1960.00000,110.00000,2676.00000,8642.00000,3107.00000,992.00000,455.00000,1449.00000,4556.00000,3.00000,3455.00000,-95.00000,4086.00000,8642.00000
2017-09-30,4355.00000,812.00000,,248.00000,5415.00000,444.00000,1716.00000,99.00000,2507.00000,7922.00000,2272.00000,991.00000,270.00000,1262.00000,3534.00000,3.00000,3641.00000,-73.00000,4388.00000,7922.00000
2017-06-30,4470.00000,222.00000,,210.00000,4902.00000,436.00000,1715.00000,90.00000,2473.00000,7375.00000,1629.00000,991.00000,268.00000,1260.00000,2889.00000,3.00000,3663.00000,-71.00000,4486.00000,7375.00000
2017-03-31,4532.00000,359.00000,,308.00000,5199.00000,434.00000,1715.00000,84.00000,2519.00000,7718.00000,2415.00000,990.00000,252.00000,1243.00000,3658.00000,3.00000,3027.00000,-19.00000,4060.00000,7718.00000
