,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,3725.00000,1932.00000,3069.00000,641.00000,9367.00000,2908.00000,,5570.00000,1039.00000,11364.00000,20731.00000,5655.00000,5111.00000,1487.00000,9174.00000,14829.00000,6.00000,14342.00000,-829.00000,5902.00000,20731.00000
2022-09-30,2938.00000,2156.00000,3018.00000,754.00000,8866.00000,2654.00000,,5605.00000,1006.00000,11123.00000,19989.00000,5271.00000,5107.00000,1505.00000,9201.00000,14472.00000,6.00000,14185.00000,-1078.00000,5517.00000,19989.00000
2022-06-30,3957.00000,1629.00000,2920.00000,792.00000,9298.00000,2650.00000,,5949.00000,1064.00000,11612.00000,20910.00000,5815.00000,5144.00000,1651.00000,9505.00000,15320.00000,6.00000,13912.00000,-762.00000,5590.00000,20910.00000
2022-03-31,3836.00000,2209.00000,2830.00000,625.00000,9500.00000,2493.00000,,6229.00000,1103.00000,11859.00000,21359.00000,5414.00000,5188.00000,1758.00000,9759.00000,15173.00000,6.00000,14076.00000,-626.00000,6186.00000,21359.00000
2021-12-31,4603.00000,2079.00000,2612.00000,661.00000,9955.00000,2451.00000,,6455.00000,1115.00000,12123.00000,22078.00000,5762.00000,5259.00000,1937.00000,10064.00000,15826.00000,6.00000,13735.00000,-646.00000,6252.00000,22078.00000
2021-09-30,3995.00000,2265.00000,2633.00000,593.00000,9486.00000,2358.00000,,6498.00000,1125.00000,12094.00000,21580.00000,5319.00000,5267.00000,1964.00000,10146.00000,15465.00000,6.00000,12864.00000,-625.00000,6115.00000,21580.00000
2021-06-30,4958.00000,1702.00000,2505.00000,603.00000,9768.00000,2280.00000,,6711.00000,1022.00000,12203.00000,21971.00000,5298.00000,5537.00000,2037.00000,10582.00000,15880.00000,6.00000,12244.00000,-470.00000,6091.00000,21971.00000
2021-03-31,6399.00000,1735.00000,2134.00000,729.00000,10997.00000,2106.00000,,3663.00000,922.00000,8903.00000,19900.00000,5197.00000,5487.00000,1460.00000,9145.00000,14342.00000,6.00000,11420.00000,-487.00000,5558.00000,19900.00000
2020-12-31,5545.00000,1972.00000,2116.00000,658.00000,10291.00000,2142.00000,,3825.00000,1012.00000,9304.00000,19595.00000,5420.00000,4913.00000,1492.00000,8719.00000,14139.00000,6.00000,11159.00000,-383.00000,5456.00000,19595.00000
2020-09-30,4267.00000,1812.00000,2204.00000,512.00000,8795.00000,2077.00000,,3779.00000,930.00000,9108.00000,17903.00000,4744.00000,4913.00000,1456.00000,8678.00000,13422.00000,6.00000,10480.00000,-594.00000,4481.00000,17903.00000
2020-06-30,5022.00000,1194.00000,2062.00000,614.00000,8892.00000,2055.00000,,3739.00000,813.00000,8889.00000,17781.00000,5179.00000,4914.00000,1448.00000,8640.00000,13819.00000,6.00000,10134.00000,-665.00000,3962.00000,17781.00000
2020-03-31,4876.00000,1846.00000,2087.00000,424.00000,9233.00000,2092.00000,,3823.00000,769.00000,9130.00000,18363.00000,5681.00000,4674.00000,1362.00000,8324.00000,14005.00000,6.00000,10595.00000,-712.00000,4358.00000,18363.00000
2019-12-31,3596.00000,2225.00000,2058.00000,469.00000,8348.00000,2086.00000,,4262.00000,724.00000,9589.00000,17937.00000,4953.00000,4662.00000,1403.00000,8383.00000,13336.00000,6.00000,10775.00000,-569.00000,4601.00000,17937.00000
2019-09-30,2259.00000,2294.00000,2055.00000,414.00000,7022.00000,2018.00000,,3059.00000,816.00000,8409.00000,15431.00000,4590.00000,2895.00000,1053.00000,6283.00000,10873.00000,6.00000,10393.00000,-627.00000,4558.00000,15431.00000
2019-06-30,2987.00000,1831.00000,2006.00000,388.00000,7212.00000,2068.00000,,3071.00000,805.00000,5944.00000,13156.00000,4605.00000,2896.00000,1244.00000,4140.00000,8745.00000,6.00000,9984.00000,-563.00000,4411.00000,13156.00000
2019-03-31,2902.00000,2036.00000,1814.00000,408.00000,7160.00000,1891.00000,173.00000,3080.00000,627.00000,5771.00000,12931.00000,4231.00000,2883.00000,1200.00000,4083.00000,8314.00000,6.00000,9984.00000,-498.00000,4617.00000,12931.00000
2018-12-31,2401.00000,2000.00000,1651.00000,388.00000,6440.00000,1859.00000,600.00000,3144.00000,633.00000,6236.00000,12676.00000,3776.00000,3373.00000,1194.00000,4567.00000,8343.00000,6.00000,9586.00000,-430.00000,4333.00000,12676.00000
2018-09-30,1993.00000,2214.00000,1681.00000,361.00000,6249.00000,1838.00000,661.00000,3193.00000,602.00000,6294.00000,12543.00000,3563.00000,3361.00000,1189.00000,4550.00000,8113.00000,6.00000,9170.00000,-409.00000,4430.00000,12543.00000
2018-06-30,2715.00000,1487.00000,1618.00000,348.00000,6168.00000,1823.00000,843.00000,3202.00000,531.00000,6399.00000,12567.00000,3310.00000,3361.00000,1186.00000,4547.00000,7857.00000,6.00000,9040.00000,-434.00000,4710.00000,12567.00000
2018-03-31,2524.00000,1761.00000,1533.00000,351.00000,6169.00000,1726.00000,1027.00000,3224.00000,626.00000,6603.00000,12772.00000,3388.00000,3363.00000,1284.00000,4647.00000,8035.00000,6.00000,8996.00000,-386.00000,4737.00000,12772.00000
2017-12-31,2499.00000,1699.00000,1445.00000,332.00000,5975.00000,1728.00000,1112.00000,3228.00000,561.00000,6629.00000,12604.00000,3403.00000,3374.00000,1238.00000,4612.00000,8015.00000,6.00000,8733.00000,-407.00000,4589.00000,12604.00000
2017-09-30,1825.00000,1799.00000,1518.00000,365.00000,5507.00000,1695.00000,1087.00000,3237.00000,676.00000,6695.00000,12202.00000,3142.00000,3383.00000,924.00000,4307.00000,7449.00000,6.00000,8752.00000,-435.00000,4753.00000,12202.00000
2017-06-30,1741.00000,1395.00000,1479.00000,349.00000,4964.00000,1671.00000,1026.00000,3243.00000,664.00000,6604.00000,11568.00000,2823.00000,3383.00000,960.00000,4343.00000,7166.00000,6.00000,8452.00000,-484.00000,4402.00000,11568.00000
2017-03-31,1840.00000,1528.00000,1310.00000,294.00000,4972.00000,1576.00000,993.00000,3279.00000,625.00000,6473.00000,11445.00000,2860.00000,3377.00000,1073.00000,4450.00000,7310.00000,6.00000,8350.00000,-599.00000,4135.00000,11445.00000
2016-12-31,1675.00000,1508.00000,1278.00000,328.00000,4789.00000,1563.00000,996.00000,3287.00000,577.00000,6423.00000,11212.00000,4458.00000,1890.00000,1056.00000,2946.00000,7404.00000,6.00000,8178.00000,-639.00000,3808.00000,11212.00000
2016-09-30,1189.00000,1624.00000,1296.00000,292.00000,4401.00000,1569.00000,1050.00000,1569.00000,759.00000,4947.00000,9348.00000,2712.00000,1908.00000,1053.00000,2961.00000,5673.00000,6.00000,7876.00000,-548.00000,3675.00000,9348.00000
2016-06-30,1383.00000,1258.00000,1264.00000,320.00000,4225.00000,1583.00000,1108.00000,1572.00000,735.00000,4998.00000,9223.00000,2681.00000,1910.00000,1045.00000,2955.00000,5636.00000,6.00000,7693.00000,-545.00000,3587.00000,9223.00000
2016-03-31,1073.80000,1416.60000,1150.50000,611.40000,4252.30000,1510.50000,1075.30000,1577.60000,400.60000,4564.00000,8816.30000,2433.70000,1612.50000,947.70000,2560.20000,4993.90000,5.70000,7711.60000,-439.30000,3822.40000,8816.30000
2015-12-31,1414.20000,1410.60000,1077.40000,573.60000,4475.80000,1496.80000,772.20000,1464.40000,372.90000,4106.30000,8582.10000,2479.40000,1607.30000,879.90000,2487.20000,4966.60000,5.70000,7557.90000,-497.20000,3615.50000,8582.10000
2015-09-30,1079.30000,1539.20000,1176.70000,588.10000,4383.30000,1468.50000,710.10000,1466.70000,396.80000,4042.10000,8425.40000,2454.30000,1612.50000,856.60000,2469.10000,4923.40000,5.70000,7223.70000,-449.40000,3502.00000,8425.40000
2015-06-30,1525.10000,1174.50000,1215.80000,268.20000,4183.60000,1490.20000,420.30000,1471.40000,661.40000,4043.30000,8226.90000,2129.80000,1595.10000,847.70000,2442.80000,4572.60000,5.70000,7004.10000,-381.50000,3654.30000,8226.90000
2015-03-31,1425.00000,1350.20000,1073.10000,580.90000,4429.20000,1398.20000,393.70000,1477.40000,396.60000,3665.90000,8095.10000,2097.40000,1317.50000,815.30000,2132.80000,4230.20000,5.70000,6942.10000,-408.90000,3864.90000,8095.10000
2014-12-31,1372.00000,1399.00000,1112.30000,542.70000,4426.00000,1434.20000,387.90000,1208.80000,399.70000,3430.60000,7856.60000,2044.20000,1320.70000,662.40000,1983.10000,4027.30000,5.60000,6761.50000,-295.30000,3829.30000,7856.60000
2014-09-30,1395.40000,1502.10000,1257.00000,573.40000,4727.90000,1444.30000,,1047.90000,444.20000,2936.40000,7664.30000,1941.70000,1319.00000,609.40000,1928.40000,3870.10000,5.60000,6417.40000,-204.10000,3794.20000,7664.30000
2014-06-30,1629.10000,1379.30000,1294.00000,522.80000,4825.20000,1502.60000,13.60000,1050.50000,476.90000,3043.60000,7868.80000,2056.70000,1324.70000,618.00000,1942.70000,3999.40000,5.60000,6265.80000,-100.30000,3869.40000,7868.80000
2014-03-31,1530.20000,1399.00000,1215.40000,547.20000,4691.80000,1434.90000,,1051.70000,467.60000,2954.20000,7646.00000,2039.30000,1327.70000,596.60000,1924.30000,3963.60000,5.60000,6085.10000,-109.50000,3682.40000,7646.00000
2013-12-31,1748.00000,1501.00000,1145.90000,530.70000,4925.60000,1395.40000,,1053.30000,466.90000,2915.60000,7841.20000,2039.10000,1322.90000,596.10000,1919.00000,3958.10000,5.60000,5949.10000,-106.30000,3883.10000,7841.20000
2013-09-30,1322.20000,1566.70000,1196.30000,547.20000,4632.40000,1364.40000,,1051.90000,471.80000,2888.10000,7520.50000,1987.60000,1324.70000,595.70000,1920.40000,3908.00000,5.60000,5594.70000,-96.30000,3612.50000,7520.50000
2013-06-30,1495.70000,1171.70000,1113.90000,515.90000,4297.20000,1350.70000,,1051.10000,446.20000,2848.00000,7145.20000,1934.60000,1326.00000,582.70000,1908.70000,3843.30000,5.60000,5364.10000,-157.50000,3301.90000,7145.20000
2013-03-31,1438.60000,1361.90000,989.30000,496.40000,4286.20000,1296.00000,,1071.50000,441.40000,2808.90000,7095.10000,1915.90000,1329.20000,643.20000,1972.40000,3888.30000,5.60000,5340.30000,-198.30000,3206.80000,7095.10000
2012-12-31,1323.60000,1531.70000,994.10000,491.60000,4341.00000,1301.60000,,1073.70000,453.80000,2829.10000,7170.10000,2052.20000,1330.10000,664.70000,1994.80000,4047.00000,5.60000,5231.60000,-133.60000,3123.10000,7170.10000
2012-09-30,1053.70000,1604.70000,1067.90000,486.80000,4213.10000,1268.90000,,1073.40000,452.20000,2794.50000,7007.60000,1972.40000,1330.70000,664.00000,1994.70000,3967.10000,5.50000,5064.40000,-144.40000,3040.50000,7007.60000
2012-06-30,1347.70000,1060.30000,983.60000,463.50000,3855.10000,1231.80000,,1072.70000,433.40000,2737.90000,6593.00000,2125.80000,1069.10000,650.60000,1719.70000,3845.50000,5.50000,4764.90000,-212.90000,2747.50000,6593.00000
2012-03-31,1192.80000,1304.80000,898.70000,503.60000,3899.90000,1181.80000,,1090.50000,429.30000,2701.60000,6601.50000,2058.20000,1065.90000,621.90000,1687.80000,3746.00000,5.50000,4715.30000,-48.90000,2855.50000,6601.50000
2011-12-31,999.10000,1383.70000,898.90000,471.60000,3753.30000,1151.40000,,1090.80000,346.70000,2588.90000,6342.20000,2022.10000,1068.70000,607.70000,1676.40000,3698.50000,5.50000,4584.90000,-84.20000,2643.70000,6342.20000
2011-09-30,719.50000,1378.50000,982.20000,481.90000,3562.10000,1125.10000,,1098.80000,349.40000,2573.30000,6135.40000,1969.60000,1072.80000,601.00000,1673.80000,3643.40000,2.70000,4395.10000,-66.20000,2492.00000,6135.40000
2011-06-30,1253.00000,945.60000,995.60000,492.30000,3686.50000,1143.10000,,1104.80000,339.50000,2587.40000,6273.90000,1943.30000,1080.10000,603.50000,1683.60000,3626.90000,5.50000,4113.70000,17.70000,2647.00000,6273.90000
2011-03-31,1099.00000,1249.60000,889.30000,472.60000,3710.50000,1087.20000,,1106.60000,292.20000,2486.00000,6196.50000,1974.50000,1082.80000,610.40000,1693.20000,3667.70000,2.70000,4075.40000,-49.70000,2528.80000,6196.50000
2010-12-31,1043.10000,1172.50000,866.90000,431.60000,3514.10000,1066.90000,13.90000,1141.60000,245.30000,2467.70000,5981.80000,1751.40000,1205.10000,619.60000,1824.70000,3576.10000,2.70000,3950.70000,-111.90000,2405.70000,5981.80000
2010-09-30,693.50000,1155.40000,905.20000,444.30000,3198.40000,1043.80000,13.70000,1141.70000,239.90000,2439.10000,5637.50000,1686.90000,1204.50000,608.10000,1812.60000,3499.50000,2.70000,3755.10000,-121.10000,2138.00000,5637.50000
2010-06-30,1120.70000,746.20000,826.60000,427.50000,3121.00000,1023.60000,,862.00000,329.00000,2214.60000,5335.60000,1572.20000,1205.00000,593.00000,1798.00000,3370.20000,2.70000,3564.00000,-196.70000,1965.40000,5335.60000
2010-03-31,1381.20000,978.80000,784.50000,397.90000,3542.40000,1012.50000,12.90000,873.50000,352.70000,2251.60000,5794.00000,1647.30000,1395.90000,650.60000,2046.50000,3693.80000,2.70000,3540.10000,-114.30000,2100.20000,5794.00000
2009-12-31,1223.60000,1098.50000,756.40000,371.00000,3449.50000,1012.00000,13.00000,875.00000,362.00000,2262.00000,5711.50000,1655.70000,1375.90000,671.30000,2047.20000,3702.90000,2.60000,3482.70000,-77.00000,2008.60000,5711.50000
2009-09-30,799.20000,1097.40000,844.20000,422.20000,3163.00000,1017.90000,13.10000,915.60000,357.20000,2303.80000,5466.80000,1539.70000,1389.40000,681.10000,2070.50000,3610.20000,2.60000,3335.70000,-83.50000,1856.60000,5466.80000
2009-06-30,864.50000,853.30000,795.00000,399.70000,2912.50000,1026.70000,12.70000,910.00000,314.70000,2264.10000,5176.60000,1459.20000,1387.60000,665.80000,2053.40000,3512.60000,2.60000,3195.00000,-117.10000,1664.00000,5176.60000
2009-03-31,640.60000,1031.60000,820.30000,403.50000,2896.00000,1010.10000,20.60000,908.40000,283.70000,2222.80000,5118.80000,1442.50000,1403.30000,596.10000,2025.00000,3467.50000,2.60000,3212.90000,-114.70000,1651.30000,5118.80000
