,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,224.16400,1495.25700,1330.94000,190.61100,710.40100,4095.02600,42477.13000,,377.17200,1162.42300,54500.16000,58595.19000,6369.44700,23623.51000,9074.31800,39160.85000,45530.30000,2.79700,10502.04000,-191.75400,13064.89000,58595.19000
2022-09-30,1003.49100,1706.76100,1264.62700,255.87300,1138.04100,5509.80500,41718.85000,,377.17200,1101.99900,53465.49000,58975.30000,6154.87500,24635.94000,9191.68300,40626.15000,46781.03000,2.72000,10621.31000,-313.37000,12194.27000,58975.30000
2022-06-30,579.88900,1562.48800,1232.75800,249.65900,983.93500,4795.41100,41213.70000,,377.17200,688.32800,53032.17000,57827.58000,5541.61500,24543.90000,9228.72400,40467.39000,46009.01000,2.72000,10266.19000,-324.03800,11818.57000,57827.58000
2022-03-31,701.59100,1215.00200,1206.31500,215.23100,375.67000,3839.00100,41194.15000,357.09200,377.17200,359.34000,55994.53000,59833.53000,5363.18500,26176.45000,9435.75600,42693.52000,48056.70000,2.72000,10311.89000,-336.57800,11776.83000,59833.53000
2021-12-31,442.55900,1370.35600,1196.09000,156.77400,324.39400,3623.59500,42244.16000,,377.17200,786.90390,55830.64000,59454.24000,6190.74200,24841.57000,9629.02700,41558.11000,47748.85000,2.72000,10240.55000,-332.52800,11705.39000,59454.24000
2021-09-30,1000.03600,1530.80900,1158.24300,193.08400,209.85300,4232.66700,41188.98000,,377.17200,802.57900,54610.84000,58843.50000,6644.90000,23846.68000,9650.66400,40911.08000,47555.98000,2.70300,10184.64000,-472.03900,11287.52000,58843.50000
2021-06-30,686.88100,1440.00400,1146.30400,195.92200,152.23000,3794.70600,39431.41000,,377.17200,823.05800,52154.58000,55949.28000,3804.54000,24211.97000,9611.78500,41221.79000,45026.34000,2.70300,9844.54900,-478.73900,10922.95000,55949.28000
2021-03-31,1742.65600,1338.41600,1118.82700,179.31500,226.61900,4788.55400,39022.03000,,377.17200,857.51900,53879.07000,58667.63000,4511.90600,24075.46000,11338.34000,43103.55000,47615.45000,2.70000,10041.15000,-500.50700,11052.18000,58667.63000
2020-12-31,1759.09900,1285.72700,1135.11900,196.42400,4.38000,4559.89900,38852.78000,,377.17200,802.88900,53679.31000,58239.21000,7060.50600,21205.76000,11365.11000,40217.57000,47278.07000,2.70000,9897.18200,-449.20700,10961.14000,58239.21000
2020-09-30,1239.66400,1347.42000,1065.04600,232.79600,6.79800,4062.80500,38001.00000,,377.17200,1103.19600,52007.45000,56070.25000,6875.52600,19612.66000,11151.30000,38168.48000,45044.00000,2.70000,9699.43500,-390.42000,11026.25000,56070.25000
