,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,363.80000,2599.90000,1731.50000,415.40000,5110.60000,789.60000,10.30000,4046.80000,623.30000,5654.10000,10764.70000,3632.20000,2732.50000,805.90000,3928.90000,7561.10000,18.60000,5354.80000,-542.00000,3203.60000,10764.70000
2022-06-30,591.50000,2885.10000,1590.40000,450.40000,5517.40000,797.40000,10.10000,3902.20000,602.20000,5526.80000,11044.20000,3985.70000,2731.70000,826.00000,3931.20000,7916.90000,18.60000,5199.10000,-460.40000,3127.30000,11044.20000
2022-03-31,365.10000,2868.60000,1590.70000,474.00000,5298.40000,804.10000,10.20000,3954.60000,614.10000,5606.40000,10904.80000,3829.30000,2732.40000,881.50000,3993.30000,7822.60000,18.60000,5131.80000,-435.60000,3082.20000,10904.80000
2021-12-31,516.80000,2583.70000,1521.90000,431.40000,5053.80000,817.00000,9.20000,3985.20000,613.80000,5619.30000,10673.10000,3520.30000,2731.70000,893.20000,4009.10000,7529.40000,18.60000,5092.90000,-325.50000,3143.70000,10673.10000
2021-09-30,341.00000,2503.50000,1450.50000,433.20000,4728.20000,782.20000,8.60000,4010.50000,667.30000,5682.00000,10410.20000,3427.60000,2631.70000,904.40000,3925.60000,7353.20000,18.60000,4864.90000,-284.20000,3057.00000,10410.20000
2021-06-30,728.50000,2627.30000,1398.10000,443.40000,5197.30000,776.70000,6.60000,4040.40000,693.20000,5744.80000,10942.10000,3841.50000,2630.80000,943.80000,3966.50000,7808.00000,18.60000,4767.90000,-304.50000,3134.10000,10942.10000
2021-03-31,416.70000,2532.80000,1254.70000,462.90000,4667.10000,764.20000,3.90000,4049.90000,712.80000,5756.20000,10423.30000,3380.10000,2631.40000,990.20000,4011.90000,7392.00000,18.60000,4627.00000,-282.80000,3031.30000,10423.30000
2020-12-31,568.90000,2330.30000,1095.60000,380.80000,4375.60000,771.70000,3.10000,4094.10000,712.30000,5810.80000,10186.40000,2829.00000,2929.50000,1047.30000,4373.20000,7202.20000,18.60000,4506.40000,-282.20000,2984.20000,10186.40000
2020-09-30,297.10000,2137.90000,1155.50000,424.70000,4015.20000,739.20000,1.70000,4074.80000,684.60000,5757.00000,9772.20000,2368.30000,3028.30000,1019.80000,4435.50000,6803.80000,18.60000,4519.30000,-357.90000,2968.40000,9772.20000
2020-06-30,342.70000,2342.40000,1138.50000,464.60000,4288.20000,733.80000,1.70000,4064.60000,655.80000,5705.50000,9993.70000,2682.90000,3027.50000,1052.60000,4459.90000,7142.80000,18.60000,4465.10000,-415.20000,2850.90000,9993.70000
2020-03-31,436.20000,2460.10000,1062.70000,513.00000,4472.00000,735.70000,0.70000,4071.30000,675.00000,5717.20000,10189.20000,2456.50000,3531.80000,1121.20000,5030.00000,7486.50000,18.60000,4337.90000,-426.80000,2702.70000,10189.20000
2019-12-31,339.10000,2231.20000,1017.00000,487.50000,4074.80000,758.00000,0.70000,4096.50000,685.30000,5797.90000,9872.70000,2723.90000,3031.10000,1178.90000,4587.40000,7311.30000,18.60000,4188.80000,-412.00000,2561.40000,9872.70000
2019-09-30,419.70000,2001.10000,1167.40000,489.40000,4077.60000,728.40000,0.70000,4098.70000,609.30000,5726.20000,9803.80000,2521.50000,3032.40000,1190.20000,4603.00000,7124.50000,18.60000,4249.00000,-426.80000,2679.30000,9803.80000
2019-06-30,83.40000,2384.00000,1153.40000,476.20000,4097.00000,730.30000,0.70000,4142.80000,564.80000,5727.50000,9824.50000,3230.10000,2144.30000,1268.40000,3799.50000,7029.60000,18.60000,4210.50000,-353.50000,2794.90000,9824.50000
2019-03-31,109.50000,2530.20000,1137.10000,427.30000,4204.10000,733.80000,0.70000,4150.60000,578.80000,5741.89900,9946.00000,3337.60000,2145.00000,1295.90000,3816.60000,7154.20000,18.60000,4088.40000,-324.40000,2791.80000,9946.00000
2018-12-31,134.40000,2143.80000,1025.50000,432.60000,4030.20000,756.90000,0.70000,4171.50000,383.40000,5944.10000,9974.30000,2993.40000,2145.00000,1201.40000,3770.50000,6763.90000,18.60000,4334.30000,-308.90000,3210.40000,9974.30000
2018-09-30,176.50000,1901.90000,995.40000,417.40000,3491.20000,1002.70000,0.70000,4206.30000,416.40000,5915.70000,9406.90000,2271.50000,2593.30000,1117.70000,4057.10000,6328.60000,18.60000,4355.10000,-299.50000,3078.30000,9406.90000
2018-06-30,326.40000,2194.10000,958.70000,513.80000,3993.00000,1014.30000,1.50000,3974.00000,448.20000,5725.20000,9718.20000,2448.30000,2892.90000,1150.30000,4244.20000,6692.50000,18.60000,4304.70000,-293.20000,3025.70000,9718.20000
2018-03-31,359.70000,2399.70000,1035.20000,534.50000,4335.60000,1030.40000,1.50000,4048.00000,472.20000,5813.50000,10149.10000,2686.00000,2993.20000,1221.70000,4448.40000,7134.40000,18.60000,4197.30000,-185.50000,3014.70000,10149.10000
2017-12-31,283.00000,2043.50000,992.50000,326.40000,3652.70000,1025.20000,1.40000,3830.70000,443.60000,5553.60100,9206.30000,2209.40000,2993.00000,1064.30000,4289.80000,6499.20000,18.60000,3952.40000,-240.30000,2707.10000,9206.30000
2017-09-30,93.80000,1457.60000,614.80000,280.70000,3574.20000,547.00000,1.40000,1276.90000,418.50000,2482.60000,6056.80000,1630.60000,1492.90000,580.00000,2291.00000,3921.60000,18.60000,3444.60000,-288.60000,2135.20000,6056.80000
