,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1242.00000,11803.00000,6322.00000,1696.00000,21063.00000,5900.00000,22158.00000,2464.00000,30522.00000,51585.00000,15341.00000,9243.00000,8433.00000,17676.00000,33017.00000,482.00000,37403.00000,-2152.00000,18568.00000,51585.00000
2022-09-30,2496.00000,10905.00000,6257.00000,1347.00000,21005.00000,5565.00000,22076.00000,2470.00000,30111.00000,51116.00000,15659.00000,9239.00000,8567.00000,17806.00000,33465.00000,482.00000,36774.00000,-2478.00000,17651.00000,51116.00000
2022-06-30,2223.00000,11032.00000,6158.00000,1166.00000,20579.00000,5479.00000,21869.00000,2554.00000,29902.00000,50481.00000,14736.00000,9741.00000,8623.00000,18364.00000,33100.00000,482.00000,36218.00000,-2153.00000,17381.00000,50481.00000
2022-03-31,2907.00000,10903.00000,5548.00000,1436.00000,20794.00000,5450.00000,22040.00000,2592.00000,30082.00000,50876.00000,14036.00000,10491.00000,8335.00000,18826.00000,32862.00000,482.00000,35800.00000,-1865.00000,18014.00000,50876.00000
2021-12-31,1603.00000,11539.00000,5340.00000,1505.00000,19987.00000,5417.00000,22076.00000,2593.00000,30086.00000,50073.00000,13978.00000,10490.00000,7964.00000,18454.00000,32432.00000,482.00000,35420.00000,-1920.00000,17641.00000,50073.00000
2021-09-30,3139.00000,11380.00000,5651.00000,1516.00000,21686.00000,5195.00000,22114.00000,2375.00000,29684.00000,51370.00000,14604.00000,11485.00000,9560.00000,21045.00000,35649.00000,482.00000,34800.00000,-3521.00000,15721.00000,51370.00000
2021-06-30,2950.00000,11178.00000,5803.00000,1649.00000,21580.00000,5135.00000,22024.00000,2444.00000,29603.00000,51183.00000,14981.00000,11485.00000,9396.00000,20881.00000,35862.00000,482.00000,34273.00000,-3447.00000,15321.00000,51183.00000
2021-03-31,1811.00000,11178.00000,5688.00000,1731.00000,20408.00000,5090.00000,22015.00000,2450.00000,29555.00000,49963.00000,15153.00000,9995.00000,9475.00000,19470.00000,34623.00000,482.00000,33869.00000,-3578.00000,15340.00000,49963.00000
2020-12-31,2824.00000,11185.00000,5745.00000,1789.00000,21543.00000,5100.00000,22170.00000,2495.00000,29765.00000,51308.00000,15964.00000,9995.00000,9688.00000,19683.00000,35647.00000,482.00000,33498.00000,-3550.00000,15661.00000,51308.00000
2020-09-30,1469.00000,12006.00000,6402.00000,988.00000,20865.00000,4863.00000,22051.00000,2479.00000,29393.00000,50258.00000,16120.00000,9978.00000,9444.00000,19422.00000,35542.00000,482.00000,32812.00000,-3855.00000,14716.00000,50258.00000
2020-06-30,2300.00000,11230.00000,6666.00000,939.00000,21135.00000,4721.00000,21915.00000,2451.00000,29087.00000,50222.00000,16606.00000,10470.00000,9256.00000,19726.00000,36332.00000,482.00000,32294.00000,-4127.00000,13890.00000,50222.00000
2020-03-31,5330.00000,11485.00000,6852.00000,1074.00000,24741.00000,4537.00000,21912.00000,2520.00000,28969.00000,53710.00000,18440.00000,12951.00000,9119.00000,22070.00000,40510.00000,482.00000,31983.00000,-4471.00000,13200.00000,53710.00000
2019-12-31,902.00000,11401.00000,6306.00000,1679.00000,20288.00000,4475.00000,21992.00000,2594.00000,29061.00000,49349.00000,16801.00000,9010.00000,9560.00000,18570.00000,35371.00000,482.00000,31633.00000,-3818.00000,13978.00000,49349.00000
2019-09-30,974.00000,11566.00000,6573.00000,1038.00000,20151.00000,4217.00000,21993.00000,2427.00000,28637.00000,48788.00000,18227.00000,8989.00000,8059.00000,17048.00000,35275.00000,482.00000,30909.00000,-3531.00000,13513.00000,48788.00000
2019-06-30,702.00000,11227.00000,6480.00000,1148.00000,19557.00000,4091.00000,22119.00000,2307.00000,28517.00000,48074.00000,18014.00000,8975.00000,8208.00000,17183.00000,35197.00000,482.00000,30291.00000,-3476.00000,12877.00000,48074.00000
2019-03-31,673.00000,11085.00000,6185.00000,924.00000,18867.00000,4054.00000,22186.00000,2359.00000,28599.00000,47466.00000,15382.00000,11451.00000,8399.00000,19850.00000,35232.00000,482.00000,29781.00000,-3683.00000,12234.00000,47466.00000
2018-12-31,963.00000,10335.00000,5977.00000,914.00000,18189.00000,3978.00000,22179.00000,1062.00000,27219.00000,45408.00000,14739.00000,11444.00000,7493.00000,18937.00000,33676.00000,482.00000,29326.00000,-3778.00000,11732.00000,45408.00000
2018-09-30,1010.00000,11300.00000,6247.00000,1401.00000,19958.00000,4244.00000,22153.00000,608.00000,27005.00000,46963.00000,15689.00000,11403.00000,7116.00000,18519.00000,34208.00000,482.00000,28691.00000,-3361.00000,12755.00000,46963.00000
2018-06-30,1862.00000,10999.00000,5890.00000,1076.00000,19827.00000,4179.00000,22476.00000,670.00000,27325.00000,47152.00000,16573.00000,11397.00000,7188.00000,18585.00000,35158.00000,482.00000,28115.00000,-3558.00000,11994.00000,47152.00000
2018-03-31,4332.00000,9634.00000,5543.00000,955.00000,20464.00000,3533.00000,12657.00000,565.00000,16755.00000,37219.00000,15242.00000,3981.00000,6222.00000,10203.00000,25445.00000,482.00000,27605.00000,-3391.00000,11774.00000,37219.00000
2017-12-31,2983.00000,8857.00000,5303.00000,1185.00000,18328.00000,3517.00000,12616.00000,585.00000,16718.00000,35046.00000,13099.00000,3980.00000,6532.00000,10512.00000,23611.00000,482.00000,26444.00000,-2820.00000,11435.00000,35046.00000
2017-09-30,2722.00000,9000.00000,5781.00000,577.00000,18080.00000,3461.00000,12633.00000,740.00000,16834.00000,34914.00000,13209.00000,3979.00000,6162.00000,10141.00000,23350.00000,482.00000,26058.00000,-2651.00000,11564.00000,34914.00000
2017-06-30,1856.00000,8735.00000,5839.00000,696.00000,17126.00000,3424.00000,12364.00000,879.00000,16667.00000,33793.00000,13503.00000,2989.00000,6349.00000,9338.00000,22841.00000,482.00000,25546.00000,-2922.00000,10952.00000,33793.00000
2017-03-31,2168.00000,8040.00000,5822.00000,584.00000,16614.00000,3412.00000,12211.00000,974.00000,16597.00000,33211.00000,13165.00000,2988.00000,6475.00000,9463.00000,22628.00000,482.00000,25049.00000,-3262.00000,10583.00000,33211.00000
2016-12-31,2334.00000,7611.00000,5118.00000,1471.00000,16534.00000,3477.00000,12123.00000,1038.00000,16638.00000,33172.00000,13450.00000,2988.00000,6433.00000,9421.00000,22871.00000,482.00000,24543.00000,-3387.00000,10301.00000,33172.00000
2016-09-30,2303.00000,8715.00000,3657.00000,622.00000,15297.00000,3445.00000,12296.00000,1630.00000,17371.00000,32668.00000,11893.00000,3885.00000,5573.00000,9458.00000,21351.00000,482.00000,24661.00000,-2891.00000,11317.00000,32668.00000
2016-06-30,1899.00000,8535.00000,3520.00000,432.00000,14386.00000,3440.00000,12305.00000,1638.00000,17383.00000,31769.00000,12135.00000,2899.00000,5740.00000,8639.00000,20774.00000,482.00000,24213.00000,-2965.00000,10995.00000,31769.00000
2016-03-31,1907.00000,8359.00000,3504.00000,418.00000,14188.00000,3477.00000,12354.00000,1683.00000,17514.00000,31702.00000,12423.00000,2899.00000,5798.00000,8697.00000,21120.00000,482.00000,23687.00000,-2941.00000,10582.00000,31702.00000
2015-12-31,2785.00000,7803.00000,3366.00000,617.00000,14571.00000,3466.00000,12206.00000,1754.00000,17426.00000,31997.00000,12445.00000,2898.00000,5916.00000,8814.00000,21259.00000,482.00000,23204.00000,-3286.00000,10738.00000,31997.00000
2015-09-30,3372.00000,8011.00000,3239.00000,666.00000,15288.00000,3370.00000,12333.00000,1989.00000,17692.00000,32980.00000,13178.00000,2912.00000,6156.00000,9068.00000,22246.00000,482.00000,22655.00000,-3185.00000,10734.00000,32980.00000
2015-06-30,4032.00000,7868.00000,3359.00000,514.00000,15773.00000,3329.00000,12485.00000,2067.00000,17881.00000,33654.00000,12708.00000,3411.00000,6259.00000,9670.00000,22378.00000,482.00000,22143.00000,-3092.00000,11276.00000,33654.00000
2015-03-31,4412.00000,8105.00000,3397.00000,438.00000,16352.00000,3323.00000,12592.00000,2118.00000,18033.00000,34385.00000,13112.00000,3410.00000,6343.00000,9753.00000,22865.00000,482.00000,21615.00000,-3216.00000,11520.00000,34385.00000
2014-12-31,4388.00000,8641.00000,3221.00000,1157.00000,17407.00000,3329.00000,12643.00000,1958.00000,17930.00000,35337.00000,13751.00000,3392.00000,6365.00000,9757.00000,23508.00000,482.00000,21127.00000,-2932.00000,11829.00000,35337.00000
2014-09-30,5105.00000,8617.00000,3139.00000,1308.00000,18169.00000,3322.00000,12685.00000,1135.00000,17142.00000,35311.00000,14670.00000,3410.00000,4221.00000,7631.00000,22301.00000,482.00000,20631.00000,-1337.00000,13010.00000,35311.00000
2014-06-30,3841.00000,9408.00000,3158.00000,776.00000,17183.00000,3327.00000,12910.00000,912.00000,17149.00000,34332.00000,13222.00000,3409.00000,4582.00000,7991.00000,21213.00000,482.00000,20142.00000,-1104.00000,13119.00000,34332.00000
2014-03-31,4296.00000,9175.00000,2977.00000,516.00000,16964.00000,3408.00000,13130.00000,880.00000,17418.00000,34382.00000,12623.00000,3409.00000,4660.00000,8069.00000,20692.00000,482.00000,19809.00000,-1203.00000,13690.00000,34382.00000
2013-12-31,5301.00000,9150.00000,2890.00000,821.00000,18162.00000,3359.00000,12976.00000,997.00000,17332.00000,35494.00000,12259.00000,3908.00000,4826.00000,8734.00000,20993.00000,482.00000,19428.00000,-1185.00000,14501.00000,35494.00000
2013-09-30,4065.00000,9478.00000,2986.00000,589.00000,17118.00000,3365.00000,13256.00000,1732.00000,18353.00000,35471.00000,12065.00000,3908.00000,6893.00000,10801.00000,22866.00000,482.00000,19131.00000,-2669.00000,12605.00000,35471.00000
2013-06-30,3757.00000,9399.00000,2935.00000,447.00000,16538.00000,3351.00000,13179.00000,1663.00000,18193.00000,34731.00000,11841.00000,3907.00000,7227.00000,11134.00000,22975.00000,482.00000,18677.00000,-2889.00000,11756.00000,34731.00000
2013-03-31,3745.00000,9334.00000,2863.00000,408.00000,16350.00000,3374.00000,13244.00000,1641.00000,18259.00000,34609.00000,11769.00000,3909.00000,7349.00000,11258.00000,23027.00000,482.00000,18234.00000,-2894.00000,11582.00000,34609.00000
2012-12-31,3296.00000,9168.00000,2776.00000,504.00000,15744.00000,3403.00000,13431.00000,1731.00000,18565.00000,34309.00000,11620.00000,3908.00000,7391.00000,11299.00000,22919.00000,482.00000,17860.00000,-2775.00000,11390.00000,34309.00000
2012-09-30,2874.00000,9370.00000,2661.00000,688.00000,15593.00000,3345.00000,15720.00000,845.00000,19910.00000,35503.00000,12193.00000,2924.00000,6114.00000,9038.00000,21231.00000,482.00000,20170.00000,-2157.00000,14272.00000,35503.00000
2012-06-30,2540.00000,9487.00000,2648.00000,852.00000,15527.00000,3248.00000,15500.00000,928.00000,19676.00000,35203.00000,12179.00000,2905.00000,6457.00000,9362.00000,21541.00000,482.00000,19751.00000,-2302.00000,13662.00000,35203.00000
2012-03-31,2632.00000,9615.00000,2444.00000,819.00000,15510.00000,3290.00000,15542.00000,967.00000,19799.00000,35309.00000,10953.00000,3905.00000,6597.00000,10502.00000,21455.00000,482.00000,19297.00000,-2112.00000,13854.00000,35309.00000
2011-12-31,2649.00000,9597.00000,2310.00000,812.00000,15368.00000,3284.00000,15389.00000,842.00000,19515.00000,34883.00000,11145.00000,3907.00000,6599.00000,10506.00000,21651.00000,482.00000,18917.00000,-2312.00000,13232.00000,34883.00000
2011-09-30,1540.00000,9256.00000,2506.00000,738.00000,14040.00000,3063.00000,15498.00000,807.00000,19368.00000,33408.00000,10482.00000,3907.00000,5400.00000,9307.00000,19789.00000,482.00000,18483.00000,-1441.00000,13619.00000,33408.00000
2011-06-30,2157.00000,9235.00000,2382.00000,899.00000,14673.00000,3048.00000,14833.00000,807.00000,18688.00000,33361.00000,11493.00000,2409.00000,5534.00000,7943.00000,19436.00000,482.00000,18000.00000,-960.00000,13925.00000,33361.00000
2011-03-31,2484.00000,9133.00000,2273.00000,905.00000,14795.00000,2993.00000,14666.00000,650.00000,18309.00000,33104.00000,11252.00000,2411.00000,5564.00000,7975.00000,19227.00000,482.00000,17518.00000,-1257.00000,13877.00000,33104.00000
2010-12-31,2613.00000,8721.00000,2158.00000,694.00000,14186.00000,2971.00000,14641.00000,747.00000,18359.00000,32545.00000,11177.00000,2430.00000,5622.00000,8052.00000,19229.00000,482.00000,17076.00000,-1436.00000,13316.00000,32545.00000
2010-09-30,1843.00000,8860.00000,1986.00000,701.00000,13390.00000,2918.00000,14555.00000,620.00000,18093.00000,31483.00000,10311.00000,2430.00000,5160.00000,7590.00000,17901.00000,482.00000,16504.00000,-989.00000,13582.00000,31483.00000
2010-06-30,1853.00000,8438.00000,1967.00000,908.00000,13166.00000,2850.00000,14334.00000,522.00000,17706.00000,30872.00000,9795.00000,3159.00000,5079.00000,8238.00000,18033.00000,482.00000,16014.00000,-1371.00000,12839.00000,30872.00000
2010-03-31,2025.00000,8430.00000,1985.00000,913.00000,13353.00000,2850.00000,14320.00000,536.00000,17706.00000,31059.00000,9937.00000,3159.00000,5184.00000,8343.00000,18280.00000,482.00000,15527.00000,-1269.00000,12779.00000,31059.00000
2009-12-31,2263.00000,8127.00000,2126.00000,733.00000,13249.00000,2912.00000,14367.00000,549.00000,17828.00000,31077.00000,10371.00000,3159.00000,5124.00000,8283.00000,18654.00000,482.00000,15093.00000,-1207.00000,12423.00000,31077.00000
2009-09-30,1409.00000,8323.00000,2112.00000,384.00000,12228.00000,2874.00000,14256.00000,417.00000,17547.00000,29775.00000,9827.00000,3159.00000,5071.00000,8230.00000,18057.00000,482.00000,14626.00000,-1435.00000,11718.00000,29775.00000
2009-06-30,1614.00000,8057.00000,2138.00000,489.00000,12298.00000,2857.00000,13305.00000,398.00000,16560.00000,28858.00000,9260.00000,3860.00000,4737.00000,8597.00000,17857.00000,482.00000,14201.00000,-1659.00000,11001.00000,28858.00000
2009-03-31,1126.00000,8033.00000,2083.00000,588.00000,11830.00000,2840.00000,13135.00000,474.00000,16449.00000,28279.00000,10080.00000,3112.00000,4816.00000,7928.00000,18008.00000,482.00000,13730.00000,-1885.00000,10271.00000,28279.00000
