,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,31303.00000,46956.00000,15366.00000,6825.00000,100451.00000,45248.00000,10176.00000,4945.00000,42087.00000,163586.00000,264037.00000,91173.00000,75921.00000,14767.00000,100936.00000,192110.00000,14.00000,49251.00000,-7901.00000,,71927.00000,264037.00000
2022-09-30,30311.00000,45070.00000,16367.00000,6524.00000,98271.00000,42795.00000,9910.00000,4968.00000,44462.00000,162258.00000,260529.00000,86003.00000,77523.00000,14795.00000,104986.00000,190989.00000,14.00000,47910.00000,-9313.00000,,69540.00000,260529.00000
2022-06-30,26834.00000,40896.00000,16859.00000,6504.00000,91094.00000,41943.00000,9733.00000,5013.00000,46468.00000,162422.00000,253517.00000,79398.00000,78081.00000,14677.00000,105860.00000,185257.00000,15.00000,45554.00000,-8876.00000,,68260.00000,253517.00000
2022-03-31,26256.00000,40386.00000,14838.00000,7113.00000,88594.00000,41708.00000,10402.00000,5058.00000,48035.00000,162898.00000,251492.00000,79555.00000,76768.00000,14601.00000,105162.00000,184718.00000,15.00000,43879.00000,-8814.00000,,66774.00000,251492.00000
2021-12-31,28676.00000,34043.00000,12988.00000,6396.00000,82103.00000,41115.00000,9677.00000,5087.00000,49417.00000,162615.00000,244718.00000,74408.00000,75659.00000,15085.00000,104495.00000,178903.00000,15.00000,41937.00000,-9269.00000,,65815.00000,244718.00000
2021-09-30,23940.00000,33184.00000,14534.00000,6133.00000,77791.00000,39637.00000,9234.00000,5126.00000,49879.00000,160766.00000,238557.00000,71951.00000,74134.00000,15218.00000,106285.00000,178236.00000,15.00000,40212.00000,-13003.00000,,60321.00000,238557.00000
2021-06-30,29131.00000,32611.00000,13102.00000,7765.00000,82609.00000,38822.00000,8882.00000,5169.00000,48406.00000,159194.00000,241803.00000,74811.00000,76698.00000,14652.00000,109116.00000,183927.00000,15.00000,37806.00000,-12996.00000,,57876.00000,241803.00000
2021-03-31,29380.00000,33709.00000,12066.00000,6936.00000,82091.00000,37797.00000,8979.00000,5185.00000,47580.00000,156320.00000,238411.00000,76323.00000,76179.00000,13166.00000,107645.00000,183968.00000,14.00000,34988.00000,-13326.00000,,54443.00000,238411.00000
2020-12-31,29038.00000,34244.00000,10235.00000,7407.00000,80924.00000,37632.00000,8406.00000,5230.00000,47083.00000,154270.00000,235194.00000,79910.00000,72981.00000,13447.00000,105607.00000,185517.00000,14.00000,31962.00000,-13488.00000,,49677.00000,235194.00000
2020-09-30,36901.00000,34501.00000,10934.00000,6841.00000,89177.00000,36989.00000,8046.00000,5245.00000,46053.00000,150494.00000,239671.00000,80603.00000,81793.00000,12424.00000,111060.00000,191663.00000,14.00000,29134.00000,-11955.00000,,48008.00000,239671.00000
2020-06-30,37482.00000,30797.00000,10280.00000,8938.00000,87497.00000,37066.00000,7724.00000,5282.00000,46313.00000,150038.00000,237535.00000,77904.00000,87150.00000,11903.00000,116138.00000,194042.00000,14.00000,25104.00000,-11901.00000,,43493.00000,237535.00000
2020-03-31,46126.00000,33856.00000,10799.00000,6918.00000,97699.00000,37969.00000,7521.00000,5225.00000,47821.00000,148925.00000,246624.00000,91292.00000,81439.00000,12305.00000,111015.00000,202307.00000,14.00000,25885.00000,-11800.00000,,44317.00000,246624.00000
2019-12-31,23243.00000,33398.00000,10398.00000,7953.00000,74992.00000,38750.00000,8562.00000,5337.00000,49401.00000,153045.00000,228037.00000,84905.00000,65924.00000,13146.00000,97175.00000,182080.00000,14.00000,26860.00000,-11156.00000,,45957.00000,228037.00000
2019-09-30,26776.00000,34941.00000,11797.00000,7051.00000,80565.00000,37969.00000,8496.00000,5408.00000,49565.00000,150964.00000,231529.00000,84252.00000,69692.00000,13290.00000,98506.00000,182758.00000,14.00000,27609.00000,-8997.00000,,48771.00000,231529.00000
2019-06-30,24121.00000,38287.00000,11447.00000,7451.00000,81306.00000,38188.00000,8340.00000,5457.00000,50195.00000,152431.00000,233737.00000,84294.00000,73412.00000,12794.00000,102354.00000,186648.00000,14.00000,25807.00000,-8770.00000,,47089.00000,233737.00000
2019-03-31,23197.00000,39346.00000,11108.00000,6439.00000,80090.00000,38336.00000,8266.00000,5518.00000,51171.00000,153042.00000,233132.00000,85303.00000,73812.00000,12917.00000,103191.00000,188494.00000,14.00000,23939.00000,-8849.00000,,44638.00000,233132.00000
2018-12-31,26810.00000,33399.00000,9816.00000,5268.00000,75293.00000,38758.00000,9215.00000,5579.00000,49329.00000,152046.00000,227339.00000,82237.00000,73060.00000,12357.00000,102325.00000,184562.00000,14.00000,22322.00000,-9039.00000,,42777.00000,227339.00000
2018-09-30,24351.00000,33808.00000,11334.00000,5355.00000,74848.00000,38655.00000,9155.00000,5651.00000,50074.00000,150863.00000,225711.00000,84116.00000,71475.00000,12261.00000,100687.00000,184803.00000,14.00000,20865.00000,-8321.00000,,40908.00000,225711.00000
2018-06-30,22011.00000,31668.00000,10833.00000,5939.00000,70451.00000,38003.00000,8788.00000,5720.00000,49398.00000,148190.00000,218641.00000,80292.00000,69995.00000,11876.00000,99713.00000,180005.00000,14.00000,18873.00000,-8171.00000,,38636.00000,218641.00000
2018-03-31,21366.00000,31926.00000,11461.00000,6682.00000,71435.00000,37321.00000,9883.00000,5790.00000,48613.00000,147291.00000,218726.00000,82716.00000,69471.00000,11945.00000,100552.00000,183268.00000,14.00000,17028.00000,-8081.00000,,35458.00000,218726.00000
2017-12-31,23825.00000,28685.00000,10663.00000,5571.00000,68744.00000,36253.00000,9073.00000,5849.00000,47811.00000,143738.00000,212482.00000,76890.00000,67254.00000,12394.00000,99392.00000,176282.00000,14.00000,17627.00000,-8011.00000,,36200.00000,212482.00000
2017-09-30,21246.00000,29412.00000,11789.00000,14171.00000,76618.00000,35178.00000,8820.00000,5854.00000,51288.00000,152884.00000,229502.00000,81849.00000,67066.00000,17233.00000,104176.00000,186025.00000,14.00000,24230.00000,-7783.00000,,43477.00000,229502.00000
2017-06-30,25731.00000,29092.00000,11289.00000,18969.00000,85081.00000,34301.00000,8248.00000,5989.00000,54119.00000,155219.00000,240300.00000,94306.00000,59081.00000,20661.00000,100269.00000,194575.00000,15.00000,28547.00000,-9369.00000,,45725.00000,240300.00000
2017-03-31,23124.00000,34801.00000,14686.00000,6987.00000,79598.00000,37202.00000,9416.00000,6193.00000,41581.00000,151195.00000,230793.00000,90904.00000,57200.00000,13068.00000,93675.00000,184579.00000,15.00000,28195.00000,-9250.00000,,46214.00000,230793.00000
2016-12-31,24415.00000,24827.00000,11040.00000,15921.00000,76203.00000,32603.00000,8996.00000,6149.00000,47566.00000,145487.00000,221690.00000,85181.00000,51326.00000,20041.00000,92434.00000,177615.00000,15.00000,26168.00000,-9330.00000,,44075.00000,221690.00000
2016-09-30,25748.00000,31232.00000,15427.00000,4089.00000,76496.00000,34713.00000,8645.00000,6354.00000,36044.00000,141080.00000,217576.00000,82535.00000,53726.00000,13084.00000,90026.00000,172561.00000,15.00000,25417.00000,-7953.00000,,45015.00000,217576.00000
2016-06-30,24765.00000,30261.00000,15026.00000,4578.00000,74630.00000,33510.00000,8198.00000,6433.00000,32742.00000,135819.00000,210449.00000,76043.00000,54090.00000,12699.00000,90403.00000,166446.00000,16.00000,23785.00000,-7905.00000,,44003.00000,210449.00000
2016-03-31,23147.00000,28213.00000,15817.00000,3857.00000,71034.00000,32652.00000,9640.00000,5891.00000,28882.00000,132584.00000,203618.00000,74987.00000,49561.00000,12780.00000,87306.00000,162293.00000,15.00000,21508.00000,-8054.00000,,41325.00000,203618.00000
2015-12-31,23401.00000,26388.00000,13764.00000,5855.00000,69408.00000,31229.00000,9201.00000,5947.00000,23193.00000,124930.00000,194338.00000,71217.00000,43549.00000,12653.00000,82798.00000,154015.00000,15.00000,20285.00000,-8036.00000,,40323.00000,194338.00000
2015-09-30,24981.00000,27703.00000,14368.00000,6081.00000,82341.00000,29381.00000,8872.00000,6083.00000,19853.00000,106659.00000,189000.00000,72739.00000,40401.00000,13148.00000,81126.00000,153865.00000,16.00000,14912.00000,-8034.00000,,35135.00000,189000.00000
2015-06-30,26269.00000,27536.00000,14218.00000,7242.00000,84554.00000,28431.00000,8403.00000,6181.00000,15968.00000,101258.00000,185812.00000,69528.00000,39114.00000,13248.00000,80614.00000,150142.00000,16.00000,14512.00000,-7543.00000,,35670.00000,185812.00000
