,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,132.72300,522.45800,1405.38400,121.78300,2182.34800,467.60400,2331.59400,,2987.11400,5169.46200,992.04400,1369.08500,,1918.16300,2910.20700,0.72800,2316.22400,-65.10200,-202.11600,2259.25500,5169.46200
2022-09-30,229.91100,542.52800,1424.69100,116.13900,2313.26900,450.13300,2292.82600,,2933.02400,5246.29300,1105.13000,1282.85600,,1821.55800,2926.68800,0.72800,2263.62700,-120.40600,-202.11600,2319.60500,5246.29300
2022-06-30,467.14000,692.29100,1240.52400,91.35600,2491.31100,446.00700,2359.33700,,2981.64000,5472.95100,1172.17600,1286.49900,,1881.01300,3053.18900,0.72700,2210.58200,-82.83900,-202.11600,2419.76200,5472.95100
2022-03-31,206.02300,609.87000,1236.77200,72.73600,2125.40100,443.48000,2420.74700,,3026.13200,5151.53300,1253.15800,1002.68500,,1589.76300,2842.92100,0.72700,2067.86800,-46.40200,-202.11600,2308.61200,5151.53300
2021-12-31,147.33900,546.46600,1089.70500,64.95400,1848.46400,440.85200,2450.83600,,3029.31600,4877.78000,1155.90700,902.09100,,1507.78600,2663.69300,0.72500,1965.95700,-54.75500,-202.11600,2214.08700,4877.78000
2021-09-30,423.72600,510.67000,934.94800,54.22800,1923.57200,412.70600,1657.52000,,2176.85800,4100.43000,1018.01400,843.42600,,1300.13900,2318.15300,0.72400,1834.47700,-55.54100,-202.11600,1782.27700,4100.43000
2021-06-30,390.08600,480.88900,772.86100,48.69700,1692.53300,392.51800,1549.44100,,2014.39300,3706.92600,836.24900,842.60700,,1214.73900,2050.98800,0.72300,1710.46400,-37.58300,-202.11600,1655.93800,3706.92600
2021-03-31,744.81400,428.70200,644.57600,39.51500,1857.60700,345.56300,1130.27600,,1564.53100,3422.13800,710.26500,841.51600,,1187.30400,1897.56900,0.72300,1581.68100,-31.49900,-202.11600,1524.56900,3422.13800
2020-12-31,655.12800,374.90600,603.31700,36.38200,1669.73300,343.93600,1147.25100,,1565.69000,3235.42300,641.52400,841.76400,,1203.69500,1845.21900,0.72100,1432.56500,-34.25400,-202.11600,1390.20400,3235.42300
2020-09-30,513.94400,398.24000,532.95200,35.20000,1480.33600,321.36000,1091.77900,,1493.73900,2974.07500,556.25800,841.34100,,1187.92100,1744.17900,0.72000,1306.53000,-62.03900,-202.11600,1229.89600,2974.07500
2020-06-30,396.73400,322.93700,544.37200,33.06300,1297.10600,317.82200,1072.80000,,1470.51900,2767.62500,486.72000,841.11600,,1183.63000,1670.35000,0.72000,1190.74900,-72.52600,-202.11600,1097.27500,2767.62500
2020-03-31,307.45600,312.01300,559.69500,29.55700,1208.72100,315.82800,1077.08000,,1445.35600,2654.07700,483.01600,839.38000,,1147.37400,1630.39000,0.71900,1126.17400,-73.94400,-202.11600,1023.68700,2654.07700
2019-12-31,322.88300,319.53800,522.02400,31.38400,1195.82900,316.97600,1103.01800,,1469.84000,2665.66900,497.06400,837.76700,,1135.75400,1632.81800,0.71700,1084.38300,-24.91700,-202.11600,1032.85100,2665.66900
2019-09-30,216.03800,373.59100,517.23200,30.57000,1137.43100,303.28800,1104.30800,,1456.69000,2594.12100,476.01600,884.31510,,1178.89000,1654.90600,0.71600,1013.70700,-46.36300,-202.11600,939.21500,2594.12100
2019-06-30,110.36700,341.53500,570.32700,29.48100,1051.71000,300.79500,1119.16600,,1471.39900,2523.10900,480.36300,883.47600,,1171.73500,1652.09800,0.71500,939.61800,-33.83100,-202.11600,871.01100,2523.10900
2019-03-31,161.26600,284.61200,588.38000,28.53700,1062.79500,289.43800,1069.51400,,1410.92700,2473.72200,515.97900,882.48300,,1147.78800,1663.76700,0.71400,878.41600,-29.87000,-202.11600,809.95500,2473.72200
2018-12-31,224.48200,326.13300,544.75000,25.40400,1120.76900,278.92900,1011.14500,,1305.54500,2426.31400,560.70600,876.39600,,1104.34700,1665.05300,0.71200,831.12300,-23.81300,-202.11600,761.26100,2426.31400
2018-09-30,174.00100,341.75800,496.08800,28.11000,1039.95700,243.36200,1022.94100,25.20600,1292.71600,2332.67300,553.11300,859.62500,93.02300,1080.92500,1634.03800,0.71100,756.63600,-9.55700,-202.11600,698.63500,2332.67300
2018-06-30,111.71400,311.66800,479.88000,27.17400,930.43600,233.43300,1020.47900,23.29400,1278.83900,2209.27500,480.04900,908.06600,93.36400,1111.97100,1592.02000,0.71000,687.77200,-16.90000,-202.11600,617.25500,2209.27500
2018-03-31,146.16200,262.17000,439.74500,18.76800,866.84500,232.02300,955.30600,19.82800,1210.62300,2077.46800,412.63700,907.45900,83.63400,1094.63700,1507.27400,0.70700,636.81400,-8.37200,-202.11600,570.19400,2077.46800
2017-12-31,138.47200,279.29500,387.04900,19.74100,824.55700,230.38000,957.28800,10.50200,1201.40800,2025.96500,396.42300,906.54800,82.89300,1075.22200,1471.64500,0.70800,610.83600,-21.19800,-202.11600,554.32000,2025.96500
2017-09-30,128.78000,320.62600,349.02300,11.72000,810.14900,218.65800,962.63200,5.22500,1190.82500,2000.97400,458.74300,908.10100,69.55600,1068.98200,1527.72500,0.70600,535.17200,-22.80200,-202.11600,473.24900,2000.97400
2017-06-30,67.07100,243.28500,378.11000,9.31400,697.78000,217.05600,965.23700,3.19600,1189.75000,1887.53000,310.32200,1007.23500,66.63300,1149.23900,1459.56100,0.70500,495.46300,-27.20900,-202.11600,427.96900,1887.53000
2017-03-31,57.49400,223.03100,390.90800,9.26100,680.69400,215.39000,965.10900,2.15700,1186.57100,1867.26500,315.90000,1007.89800,62.12900,1130.96900,1446.86900,0.70500,469.50800,-36.12300,-202.11600,420.39600,1867.26500
2016-12-31,67.27200,241.85700,349.73100,24.64900,683.50900,212.79300,959.81200,2.23300,1178.17500,1861.68400,341.93900,1006.75800,61.45900,1118.63300,1460.57200,0.70200,456.05200,-40.16300,-202.11600,401.11200,1861.68400
2016-09-30,54.16300,244.72200,359.36300,13.18500,671.43300,207.50400,976.77200,3.50600,1197.08000,1868.51300,333.57900,1013.67100,62.33000,1121.07600,1454.65500,0.70100,415.45200,-34.03100,-202.11600,413.85800,1868.51300
2016-06-30,75.64100,243.08700,366.74500,13.12500,698.59800,206.70000,983.86800,2.94800,1217.93700,1916.53500,324.04100,1034.83600,62.89000,1142.15600,1466.19700,0.70100,389.26900,-34.49500,-202.11600,450.33800,1916.53500
2016-03-31,69.37000,230.33800,374.70900,11.83900,686.25600,197.62300,1008.44600,4.45900,1247.24100,1933.49700,302.47000,1047.14600,61.13400,1156.56800,1459.03800,0.70100,368.38100,-21.22900,-202.11600,474.45900,1933.49700
2015-12-31,115.85700,182.18500,325.37500,8.60000,632.01700,184.21300,926.62900,0.96400,1146.61800,1778.63500,213.22400,1037.13200,57.45800,1099.54000,1312.76400,0.69600,358.17300,-22.47500,-202.11600,465.87100,1778.63500
2015-09-30,46.45400,207.20500,362.26800,12.46700,654.36800,178.12000,979.99800,1.03300,1183.21100,1837.57900,224.98600,1050.12700,58.18000,1123.32100,1348.30700,0.69600,348.99100,-24.39300,-202.11600,489.27200,1837.57900
2015-06-30,155.57500,160.47500,385.84800,12.94400,746.93000,174.65500,905.50700,0.04100,1124.45700,1871.38700,246.00200,1035.23700,55.52900,1105.57500,1351.57700,0.69500,314.95500,-22.25600,-202.11600,519.81000,1871.38700
2015-03-31,150.08500,158.19000,356.92900,9.00100,704.52800,171.38400,915.29400,0.07100,1137.84400,1842.37200,234.59700,1033.61000,56.33800,1105.08200,1339.67900,0.69400,300.11100,-22.58500,-202.11600,502.69300,1842.37200
2014-12-31,189.76100,189.10700,319.38500,9.38400,730.47800,168.82100,920.44300,0.04800,1152.06400,1882.54200,240.52200,1082.10100,56.67100,1152.22100,1392.74300,0.69100,280.42600,-15.76700,-202.11600,489.79900,1882.54200
2014-09-30,173.16200,199.88400,327.58100,6.25600,732.26300,159.05800,875.24100,0.15500,1101.64100,1833.90400,229.47600,1106.29300,50.21800,1156.51100,1385.98700,0.69000,231.03600,-5.16400,-202.11600,447.91700,1833.90400
2014-06-30,197.95900,203.69200,287.23300,5.87900,717.15500,153.06300,878.95300,0.05800,1112.01300,1829.16800,214.04900,1154.31600,52.24100,1206.55700,1420.60600,0.69000,194.53900,-4.13900,-202.11600,408.56200,1829.16800
2014-03-31,180.38500,182.16800,292.30700,6.18800,686.53000,148.01700,884.66400,0.51400,1126.03900,1812.56900,233.39000,1172.36800,53.76700,1226.13500,1459.52500,0.69000,140.51400,-2.84400,-202.11600,353.04400,1812.56900
2013-12-31,156.79200,164.90700,300.25300,5.35800,654.17900,146.39000,891.11200,1.36900,1144.02600,1798.20500,250.84500,1175.34900,54.94000,1230.28900,1481.13400,0.68800,105.81300,-2.41500,-202.11600,317.07100,1798.20500
2013-09-30,123.16600,164.69800,296.04800,4.71500,615.96000,120.81200,874.59400,0.06800,1117.09500,1733.05500,240.89600,1177.67100,57.14800,1234.81900,1475.71500,0.68700,57.29500,-11.22900,-202.11600,257.34000,1733.05500
2013-06-30,126.59800,162.71100,287.25800,3.66400,611.06900,109.48100,813.65200,0.02200,1064.29800,1675.36700,244.52700,1177.32900,47.57000,1224.89900,1469.42600,0.68600,10.20200,-12.47200,-202.11600,205.94100,1675.36700
2013-03-31,54.33700,169.38800,258.82100,5.11100,525.19500,106.47400,819.49690,0.02200,1066.53100,1591.72600,258.13100,770.70200,47.29900,818.00100,1076.13200,0.68600,-13.11800,-13.49400,-202.11600,515.59400,1591.72600
2012-12-31,108.02300,134.97800,225.81700,5.04800,522.55300,104.71800,825.68200,0.15300,1081.29400,1603.84700,294.85900,799.01800,46.34200,845.36000,1140.21900,0.68300,-63.79200,-14.49600,-202.11600,463.62800,1603.84700
2012-09-30,57.96600,129.11900,187.11400,5.10400,400.77200,91.56800,818.54400,0.11600,1106.40100,1507.17300,156.81800,873.86500,42.95200,916.81700,1073.63500,0.67800,-92.07800,-13.91300,-202.11600,433.53800,1507.17300
2012-06-30,10.30700,100.10800,227.03800,4.50300,358.95600,85.78600,831.01100,0.04400,1132.81900,1491.77500,167.42700,875.51300,44.22900,919.74200,1087.16900,0.68000,-117.62000,-14.72200,-202.11600,404.60600,1491.77500
2012-03-31,91.73000,114.02700,200.12900,4.26000,425.92400,84.42200,843.22800,0.22000,1145.79300,1571.71700,167.24100,559.58800,44.11500,603.70300,770.94400,0.67900,-126.95500,-15.42600,-202.11600,800.77300,1571.71700
2011-12-31,93.12600,109.70500,162.12400,3.91500,383.26500,84.38400,854.24400,0.07800,1169.52800,1552.79300,165.39000,575.00000,43.51400,618.51400,783.90400,0.67600,-157.01500,-15.35700,-202.11600,768.88900,1552.79300
2011-09-30,138.72000,117.59300,103.63300,2.57600,362.52200,73.66300,819.97600,0.07000,897.85400,1260.37600,99.54300,632.49800,26.47400,658.97200,758.51500,0.67500,-424.14600,-12.24200,-202.11600,501.86100,1260.37600
2011-06-30,78.74600,79.81000,139.72800,3.04300,301.32700,74.72900,831.96300,0.11600,911.44810,1212.77500,90.93600,632.49800,26.26100,658.75900,749.69500,0.67500,-461.52500,-11.89900,-202.11600,463.08000,1212.77500
2011-03-31,89.99700,62.41000,143.78700,3.80000,299.99400,74.91400,843.83100,0.25900,924.32400,1224.31800,119.42200,632.49800,23.62300,656.12100,775.54300,0.67500,-476.81400,-9.19700,-202.11600,448.77500,1224.31800
2010-12-31,78.58300,63.15400,127.13700,3.64500,272.51900,75.28700,855.55800,0.69700,937.36400,1209.88300,86.68500,657.22900,24.90200,682.13100,768.81600,0.67500,-481.65800,-9.75200,-202.11600,441.06700,1209.88300
2010-09-30,128.33400,73.78700,127.35800,3.52600,333.00500,71.85200,866.75500,0.52700,946.15400,1279.15900,103.88300,731.42200,22.98700,754.40900,858.29200,0.67500,-500.27100,-9.61000,-202.11600,420.86700,1279.15900
2010-06-30,93.10900,68.41000,111.43600,3.41200,276.36700,72.58000,879.81800,0.07300,960.06000,1236.42700,85.97400,731.42200,20.82900,752.25100,838.22500,0.67500,-523.26900,-7.60200,-202.11600,398.20200,1236.42700
2010-03-31,66.37100,52.68200,107.08900,4.50800,230.65000,73.04700,892.73900,0.13500,974.07200,1204.72200,68.96500,731.42200,18.71800,750.14000,819.10500,0.67500,-536.10300,-5.64000,-202.11600,385.61700,1204.72200
