,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,667.00000,94.00000,1174.00000,9748.00000,791.00000,10539.00000,12269.00000,372.00000,4215.00000,235.00000,4614.00000,5554.00000,7.00000,-939.00000,-75.00000,6715.00000,12269.00000
2022-09-30,883.00000,118.00000,1414.00000,9481.00000,714.00000,10195.00000,12167.00000,162.00000,4214.00000,239.00000,4618.00000,5350.00000,7.00000,-856.00000,-77.00000,6817.00000,12167.00000
2022-06-30,699.00000,164.00000,1276.00000,9538.00000,670.00000,10208.00000,12044.00000,113.00000,4212.00000,202.00000,4577.00000,5262.00000,7.00000,-885.00000,-74.00000,6782.00000,12044.00000
2022-03-31,266.00000,125.00000,391.00000,9596.00000,1279.00000,10875.00000,11829.00000,97.00000,4210.00000,219.00000,4632.00000,5304.00000,7.00000,-1098.00000,-69.00000,6525.00000,11829.00000
2021-12-31,807.00000,113.00000,920.00000,9994.00000,887.00000,10881.00000,12352.00000,85.00000,4891.00000,240.00000,5257.00000,5906.00000,7.00000,-1192.00000,-76.00000,6446.00000,12352.00000
2021-09-30,1038.00000,58.00000,1096.00000,10124.00000,933.00000,11057.00000,12712.00000,91.00000,5545.00000,259.00000,5923.00000,6586.00000,7.00000,-1511.00000,-75.00000,6126.00000,12712.00000
2021-06-30,1450.00000,55.00000,1505.00000,10071.00000,639.00000,10710.00000,12809.00000,80.00000,5542.00000,218.00000,5885.00000,6572.00000,7.00000,-1392.00000,-71.00000,6237.00000,12809.00000
2021-03-31,2008.00000,26.00000,2034.00000,9506.00000,585.00000,10091.00000,12721.00000,76.00000,5540.00000,222.00000,5886.00000,6571.00000,7.00000,-1332.00000,-77.00000,6150.00000,12721.00000
2020-12-31,2335.00000,22.00000,2357.00000,9416.00000,520.00000,9936.00000,12890.00000,71.00000,5541.00000,234.00000,5883.00000,6564.00000,7.00000,-1180.00000,-74.00000,6326.00000,12890.00000
2020-09-30,2430.00000,19.00000,2449.00000,9487.00000,535.00000,10022.00000,13071.00000,78.00000,5728.00000,166.00000,5974.00000,6664.00000,7.00000,-1115.00000,-79.00000,6407.00000,13071.00000
2020-06-30,1578.00000,6.00000,1584.00000,9613.00000,398.00000,10011.00000,12190.00000,68.00000,4543.00000,169.00000,4793.00000,5468.00000,7.00000,-802.00000,-74.00000,6722.00000,12190.00000
2020-03-31,2796.00000,37.00000,2833.00000,9628.00000,387.00000,10015.00000,13446.00000,222.00000,5295.00000,166.00000,5545.00000,6376.00000,7.00000,-451.00000,-72.00000,7070.00000,13446.00000
2019-12-31,1573.00000,63.00000,1636.00000,9671.00000,403.00000,10074.00000,12305.00000,263.00000,3794.00000,175.00000,4111.00000,4980.00000,7.00000,-307.00000,-56.00000,7325.00000,12305.00000
2019-09-30,2030.00000,104.00000,2134.00000,9688.00000,761.00000,10449.00000,13132.00000,277.00000,4442.00000,217.00000,4792.00000,5627.00000,7.00000,-208.00000,-62.00000,7505.00000,13132.00000
2019-06-30,1107.00000,163.00000,1270.00000,10000.00000,665.00000,10665.00000,12525.00000,248.00000,3864.00000,199.00000,4204.00000,5051.00000,7.00000,-432.00000,-56.00000,7474.00000,12525.00000
2019-03-31,1082.00000,145.00000,1227.00000,10296.00000,438.00000,10734.00000,12577.00000,240.00000,3862.00000,183.00000,4192.00000,5057.00000,7.00000,-573.00000,-59.00000,7520.00000,12577.00000
2018-12-31,1542.00000,71.00000,1613.00000,9760.00000,717.00000,10477.00000,12090.00000,293.00000,3837.00000,266.00000,4231.00000,4524.00000,7.00000,-610.00000,-59.00000,7566.00000,12090.00000
