,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,1234.68300,195.19400,555.53700,133.67300,2119.08700,661.51000,74.13400,38.46600,843.43300,2962.52000,295.78800,,86.22300,86.22300,382.01100,0.00600,2669.41100,-206.56000,2580.50900,2962.52000
2022-06-30,1234.65300,246.87700,556.74700,132.57400,2170.85100,680.32100,86.15100,50.88300,877.91800,3048.76900,315.90200,,92.51600,92.51600,408.41800,0.00600,2593.14700,-134.77800,2640.35100,3048.76900
2022-03-31,1416.67800,257.46400,484.97100,123.72100,2282.83400,625.36600,89.75800,50.56900,815.63500,3098.46900,279.83600,15.73400,94.65000,110.38400,390.22000,0.00600,2536.17900,-229.36900,2708.24900,3098.46900
2021-12-31,1514.50500,262.12100,460.74700,110.31000,2347.68300,635.30200,91.28700,48.50700,822.85700,3170.54000,313.43300,16.03100,93.85500,109.88600,423.31900,0.00600,2466.60700,-189.95100,2747.22100,3170.54000
2021-09-30,1519.00700,272.69900,435.07000,98.39900,2325.17500,624.57600,94.49100,50.66000,818.73500,3143.91000,292.84000,16.32800,,111.22500,404.06500,0.00600,2401.52000,-174.75300,2739.84500,3143.91000
2021-06-30,1497.40900,250.66900,404.54700,137.96700,2290.59200,612.42000,98.07000,39.67900,795.92000,3086.51200,255.90500,32.22500,,124.32700,380.23200,0.00600,2326.11800,-159.40700,2706.28000,3086.51200
2021-03-31,1444.93700,252.87700,368.14900,136.29800,2202.26100,600.91100,100.53200,37.97100,780.69000,2982.95100,214.75300,33.19300,,127.52800,342.28100,0.00600,2256.31800,-178.25700,2640.67000,2982.95100
2020-12-31,1391.06600,264.32100,364.99300,127.69700,2148.07700,597.52700,103.48000,43.41900,787.62300,2935.70000,214.57800,34.15700,,127.01100,341.58900,0.00600,2188.19100,-146.06500,2594.11100,2935.70000
2020-09-30,1301.61600,240.35200,370.34400,119.34100,2031.65300,576.39800,102.73000,45.53500,763.27900,2794.93200,201.44500,35.11700,,122.41300,323.85800,0.00600,2138.85200,-193.82700,2471.07400,2794.93200
2020-06-30,1248.89900,203.56800,367.16600,130.89300,1950.52600,585.64400,149.90600,42.11600,808.21000,2758.73600,195.28600,36.07100,,126.14400,321.43000,0.00600,2103.24800,-184.50100,2437.30600,2758.73600
2020-03-31,1195.14300,200.64600,363.38300,115.35400,1874.52600,580.98000,152.45900,39.36800,805.60800,2680.13400,195.43200,37.02200,,128.77200,324.20400,0.00600,2065.02200,-220.08100,2355.93000,2680.13400
2019-12-31,1182.61600,238.47900,380.79000,94.74900,1896.63400,600.85200,156.36300,45.19200,833.80200,2730.43600,191.90400,37.96800,,136.08900,327.99300,0.00500,2028.73400,-146.91900,2402.44300,2730.43600
2019-09-30,1078.83700,252.92600,417.16300,116.58900,1865.51500,596.13800,195.51500,50.32100,865.38900,2730.90400,205.56300,38.90900,,144.68100,350.24400,0.00500,2033.18400,-174.31100,2380.66000,2730.90400
2019-06-30,1042.82900,273.69700,425.99600,120.56000,1863.08200,600.97700,200.77400,51.75000,874.33400,2737.41600,222.22800,39.84600,,147.82700,370.05500,0.00500,1975.93100,-143.94300,2367.36100,2737.41600
2019-03-31,1030.07700,231.85000,417.81700,112.35000,1792.09400,570.75600,203.62900,44.81900,836.64200,2628.73600,209.81600,40.77900,,150.63200,360.44800,0.00500,1903.65900,-157.75100,2268.28800,2628.73600
2018-12-31,1044.79000,255.50900,403.57900,101.54600,1805.42400,543.06800,187.86100,18.93200,769.02590,2574.45000,245.77400,41.70700,,122.44100,368.21500,0.00500,1848.50000,-162.89600,2206.23500,2574.45000
2018-09-30,1122.02800,251.61300,397.40900,111.23500,1882.28500,529.16300,102.61300,28.04300,679.81400,2562.09900,217.98500,42.63100,,137.30600,355.29100,0.00500,1772.94100,-144.40900,2206.80800,2562.09900
2018-06-30,1125.76200,242.12800,376.01900,92.12600,1836.03500,514.76700,106.86500,44.99300,694.44300,2530.47800,210.27900,43.55100,,148.04200,358.32100,0.00500,1672.42400,-129.35700,2172.15700,2530.47800
2018-03-31,1175.90900,235.47700,356.37500,97.12500,1864.88600,483.90700,104.98900,19.28500,633.12100,2498.00700,195.56000,44.46600,,157.07800,352.63800,0.00500,1550.80700,-50.69400,2145.36900,2498.00700
2017-12-31,1116.15700,237.27800,307.71200,92.86300,1754.01000,460.20600,107.05400,19.00900,613.24500,2367.25500,198.90300,45.37800,,146.03000,344.93300,0.00500,1443.86700,-77.34400,2022.32200,2367.25500
2017-09-30,1045.92200,226.75600,282.49500,87.36600,1642.53900,441.49400,100.81200,20.67300,603.52590,2246.06500,182.19100,46.29600,,104.77500,286.96600,0.00500,1390.91100,-89.29700,1959.09900,2246.06500
2017-06-30,930.41500,237.33200,260.66100,82.36600,1510.77400,389.85300,61.02200,21.05000,519.76800,2030.54200,156.78500,21.37500,,69.40000,226.18500,0.00500,1275.31400,-119.16700,1804.35700,2030.54200
2017-03-31,862.80300,180.22600,261.89300,86.09200,1391.01400,395.85800,47.72300,20.93000,511.55900,1902.57300,157.73600,36.83900,,78.56500,236.30100,0.00500,1171.19800,-151.62600,1666.27200,1902.57300
2016-12-31,830.63400,155.90100,239.01000,75.41700,1300.96200,379.37500,48.61700,18.60300,489.03700,1789.99900,158.27500,37.63500,,74.00000,232.27500,0.00500,1094.10800,-178.58300,1557.72400,1789.99900
2016-09-30,772.52800,162.72500,242.37000,74.25500,1276.49800,367.47400,48.51400,19.44100,450.80000,1727.29800,155.62700,38.43200,,68.65500,224.28200,0.00500,1018.97600,-148.43000,1503.01600,1727.29800
2016-06-30,714.08000,151.47600,241.28200,65.93200,1197.24700,350.43200,49.85700,18.33300,432.06000,1629.30700,134.97600,39.22900,,71.16800,206.14400,0.00500,949.74100,-156.45100,1423.16300,1629.30700
2016-03-31,739.96500,146.50500,226.90700,61.73600,1197.63900,309.20600,11.56800,19.79800,352.46100,1550.10000,150.67100,17.16700,,52.43100,203.10200,0.00500,882.68200,-152.98700,1346.99800,1550.10000
2015-12-31,689.11600,150.47900,203.73800,59.25600,1102.58900,288.60400,12.40900,20.09500,350.84000,1453.42900,141.79000,17.66700,,50.97400,192.76400,0.00500,833.35600,-181.48200,1260.66500,1453.42900
2015-09-30,651.22000,154.81400,197.63500,55.79200,1078.07200,286.51400,13.25200,21.13100,330.13400,1408.20600,148.85000,18.16700,,43.47000,192.32000,0.00500,772.65200,-155.80200,1215.88600,1408.20600
2015-06-30,571.50800,169.82800,190.84800,52.06300,1002.37000,288.55300,14.52900,21.59400,332.17100,1334.54100,125.77100,18.66700,,45.01500,170.78600,0.00500,709.86000,-139.26200,1163.75500,1334.54100
2015-03-31,541.47400,149.78100,174.14000,49.49700,931.02800,274.14500,15.43200,22.78700,318.23200,1249.26000,123.13000,19.16700,,45.61100,168.74100,0.00500,648.56100,-150.53900,1080.51900,1249.26000
2014-12-31,522.15000,143.10900,171.00900,42.26200,893.83800,275.08200,9.68200,26.84700,317.04900,1210.88700,122.07500,19.66700,,42.25100,164.32600,0.00500,591.20200,-112.26300,1046.56100,1210.88700
2014-09-30,487.51800,136.62900,179.47600,44.40400,863.25400,271.28600,10.30200,30.87200,322.13400,1185.38800,128.01300,,,20.67200,148.68500,0.00500,534.77100,-54.47400,1036.70300,1185.38800
2014-06-30,483.43200,124.14400,178.92500,52.34000,854.09200,268.12200,8.92700,19.10600,304.29400,1158.38600,113.17200,,,21.35400,134.52600,0.00500,479.57100,-7.60100,1023.86000,1158.38600
2014-03-31,480.60900,107.59800,170.55600,51.09500,825.13300,249.36100,9.47300,7.03200,271.88000,1097.01300,103.27800,11.00000,,32.41900,135.69700,0.00500,431.28800,-14.32800,961.31600,1097.01300
2013-12-31,448.77600,103.80300,172.70000,46.83200,786.34300,252.24500,10.01900,7.81000,274.87300,1061.21600,100.07900,11.33300,,33.16800,133.24700,0.00500,390.75700,-1.70100,927.96900,1061.21600
2013-09-30,398.35500,120.64000,171.26800,47.39800,749.20800,236.50700,10.58600,7.39500,260.58800,1009.79600,105.80700,11.66700,,28.30200,134.10900,0.00500,354.16200,-4.96100,875.68700,1009.79600
2013-06-30,369.48400,114.49800,154.09300,42.08800,691.58500,225.19500,11.41100,7.66200,247.67000,939.25500,95.20200,12.00000,,28.08600,123.28800,0.00500,311.82400,-16.90600,815.96700,939.25500
2013-03-31,355.71500,102.79300,142.09600,37.66200,649.37100,218.99500,14.67000,6.87800,242.88700,892.25800,88.11000,12.52500,,30.92300,119.03300,0.00500,270.10400,-12.63900,773.22500,892.25800
2012-12-31,384.05300,96.63000,139.61800,31.71000,664.95900,210.56300,10.40800,7.46100,230.53900,895.49800,125.45500,14.01400,,27.11600,152.57100,0.00500,234.97700,-3.09400,742.92700,895.49800
2012-09-30,372.56900,110.64900,135.12100,32.26400,661.10600,195.15300,10.98800,6.71900,217.27900,878.38500,121.28100,14.34100,13.19100,27.53200,148.81300,0.00500,233.41800,-10.70500,729.57200,878.38500
2012-06-30,355.34300,100.07800,121.97900,14.51600,602.95700,177.44100,4.94600,6.01000,195.05700,798.01400,103.77800,14.67100,9.83400,24.50500,128.28300,0.00500,190.98300,-21.20800,669.73100,798.01400
2012-03-31,395.52200,102.86000,123.43000,14.25100,647.67800,169.87600,5.72700,6.30300,187.22700,834.90500,103.13900,15.13200,9.88100,73.40000,176.53900,0.00500,153.24100,0.87700,658.36600,834.90500
2011-12-31,205.68500,75.75500,116.97800,25.14000,434.45700,155.20200,6.15700,7.48600,173.67500,608.13200,93.71200,15.72600,,70.81000,164.52200,0.00500,122.83300,-12.10000,443.61000,608.13200
2011-09-30,196.58600,94.85500,117.27600,13.53200,431.61200,143.33900,6.95400,9.65600,164.71200,596.32400,110.65800,16.29600,,66.70300,177.36100,0.00500,91.75300,-2.44700,418.96300,596.32400
2011-06-30,188.19600,77.70300,109.27300,17.17900,399.80000,141.90200,7.73600,7.67600,161.58100,561.38100,90.82800,16.75800,,68.14900,158.97700,0.00500,59.37100,17.00000,402.40400,561.38100
2011-03-31,160.61800,60.34600,88.69800,17.83400,336.81000,131.30000,8.10400,8.86800,152.75700,489.56700,83.40100,17.11200,,45.71700,129.11800,0.00500,28.63500,13.89000,360.44900,489.56700
2010-12-31,147.86000,58.06200,72.47000,13.81600,300.80100,120.68300,7.13100,8.75100,141.05400,441.85500,82.77000,15.64400,1.73500,42.28200,125.05200,0.00500,5.56700,0.81000,316.80300,441.85500
2010-09-30,96.63000,58.91900,64.89800,10.79200,239.61300,111.84700,,16.49900,134.36300,373.97600,70.54800,16.38200,,17.97600,88.52400,0.00500,-21.49500,3.71200,285.45200,373.97600
2010-06-30,90.65500,42.86700,54.02900,7.19100,204.87900,106.10600,,17.41300,128.84500,333.72400,63.32700,16.64900,,18.07400,81.40100,0.00500,-34.72100,-9.74000,252.32300,333.72400
2010-03-31,84.40700,33.27100,52.13500,6.09500,185.16100,109.63900,,15.85900,130.04600,315.20700,44.12900,16.33300,,18.62600,62.75500,0.00500,-45.02700,2.58200,252.45200,315.20700
2009-12-31,82.92000,32.91400,52.86900,4.65300,180.91400,111.45300,3.77100,12.18500,131.72200,312.63600,36.83100,16.66700,,19.23400,56.06500,0.00500,-48.42400,11.10600,256.57100,312.63600
2009-09-30,76.30900,30.74300,59.15500,6.58100,184.06300,114.95700,,15.84200,134.87600,318.93900,46.25100,17.00000,,19.48500,65.73600,0.00500,-51.54600,12.96500,253.20300,318.93900
2009-06-30,78.06800,34.00100,62.08500,6.13800,189.83100,115.25800,,15.00400,133.27000,323.10100,59.72400,17.33400,,19.15300,78.87700,0.00500,-53.80100,8.68300,244.22400,323.10100
2009-03-31,71.60100,31.32500,66.44500,6.26500,183.67800,112.86500,,14.49700,130.12700,313.80500,56.33000,17.64900,,19.73800,76.06800,0.00500,-52.57200,1.88600,237.73700,313.80500
