,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1211.10200,3439.94000,156.70400,,4807.74600,356.78400,8753.04100,504.46600,10110.43000,14918.17000,3241.26200,3434.31800,,5443.31300,8684.57500,126.66900,4230.86600,-845.85200,6233.59800,14918.17000
2022-09-30,1140.47900,3405.38100,176.13400,,4721.99400,346.67600,8578.71000,504.64600,9938.42600,14660.42000,3250.84500,3357.25600,,5305.18300,8556.02700,127.39300,4225.78400,-975.13000,6104.39200,14660.42000
2022-06-30,1102.28400,3303.27900,148.59200,,4554.15500,327.90600,8801.02400,470.75100,10168.05000,14722.21000,3189.33300,3520.49400,,5552.46300,8741.79600,127.57800,4082.07000,-942.51200,5980.41400,14722.21000
2022-03-31,1235.42200,3302.86800,152.98900,,4691.27900,326.59600,9045.29800,495.05700,10492.01000,15183.29000,3764.69200,3196.37400,,5296.62200,9061.31400,128.90000,4069.66400,-788.37400,6121.97800,15183.29000
2021-12-31,1245.02400,2992.81400,134.16500,,4372.00300,328.63100,8969.40700,468.51300,10432.09000,14804.09000,3125.58300,3073.06700,,5578.56600,8704.14900,129.15300,4087.39000,-787.65600,6099.94500,14804.09000
2021-09-30,1014.24900,3101.41800,176.22800,,4291.89500,353.11700,8762.75800,471.54900,10340.71000,14632.61000,3209.92400,2839.93300,,5447.84800,8657.77200,128.89300,4015.57800,-794.44200,5974.83700,14632.61000
2021-06-30,1416.25900,3188.95000,137.07200,,4742.28100,355.25200,8867.49100,393.49200,10467.00000,15209.28000,3243.22000,3067.74500,,5779.44700,9022.66700,130.29300,4246.17300,-870.41100,6186.61700,15209.28000
2021-03-31,1344.68900,3301.62300,431.60600,,5077.91800,360.24100,8920.20200,402.07000,10484.15000,15562.07000,3402.83900,3425.85200,,6115.48300,9518.32200,130.17200,4125.45200,-868.63900,6043.74600,15562.07000
2020-12-31,1377.36900,3265.26000,144.22400,,4786.85300,318.04200,6524.12500,397.12900,7980.77200,12767.63000,2888.69700,1797.06900,,3735.56100,6624.25800,130.03500,4249.40800,-877.53900,6143.36700,12767.63000
2020-09-30,1209.93400,3167.31000,162.35500,,4539.59900,319.37100,6297.43100,409.99000,7814.75400,12354.35000,2941.59700,1676.94100,,3557.08900,6498.68600,129.74800,4020.57500,-933.05700,5855.66700,12354.35000
2020-06-30,1024.81000,3153.66400,433.83700,,4612.31100,346.63700,6292.85400,1359.96400,7999.45500,12611.77000,2728.47400,2155.16600,,3998.29800,6726.77200,130.18000,4028.06200,-911.69200,5884.99400,12611.77000
2020-03-31,1655.87900,3178.58000,332.39500,,5166.85400,330.50500,6285.95100,1351.30300,7967.75900,13134.61000,2624.88400,3099.45600,,4896.74600,7521.63000,129.98500,3808.69800,-946.31700,5612.98300,13134.61000
2019-12-31,619.21200,3056.11500,699.23700,4.02200,4378.58600,308.67200,6082.89000,1430.41100,7821.97300,12200.56000,2831.63600,1414.90300,0.05200,3306.75200,6138.38800,133.00100,4145.82500,-880.16600,6062.17100,12200.56000
2019-09-30,1082.20100,2840.20900,189.35800,,4111.76800,308.14300,6097.62000,430.54700,7350.94300,11462.71000,3073.70600,1201.24500,,2620.34700,5694.05300,132.87900,3939.17400,-916.81200,5768.65800,11462.71000
2019-06-30,998.24200,2779.18900,695.81000,2.70400,4475.94500,305.26600,6064.85800,795.19300,7165.31700,11641.26000,3289.44800,1025.19800,,2243.69700,5533.14500,135.84900,4053.62600,-763.58900,6108.11700,11641.26000
2019-03-31,674.54800,2747.17200,127.32000,1297.43000,4846.47000,268.80000,5308.48700,2522.08800,8099.37500,12945.84000,3188.20000,2841.53600,122.99300,4202.06400,7390.26400,136.43200,3620.87300,-860.26000,5555.58100,12945.84000
2018-12-31,886.70700,2681.90800,128.97700,1201.27000,4898.86200,256.48800,5323.11600,2466.79300,8046.39700,12945.26000,3094.72400,2668.99300,138.72200,4009.50100,7104.22500,140.40000,3796.86400,-856.55200,5841.03400,12945.26000
2018-09-30,634.87000,2513.93400,171.09600,1236.68400,4556.58400,257.85900,5368.80800,2462.54400,8089.21100,12645.79000,3145.69300,2144.16700,150.60400,3555.74800,6701.44100,142.21800,3809.99100,-806.70300,5944.35400,12645.79000
2018-06-30,824.37000,3463.69700,187.97800,,4476.04500,471.10400,6635.71200,968.95100,8075.76700,12551.81000,3096.18500,2336.47300,,3402.71000,6498.89500,141.86100,3880.88600,-728.17600,6052.91700,12551.81000
2018-03-31,835.41500,3421.23000,200.62600,,4457.27100,504.41200,6662.77400,977.40900,8144.59600,12601.87000,2983.23300,2511.80000,,3593.15700,6576.39000,141.71500,3755.65100,-617.06400,6025.47600,12601.87000
2017-12-31,1059.83900,3293.50200,193.61400,,4546.95500,574.03400,6641.87500,928.89300,8144.80200,12691.76000,3063.05600,2587.93300,,3666.95400,6730.01000,141.55700,3728.52700,-628.98500,5961.74700,12691.76000
2017-09-30,774.15100,2102.54300,119.48600,,2996.18000,349.91100,3342.74600,692.02200,4384.67900,7380.85900,1926.22700,235.00000,,967.28100,2893.50800,120.38600,3721.69800,-653.51400,4487.35100,7380.85900
2017-06-30,758.29600,2086.33100,95.60800,,2940.23500,329.12800,3211.23500,764.16100,4304.52400,7244.75900,1839.80200,282.00000,,1120.02800,2959.83000,120.26700,3664.97000,-783.38700,4284.92900,7244.75900
2017-03-31,674.59600,2058.00500,88.54500,,2821.14600,316.07700,3182.18500,766.59500,4264.85700,7086.00300,1733.21600,334.92500,,1178.53100,2911.74700,120.45400,3611.95300,-835.00800,4174.25600,7086.00300
2016-12-31,736.54600,2092.85400,93.99800,,2923.39800,314.40600,3140.26100,731.96800,4186.63500,7110.03300,1749.66600,387.00000,,1224.67400,2974.34000,121.16600,3621.52800,-878.91100,4135.69300,7110.03300
2016-09-30,655.71600,2115.66300,93.09100,,2864.47000,319.67300,3416.55000,759.32900,4495.55200,7360.02200,1782.68600,385.33000,,1247.15400,3029.84000,120.95100,3586.64700,-610.59400,4330.18200,7360.02200
2016-06-30,616.39100,2234.17800,78.02000,,2928.58900,325.13000,3413.42900,397.20000,4492.20300,7420.79200,1806.44000,479.00000,,1125.07000,2931.51000,121.70400,3600.12100,-453.26300,4489.28200,7420.79200
2016-03-31,559.72200,2415.09200,98.01400,,3072.82800,343.55000,3397.16500,528.01800,4643.97700,7716.80500,1918.41500,530.00000,,1359.41600,3277.83100,122.14600,3554.29100,-450.19600,4438.97400,7716.80500
2015-12-31,443.72500,2424.44700,104.40400,,3112.29600,361.00600,3405.04900,737.50000,4503.55500,7615.85100,1784.97600,621.89900,,1460.61600,3245.59200,122.77700,3511.19700,-470.47600,4370.25900,7615.85100
2015-09-30,460.85900,2548.74300,113.07600,,3122.67800,381.23800,3402.19700,879.81300,4663.24800,7785.92600,1981.16600,584.43400,,1448.30200,3429.46800,123.15300,3496.21200,-464.76400,4356.45800,7785.92600
2015-06-30,553.56100,2679.17600,82.24300,,3473.84100,421.31400,3416.75200,647.15400,4485.22000,7959.06100,2092.63800,646.39100,,1466.89200,3559.53000,124.14300,3513.86700,-420.96600,4399.53100,7959.06100
2015-03-31,464.95000,2700.10400,93.91700,,3415.95000,433.83600,3442.94900,638.57500,4515.36000,7931.31000,2004.53800,712.71200,,1517.89400,3522.43200,126.47400,3514.55700,-428.90200,4408.87800,7931.31000
2014-12-31,670.08100,2733.51100,113.76600,,3685.78400,447.14400,3460.82000,648.90000,4556.86400,8242.64800,2238.65500,706.61000,,1531.31000,3769.96500,129.47600,3539.51000,-401.50400,4472.68300,8242.64800
2014-09-30,732.64700,2867.55500,121.97600,,3892.07100,456.79700,3466.54100,638.25000,4561.58800,8453.65900,2349.84600,764.07500,,1598.15300,3947.99900,131.75300,3527.19300,-363.54900,4505.66000,8453.65900
