,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-10-31,2042.00000,905.00000,858.00000,429.00000,4234.00000,690.00000,62.00000,1771.00000,454.00000,3864.00000,8098.00000,1407.00000,1793.00000,296.00000,2530.00000,3937.00000,2.00000,4554.00000,-454.00000,,4161.00000,8098.00000
2022-07-31,1847.00000,882.00000,837.00000,395.00000,3961.00000,668.00000,73.00000,1822.00000,442.00000,3891.00000,7852.00000,1312.00000,1792.00000,305.00000,2620.00000,3932.00000,2.00000,4255.00000,-500.00000,,3920.00000,7852.00000
2022-04-30,1886.00000,803.00000,810.00000,387.00000,3886.00000,664.00000,81.00000,1833.00000,419.00000,3878.00000,7764.00000,1360.00000,1792.00000,320.00000,2625.00000,3985.00000,2.00000,3917.00000,-474.00000,,3779.00000,7764.00000
2022-01-31,1977.00000,708.00000,804.00000,319.00000,3808.00000,672.00000,65.00000,1873.00000,397.00000,3920.00000,7728.00000,1257.00000,1791.00000,343.00000,2661.00000,3918.00000,2.00000,3659.00000,-451.00000,,3810.00000,7728.00000
2021-10-31,2052.00000,735.00000,777.00000,270.00000,3834.00000,650.00000,70.00000,1900.00000,389.00000,3947.00000,7781.00000,1309.00000,1791.00000,352.00000,2688.00000,3997.00000,2.00000,3430.00000,-442.00000,,3784.00000,7781.00000
2021-07-31,2153.00000,677.00000,770.00000,229.00000,3829.00000,616.00000,68.00000,1893.00000,428.00000,3975.00000,7804.00000,1199.00000,1791.00000,341.00000,2855.00000,4054.00000,2.00000,3148.00000,-528.00000,,3750.00000,7804.00000
2021-04-30,1993.00000,676.00000,774.00000,275.00000,3718.00000,598.00000,65.00000,1924.00000,433.00000,3968.00000,7686.00000,1288.00000,1790.00000,333.00000,2853.00000,4141.00000,2.00000,2894.00000,-511.00000,,3545.00000,7686.00000
2021-01-31,1887.00000,654.00000,760.00000,265.00000,3566.00000,597.00000,62.00000,1944.00000,410.00000,3928.00000,7494.00000,1124.00000,1790.00000,332.00000,2834.00000,3958.00000,2.00000,2708.00000,-536.00000,,3536.00000,7494.00000
2020-10-31,1756.00000,606.00000,757.00000,255.00000,3374.00000,595.00000,61.00000,1898.00000,368.00000,3844.00000,7218.00000,1081.00000,1789.00000,365.00000,2840.00000,3921.00000,2.00000,2536.00000,-599.00000,,3297.00000,7218.00000
2020-07-31,1697.00000,569.00000,778.00000,234.00000,3278.00000,584.00000,62.00000,1929.00000,375.00000,3883.00000,7161.00000,980.00000,1789.00000,358.00000,2827.00000,3807.00000,2.00000,2319.00000,-520.00000,,3354.00000,7161.00000
2020-04-30,1841.00000,485.00000,756.00000,211.00000,3293.00000,575.00000,57.00000,1599.00000,354.00000,3464.00000,6757.00000,949.00000,1788.00000,300.00000,2723.00000,3672.00000,2.00000,2143.00000,-567.00000,,3085.00000,6757.00000
2020-01-31,1691.00000,670.00000,737.00000,228.00000,3326.00000,578.00000,48.00000,1650.00000,347.00000,3515.00000,6841.00000,982.00000,1788.00000,290.00000,2732.00000,3714.00000,2.00000,2072.00000,-561.00000,,3127.00000,6841.00000
2019-10-31,1598.00000,668.00000,705.00000,244.00000,3215.00000,576.00000,46.00000,1699.00000,332.00000,3408.00000,6623.00000,1003.00000,1788.00000,295.00000,2616.00000,3619.00000,2.00000,1909.00000,-578.00000,,3004.00000,6623.00000
2019-07-31,1394.00000,618.00000,696.00000,227.00000,2935.00000,568.00000,46.00000,1755.00000,341.00000,3413.00000,6348.00000,1432.00000,1292.00000,297.00000,1978.00000,3410.00000,2.00000,1714.00000,-460.00000,,2938.00000,6348.00000
2019-04-30,1277.00000,660.00000,660.00000,227.00000,2824.00000,563.00000,42.00000,1717.00000,317.00000,3366.00000,6190.00000,1485.00000,1292.00000,251.00000,1907.00000,3392.00000,2.00000,1555.00000,-461.00000,,2798.00000,6190.00000
2019-01-31,1098.00000,580.00000,641.00000,225.00000,2544.00000,558.00000,52.00000,1775.00000,308.00000,3434.00000,5978.00000,1400.00000,1291.00000,284.00000,1920.00000,3320.00000,2.00000,1402.00000,-449.00000,,2658.00000,5978.00000
2018-10-31,913.00000,624.00000,619.00000,222.00000,2378.00000,555.00000,46.00000,1816.00000,279.00000,3446.00000,5824.00000,1462.00000,1291.00000,287.00000,1929.00000,3391.00000,2.00000,1212.00000,-488.00000,,2433.00000,5824.00000
2018-07-31,742.00000,597.00000,609.00000,234.00000,2182.00000,549.00000,54.00000,2590.00000,285.00000,3664.00000,5846.00000,900.00000,1790.00000,201.00000,2333.00000,3233.00000,2.00000,1326.00000,-449.00000,,2613.00000,5846.00000
2018-04-30,784.00000,579.00000,597.00000,229.00000,2189.00000,546.00000,59.00000,2645.00000,281.00000,3734.00000,5923.00000,953.00000,1789.00000,230.00000,2447.00000,3400.00000,2.00000,1205.00000,-419.00000,,2523.00000,5923.00000
2018-01-31,980.00000,454.00000,609.00000,232.00000,2275.00000,539.00000,61.00000,2701.00000,270.00000,3775.00000,6050.00000,886.00000,2028.00000,232.00000,2680.00000,3566.00000,2.00000,1141.00000,-412.00000,,2484.00000,6050.00000
2017-10-31,818.00000,547.00000,588.00000,224.00000,2177.00000,530.00000,63.00000,2737.00000,240.00000,3756.00000,5933.00000,819.00000,2038.00000,356.00000,2804.00000,3623.00000,2.00000,1041.00000,-457.00000,,2310.00000,5933.00000
2017-07-31,876.00000,521.00000,561.00000,200.00000,2158.00000,546.00000,60.00000,2726.00000,134.00000,3682.00000,5840.00000,784.00000,2047.00000,327.00000,2837.00000,3621.00000,2.00000,1079.00000,-572.00000,,2219.00000,5840.00000
2017-04-30,1023.00000,518.00000,585.00000,188.00000,2314.00000,545.00000,60.00000,2620.00000,130.00000,3700.00000,6014.00000,876.00000,2156.00000,345.00000,2966.00000,3842.00000,2.00000,1097.00000,-595.00000,,2172.00000,6014.00000
2017-01-31,896.00000,395.00000,479.00000,162.00000,1932.00000,494.00000,60.00000,918.00000,123.00000,1937.00000,3869.00000,596.00000,1093.00000,74.00000,1625.00000,2221.00000,2.00000,1048.00000,-611.00000,,1648.00000,3869.00000
2016-10-31,783.00000,437.00000,474.00000,160.00000,1854.00000,512.00000,55.00000,944.00000,39.00000,1942.00000,3796.00000,644.00000,1093.00000,69.00000,1639.00000,2283.00000,2.00000,949.00000,-618.00000,,1513.00000,3796.00000
2016-07-31,664.00000,415.00000,479.00000,153.00000,1711.00000,522.00000,56.00000,955.00000,114.00000,1964.00000,3675.00000,601.00000,1100.00000,69.00000,1477.00000,2078.00000,2.00000,857.00000,-433.00000,,1597.00000,3675.00000
2016-04-30,620.00000,408.00000,475.00000,159.00000,1737.00000,531.00000,58.00000,957.00000,108.00000,1918.00000,3655.00000,652.00000,1100.00000,84.00000,1503.00000,2155.00000,2.00000,766.00000,-437.00000,,1500.00000,3655.00000
2016-01-31,572.00000,361.00000,481.00000,138.00000,1626.00000,514.00000,56.00000,929.00000,100.00000,1855.00000,3481.00000,602.00000,1099.00000,81.00000,1497.00000,2099.00000,2.00000,678.00000,-497.00000,,1382.00000,3481.00000
2015-10-31,483.00000,398.00000,487.00000,137.00000,1579.00000,518.00000,70.00000,946.00000,100.00000,1929.00000,3508.00000,686.00000,1099.00000,80.00000,1520.00000,2206.00000,2.00000,614.00000,-479.00000,,1302.00000,3508.00000
2015-07-31,1000.00000,313.00000,478.00000,119.00000,1983.00000,462.00000,70.00000,384.00000,86.00000,1114.00000,3097.00000,620.00000,1099.00000,52.00000,1372.00000,1992.00000,2.00000,337.00000,-376.00000,,1105.00000,3097.00000
2015-04-30,894.00000,353.00000,476.00000,131.00000,1927.00000,460.00000,67.00000,392.00000,89.00000,1134.00000,3061.00000,631.00000,1099.00000,58.00000,1394.00000,2025.00000,2.00000,267.00000,-357.00000,,1036.00000,3061.00000
2015-01-31,887.00000,310.00000,477.00000,136.00000,1892.00000,455.00000,59.00000,397.00000,91.00000,1137.00000,3029.00000,700.00000,1099.00000,59.00000,1411.00000,2111.00000,2.00000,171.00000,-369.00000,,918.00000,3029.00000
2014-10-31,810.00000,380.00000,498.00000,79.00000,1850.00000,470.00000,63.00000,410.00000,94.00000,1200.00000,3050.00000,769.00000,1099.00000,131.00000,1512.00000,2281.00000,2.00000,101.00000,-336.00000,,769.00000,3050.00000
2014-07-31,,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2014-04-30,,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2014-01-31,,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2013-10-31,,340.00000,502.00000,130.00000,972.00000,1235.00000,44.00000,439.00000,16.00000,1822.00000,2028.00000,560.00000,,129.00000,223.00000,783.00000,1214.00000,,,31.00000,1245.00000,2028.00000
2012-10-31,,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
