,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,516.00000,2350.00000,287.00000,490.00000,3643.00000,847.00000,7648.00000,388.00000,9428.00000,13071.00000,3947.00000,3928.00000,233.00000,4771.00000,8718.00000,2367.00000,-73.00000,4353.00000,13071.00000
2022-09-30,807.00000,2284.00000,286.00000,464.00000,3841.00000,671.00000,7595.00000,399.00000,9258.00000,13099.00000,4141.00000,3975.00000,229.00000,4819.00000,8960.00000,2239.00000,-135.00000,4139.00000,13099.00000
2022-06-30,339.00000,2423.00000,286.00000,478.00000,3526.00000,669.00000,7711.00000,367.00000,9361.00000,12887.00000,3906.00000,4023.00000,198.00000,4924.00000,8830.00000,2128.00000,-79.00000,4057.00000,12887.00000
2022-03-31,297.00000,2419.00000,279.00000,492.00000,3487.00000,674.00000,7851.00000,418.00000,9543.00000,13030.00000,3494.00000,4569.00000,195.00000,5528.00000,9022.00000,2007.00000,20.00000,4008.00000,13030.00000
2021-12-31,727.00000,2189.00000,274.00000,429.00000,3619.00000,670.00000,7921.00000,439.00000,9642.00000,13261.00000,3229.00000,4593.00000,267.00000,5688.00000,8917.00000,1880.00000,-12.00000,4344.00000,13261.00000
2021-09-30,587.00000,2288.00000,268.00000,426.00000,3569.00000,662.00000,7971.00000,441.00000,9712.00000,13281.00000,3347.00000,4616.00000,283.00000,5768.00000,9115.00000,1758.00000,-40.00000,4166.00000,13281.00000
2021-06-30,338.00000,2271.00000,251.00000,403.00000,3263.00000,654.00000,8036.00000,448.00000,9772.00000,13035.00000,3108.00000,4639.00000,285.00000,5779.00000,8887.00000,1605.00000,-15.00000,4148.00000,13035.00000
2021-03-31,377.00000,2160.00000,268.00000,452.00000,3257.00000,655.00000,7690.00000,452.00000,9381.00000,12638.00000,2920.00000,4663.00000,275.00000,5738.00000,8658.00000,1484.00000,-37.00000,3980.00000,12638.00000
2020-12-31,524.00000,2137.00000,276.00000,402.00000,3339.00000,604.00000,7529.00000,458.00000,9172.00000,12511.00000,2907.00000,4644.00000,291.00000,5733.00000,8640.00000,1328.00000,-46.00000,3871.00000,12511.00000
2020-09-30,512.00000,1872.00000,292.00000,523.00000,3199.00000,577.00000,7493.00000,435.00000,9086.00000,12285.00000,3398.00000,4125.00000,282.00000,5172.00000,8570.00000,1180.00000,-98.00000,3715.00000,12285.00000
2020-06-30,588.00000,1789.00000,294.00000,381.00000,3052.00000,569.00000,7526.00000,437.00000,9091.00000,12143.00000,3429.00000,4148.00000,296.00000,5167.00000,8596.00000,1065.00000,-127.00000,3547.00000,12143.00000
2020-03-31,445.00000,1793.00000,,630.00000,2868.00000,490.00000,6669.00000,422.00000,8120.00000,10988.00000,4290.00000,2444.00000,219.00000,3339.00000,7629.00000,961.00000,-185.00000,3359.00000,10988.00000
