,cash-on-hand,receivables-total,total-current-assets,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,3343.00000,19882.00000,23225.00000,133049.00000,1144.00000,164431.00000,312212.00000,335437.00000,170163.00000,5955.00000,155218.00000,161173.00000,331336.00000,4544.00000,6239.00000,-7668.00000,4101.00000,335437.00000
2022-09-30,1472.00000,21129.00000,22601.00000,130776.00000,1144.00000,156486.00000,302082.00000,324683.00000,167255.00000,5959.00000,149252.00000,155211.00000,322466.00000,4534.00000,6311.00000,-8628.00000,2217.00000,324683.00000
2022-06-30,1567.00000,21071.00000,22638.00000,136471.00000,1778.00000,163010.00000,313131.00000,335769.00000,161957.00000,6498.00000,158126.00000,164624.00000,326581.00000,4546.00000,8985.00000,-4343.00000,9188.00000,335769.00000
2022-03-31,1960.00000,21225.00000,23185.00000,145871.00000,1778.00000,186285.00000,342744.00000,365929.00000,161601.00000,6561.00000,183055.00000,189616.00000,351217.00000,4586.00000,8876.00000,1250.00000,14712.00000,365929.00000
2021-12-31,2612.00000,20295.00000,22907.00000,154819.00000,1778.00000,201716.00000,364394.00000,387301.00000,161978.00000,6325.00000,198726.00000,205051.00000,367029.00000,4735.00000,9096.00000,6441.00000,20272.00000,387301.00000
2021-09-30,2614.00000,16839.00000,19453.00000,156822.00000,1778.00000,193034.00000,357599.00000,377052.00000,158921.00000,6323.00000,190638.00000,196961.00000,355882.00000,4956.00000,9365.00000,6849.00000,21170.00000,377052.00000
2021-06-30,2389.00000,17091.00000,19480.00000,156369.00000,1778.00000,196260.00000,360668.00000,380148.00000,157855.00000,6334.00000,194214.00000,200548.00000,358403.00000,5021.00000,9245.00000,7479.00000,21745.00000,380148.00000
2021-03-31,1350.00000,17470.00000,18820.00000,149860.00000,1778.00000,188637.00000,347940.00000,366760.00000,154734.00000,6294.00000,186139.00000,192433.00000,347167.00000,5057.00000,8775.00000,5761.00000,19593.00000,366760.00000
2020-12-31,1708.00000,17512.00000,19220.00000,155213.00000,1778.00000,183925.00000,346728.00000,365948.00000,152833.00000,6682.00000,183734.00000,190416.00000,343249.00000,5082.00000,8686.00000,8931.00000,22699.00000,365948.00000
2020-09-30,2595.00000,17647.00000,20242.00000,150835.00000,1778.00000,168642.00000,327562.00000,347804.00000,149426.00000,6714.00000,170115.00000,176829.00000,326255.00000,5093.00000,8647.00000,7809.00000,21549.00000,347804.00000
2020-06-30,4201.00000,17891.00000,22092.00000,146085.00000,1778.00000,162692.00000,317567.00000,339659.00000,146417.00000,6736.00000,165775.00000,172511.00000,318928.00000,5081.00000,8327.00000,7323.00000,20731.00000,339659.00000
2020-03-31,6202.00000,18157.00000,24359.00000,136437.00000,1778.00000,146863.00000,294290.00000,318649.00000,145042.00000,6748.00000,150284.00000,157032.00000,302074.00000,5071.00000,8500.00000,3004.00000,16575.00000,318649.00000
2019-12-31,2563.00000,18145.00000,20708.00000,134845.00000,1778.00000,169736.00000,314053.00000,334761.00000,140147.00000,6067.00000,168858.00000,174925.00000,315072.00000,5162.00000,8854.00000,5673.00000,19689.00000,334761.00000
2019-09-30,2939.00000,18336.00000,21275.00000,133702.00000,1778.00000,161031.00000,304003.00000,325278.00000,137558.00000,6070.00000,161651.00000,167721.00000,305279.00000,5192.00000,8559.00000,6248.00000,19999.00000,325278.00000
2019-06-30,3314.00000,18034.00000,21348.00000,127526.00000,1778.00000,163019.00000,300911.00000,322259.00000,136079.00000,5621.00000,162104.00000,167725.00000,303804.00000,5241.00000,8878.00000,4336.00000,18455.00000,322259.00000
2019-03-31,1593.00000,18816.00000,20409.00000,122929.00000,1778.00000,159742.00000,293890.00000,314299.00000,133807.00000,5572.00000,158503.00000,164075.00000,297882.00000,5285.00000,8679.00000,2453.00000,16417.00000,314299.00000
2018-12-31,2345.00000,18875.00000,21220.00000,116335.00000,1782.00000,148546.00000,276927.00000,298147.00000,130689.00000,5839.00000,147269.00000,153108.00000,283797.00000,5392.00000,8551.00000,407.00000,14350.00000,298147.00000
2018-09-30,1460.00000,19429.00000,20889.00000,113854.00000,1757.00000,157336.00000,282961.00000,303850.00000,128126.00000,5804.00000,154850.00000,160654.00000,288780.00000,5619.00000,8615.00000,836.00000,15070.00000,303850.00000
2018-06-30,1775.00000,19125.00000,20900.00000,113126.00000,1750.00000,153152.00000,277932.00000,298832.00000,127140.00000,5826.00000,150689.00000,156515.00000,283655.00000,5674.00000,8302.00000,1201.00000,15177.00000,298832.00000
2018-03-31,2257.00000,6065.00000,8322.00000,111184.00000,1368.00000,149074.00000,270915.00000,279237.00000,108182.00000,5648.00000,149422.00000,155070.00000,263252.00000,5700.00000,8052.00000,2233.00000,15985.00000,279237.00000
2017-12-31,1628.00000,5896.00000,7524.00000,114167.00000,1368.00000,150301.00000,274239.00000,281763.00000,108020.00000,4894.00000,151527.00000,156421.00000,264441.00000,5693.00000,8399.00000,3230.00000,17322.00000,281763.00000
2017-09-30,1965.00000,6034.00000,7999.00000,112851.00000,2273.00000,145119.00000,268786.00000,276785.00000,107651.00000,4900.00000,147920.00000,152820.00000,260471.00000,5717.00000,7738.00000,2859.00000,16314.00000,276785.00000
2017-06-30,1978.00000,6200.00000,8178.00000,111721.00000,2273.00000,140924.00000,263473.00000,271651.00000,106964.00000,4901.00000,143790.00000,148691.00000,255655.00000,5774.00000,7511.00000,2711.00000,15996.00000,271651.00000
2017-03-31,1923.00000,6408.00000,8331.00000,109757.00000,2273.00000,138077.00000,259137.00000,267468.00000,106616.00000,5133.00000,140746.00000,145879.00000,252495.00000,5839.00000,7287.00000,1847.00000,14973.00000,267468.00000
2016-12-31,2722.00000,6312.00000,9034.00000,107783.00000,2273.00000,133403.00000,252593.00000,261627.00000,105527.00000,5345.00000,136277.00000,141622.00000,247149.00000,5869.00000,7043.00000,1566.00000,14478.00000,261627.00000
2016-09-30,3444.00000,6415.00000,9859.00000,112708.00000,2273.00000,133745.00000,256746.00000,266605.00000,106124.00000,5457.00000,138701.00000,144158.00000,250282.00000,5909.00000,7037.00000,3377.00000,16323.00000,266605.00000
2016-06-30,4113.00000,6538.00000,10651.00000,111657.00000,2273.00000,130167.00000,252377.00000,263028.00000,106286.00000,5460.00000,135362.00000,140822.00000,247108.00000,6009.00000,6716.00000,3195.00000,15920.00000,263028.00000
2016-03-31,3177.00000,6628.00000,9805.00000,107479.00000,2273.00000,127177.00000,245913.00000,255718.00000,104041.00000,5650.00000,131369.00000,137019.00000,241060.00000,6162.00000,6565.00000,1931.00000,14658.00000,255718.00000
2015-12-31,3146.00000,6628.00000,9774.00000,103278.00000,2273.00000,127073.00000,242134.00000,251908.00000,102814.00000,5553.00000,129924.00000,135477.00000,238291.00000,6298.00000,6474.00000,845.00000,13617.00000,251908.00000
2015-09-30,3772.00000,6581.00000,10353.00000,104315.00000,2273.00000,123725.00000,239179.00000,249532.00000,102387.00000,5604.00000,127140.00000,132744.00000,235131.00000,6380.00000,6358.00000,1663.00000,14401.00000,249532.00000
2015-06-30,2327.00000,6665.00000,8992.00000,103073.00000,2273.00000,131726.00000,246222.00000,255214.00000,101116.00000,5529.00000,133870.00000,139399.00000,240515.00000,6469.00000,6286.00000,1944.00000,14699.00000,255214.00000
2015-03-31,3487.00000,6696.00000,10183.00000,107144.00000,2273.00000,130729.00000,248302.00000,258485.00000,101592.00000,5627.00000,135043.00000,140670.00000,242262.00000,6493.00000,6077.00000,3653.00000,16223.00000,258485.00000
2014-12-31,3919.00000,6852.00000,10771.00000,104016.00000,2273.00000,128110.00000,242606.00000,253377.00000,100378.00000,5270.00000,131989.00000,137259.00000,237637.00000,6622.00000,6022.00000,3096.00000,15740.00000,253377.00000
2014-09-30,1821.00000,7115.00000,8936.00000,102514.00000,2273.00000,126351.00000,239510.00000,248446.00000,98690.00000,5186.00000,129118.00000,134304.00000,232994.00000,6696.00000,5834.00000,2922.00000,15452.00000,248446.00000
2014-06-30,1509.00000,7236.00000,8745.00000,102039.00000,2273.00000,127919.00000,240380.00000,249125.00000,98171.00000,5170.00000,130333.00000,135503.00000,233674.00000,6739.00000,5513.00000,3199.00000,15451.00000,249125.00000
2014-03-31,1849.00000,7260.00000,9109.00000,99323.00000,2273.00000,122790.00000,232840.00000,241949.00000,97158.00000,5380.00000,124925.00000,130305.00000,227463.00000,6805.00000,5228.00000,2453.00000,14486.00000,241949.00000
2013-12-31,2364.00000,7237.00000,9601.00000,96320.00000,2273.00000,119865.00000,227344.00000,236945.00000,95646.00000,5320.00000,122527.00000,127847.00000,223493.00000,6876.00000,5013.00000,1563.00000,13452.00000,236945.00000
2013-09-30,2650.00000,7737.00000,10387.00000,96679.00000,2273.00000,112085.00000,219537.00000,229924.00000,96421.00000,5365.00000,114749.00000,120114.00000,216535.00000,6886.00000,4753.00000,1750.00000,13389.00000,229924.00000
2013-06-30,2574.00000,7603.00000,10177.00000,97219.00000,2273.00000,105438.00000,213144.00000,223321.00000,96933.00000,5050.00000,108021.00000,113071.00000,210004.00000,6937.00000,4487.00000,1893.00000,13317.00000,223321.00000
2013-03-31,3107.00000,7727.00000,10834.00000,100363.00000,2273.00000,103935.00000,213507.00000,224341.00000,96921.00000,4889.00000,107669.00000,112558.00000,209479.00000,7043.00000,4238.00000,3581.00000,14862.00000,224341.00000
2012-12-31,4230.00000,7666.00000,11896.00000,100080.00000,2273.00000,97953.00000,206973.00000,218869.00000,96594.00000,5439.00000,101863.00000,107302.00000,203896.00000,7121.00000,4044.00000,3808.00000,14973.00000,218869.00000
2012-09-30,4373.00000,6790.00000,11163.00000,99535.00000,2273.00000,96674.00000,204295.00000,215458.00000,94919.00000,5494.00000,99808.00000,105302.00000,200221.00000,7214.00000,3873.00000,4150.00000,15237.00000,215458.00000
2012-06-30,5257.00000,6989.00000,12246.00000,97909.00000,2273.00000,92177.00000,198864.00000,211110.00000,95907.00000,5719.00000,95302.00000,101021.00000,196928.00000,7310.00000,3493.00000,3379.00000,14182.00000,211110.00000
2012-03-31,3516.00000,6971.00000,10487.00000,93938.00000,2273.00000,94440.00000,197531.00000,208018.00000,92144.00000,5606.00000,97007.00000,102613.00000,194757.00000,7448.00000,3191.00000,2622.00000,13261.00000,208018.00000
