,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,252.00000,1457.00000,,7673.00000,9382.00000,20713.00000,22354.00000,2368.00000,45435.00000,54817.00000,8715.00000,21764.00000,7166.00000,33525.00000,42240.00000,1035.00000,-4477.00000,-2202.00000,12577.00000,54817.00000
2022-06-30,360.00000,1460.00000,,9970.00000,11790.00000,20720.00000,22575.00000,2590.00000,45885.00000,57675.00000,5781.00000,27965.00000,7456.00000,39675.00000,45456.00000,1032.00000,-5055.00000,-2217.00000,12219.00000,57675.00000
2022-03-31,366.00000,1419.00000,,9987.00000,11772.00000,20829.00000,22761.00000,2675.00000,46265.00000,58037.00000,5655.00000,28397.00000,7481.00000,40100.00000,45755.00000,1033.00000,-5399.00000,-2047.00000,12282.00000,58037.00000
2021-12-31,354.00000,1544.00000,,9638.00000,11536.00000,20895.00000,22956.00000,2606.00000,46457.00000,57993.00000,7169.00000,27428.00000,7507.00000,38984.00000,46153.00000,1024.00000,-5998.00000,-2158.00000,11840.00000,57993.00000
2021-09-30,635.00000,1541.00000,,9525.00000,11701.00000,20926.00000,23147.00000,2534.00000,46607.00000,58308.00000,8300.00000,27260.00000,7833.00000,38825.00000,47125.00000,1031.00000,-6506.00000,-2577.00000,11183.00000,58308.00000
2021-06-30,935.00000,1905.00000,,906.00000,3746.00000,25993.00000,26530.00000,2678.00000,55201.00000,58947.00000,6510.00000,28574.00000,8514.00000,40731.00000,47241.00000,1105.00000,-7050.00000,-2710.00000,11706.00000,58947.00000
2021-03-31,486.00000,1883.00000,,924.00000,3293.00000,26091.00000,26738.00000,2706.00000,55535.00000,58828.00000,7787.00000,27599.00000,8668.00000,39738.00000,47525.00000,1106.00000,-7556.00000,-2845.00000,11303.00000,58828.00000
2020-12-31,406.00000,1962.00000,,808.00000,3176.00000,26338.00000,27089.00000,2791.00000,56218.00000,59394.00000,6634.00000,29410.00000,8846.00000,41598.00000,48232.00000,1097.00000,-8031.00000,-2813.00000,11162.00000,59394.00000
2020-09-30,526.00000,2143.00000,,835.00000,3504.00000,26290.00000,30039.00000,2766.00000,59095.00000,62599.00000,5879.00000,31105.00000,8694.00000,43031.00000,48910.00000,1097.00000,-5743.00000,-2795.00000,13689.00000,62599.00000
2020-06-30,1763.00000,2182.00000,,913.00000,4858.00000,26079.00000,30372.00000,2862.00000,59313.00000,64171.00000,7472.00000,31414.00000,8729.00000,43237.00000,50709.00000,1097.00000,-6109.00000,-2902.00000,13462.00000,64171.00000
2020-03-31,1567.00000,2175.00000,,948.00000,4690.00000,25956.00000,30699.00000,1044.00000,57699.00000,64056.00000,5703.00000,33481.00000,7308.00000,45062.00000,50765.00000,1098.00000,-6486.00000,-2955.00000,13291.00000,64056.00000
2019-12-31,1690.00000,2259.00000,,819.00000,4768.00000,26079.00000,31101.00000,2794.00000,59974.00000,64742.00000,7258.00000,32394.00000,8702.00000,44014.00000,51272.00000,1090.00000,-6814.00000,-2680.00000,13470.00000,64742.00000
2019-09-30,1407.00000,2290.00000,,892.00000,4589.00000,25874.00000,31386.00000,1158.00000,58418.00000,64728.00000,6589.00000,33381.00000,6823.00000,44465.00000,51054.00000,1090.00000,-7018.00000,-2499.00000,13674.00000,64728.00000
2019-06-30,413.00000,2446.00000,,1019.00000,3878.00000,25860.00000,31734.00000,1192.00000,58786.00000,64508.00000,6495.00000,33193.00000,6835.00000,44321.00000,50816.00000,1090.00000,-7321.00000,-2419.00000,13692.00000,64508.00000
2019-03-31,444.00000,2347.00000,,1029.00000,3820.00000,25793.00000,32035.00000,1188.00000,59016.00000,64788.00000,5373.00000,34858.00000,6812.00000,45872.00000,51245.00000,1090.00000,-7693.00000,-2429.00000,13543.00000,64788.00000
2018-12-31,492.00000,2398.00000,,930.00000,3820.00000,26408.00000,38810.00000,1218.00000,66436.00000,70256.00000,5531.00000,35409.00000,6961.00000,44897.00000,50428.00000,1080.00000,-1643.00000,-2461.00000,19828.00000,70256.00000
2018-09-30,393.00000,2465.00000,,1256.00000,4114.00000,26168.00000,41936.00000,1153.00000,69257.00000,73371.00000,5286.00000,35749.00000,7031.00000,45282.00000,50568.00000,1081.00000,777.00000,-2454.00000,22803.00000,73371.00000
2018-06-30,705.00000,2471.00000,,1275.00000,4451.00000,26494.00000,42251.00000,1150.00000,69895.00000,74346.00000,4521.00000,36878.00000,7551.00000,46836.00000,51357.00000,1079.00000,1040.00000,-2490.00000,22989.00000,74346.00000
2018-03-31,506.00000,2432.00000,,1245.00000,4183.00000,26826.00000,42706.00000,1078.00000,70610.00000,74793.00000,4767.00000,36940.00000,7447.00000,46583.00000,51350.00000,1079.00000,1336.00000,-2288.00000,23443.00000,74793.00000
2017-12-31,556.00000,2557.00000,,1081.00000,4194.00000,26852.00000,43248.00000,1317.00000,71417.00000,75611.00000,4857.00000,37283.00000,7567.00000,47263.00000,52120.00000,1069.00000,1103.00000,-1995.00000,23491.00000,75611.00000
2017-09-30,160.00000,1888.00000,,646.00000,2694.00000,17634.00000,23391.00000,6817.00000,47842.00000,50536.00000,3266.00000,24854.00000,6328.00000,34310.00000,37576.00000,550.00000,34.00000,-1994.00000,12960.00000,50536.00000
2017-06-30,342.00000,1868.00000,,698.00000,2908.00000,17583.00000,23596.00000,6838.00000,48017.00000,50925.00000,3243.00000,24881.00000,6485.00000,34596.00000,37839.00000,550.00000,-51.00000,-2050.00000,13086.00000,50925.00000
2017-03-31,214.00000,1854.00000,,2900.00000,4968.00000,17016.00000,23780.00000,838.00000,41634.00000,46602.00000,5096.00000,18180.00000,6559.00000,28200.00000,33296.00000,549.00000,110.00000,-2086.00000,13306.00000,46602.00000
2016-12-31,222.00000,2017.00000,,2923.00000,5162.00000,17039.00000,23978.00000,838.00000,41855.00000,47017.00000,5349.00000,18185.00000,6613.00000,28269.00000,33618.00000,547.00000,-1.00000,-2117.00000,13399.00000,47017.00000
2016-09-30,140.00000,1957.00000,,631.00000,2728.00000,17840.00000,25538.00000,690.00000,44068.00000,46796.00000,4733.00000,18184.00000,6334.00000,28171.00000,32904.00000,547.00000,79.00000,-1855.00000,13892.00000,46796.00000
2016-06-30,191.00000,1972.00000,,628.00000,2791.00000,17894.00000,25744.00000,689.00000,44327.00000,47118.00000,4842.00000,18165.00000,6501.00000,28291.00000,33133.00000,546.00000,115.00000,-1881.00000,13985.00000,47118.00000
2016-03-31,438.00000,1871.00000,,617.00000,2926.00000,17963.00000,25966.00000,662.00000,44591.00000,47517.00000,3826.00000,19508.00000,6551.00000,29655.00000,33481.00000,546.00000,213.00000,-1907.00000,14036.00000,47517.00000
2015-12-31,126.00000,1943.00000,,581.00000,2650.00000,18069.00000,26225.00000,660.00000,44954.00000,47604.00000,4604.00000,18722.00000,6649.00000,28940.00000,33544.00000,544.00000,272.00000,-1934.00000,14060.00000,47604.00000
2015-09-30,355.00000,1951.00000,,594.00000,3350.00000,18068.00000,26487.00000,849.00000,45404.00000,48754.00000,5547.00000,18504.00000,6711.00000,28957.00000,34504.00000,554.00000,177.00000,-1941.00000,14250.00000,48754.00000
2015-06-30,155.00000,1955.00000,,599.00000,3305.00000,18089.00000,26743.00000,840.00000,45672.00000,48977.00000,4797.00000,18834.00000,6925.00000,29593.00000,34390.00000,563.00000,87.00000,-1959.00000,14587.00000,48977.00000
2015-03-31,155.00000,1973.00000,,622.00000,3468.00000,18183.00000,27013.00000,856.00000,46052.00000,49520.00000,3579.00000,20254.00000,7001.00000,31176.00000,34755.00000,566.00000,141.00000,-2001.00000,14765.00000,49520.00000
2014-12-31,128.00000,1988.00000,,580.00000,2696.00000,18433.00000,27295.00000,679.00000,46407.00000,49103.00000,3918.00000,19953.00000,7055.00000,30162.00000,34080.00000,569.00000,147.00000,-2017.00000,15023.00000,49103.00000
2014-09-30,734.00000,1978.00000,,591.00000,4018.00000,18323.00000,27474.00000,831.00000,46628.00000,50646.00000,4577.00000,19982.00000,5013.00000,29624.00000,34201.00000,571.00000,131.00000,-789.00000,16445.00000,50646.00000
2014-06-30,181.00000,1986.00000,,628.00000,3598.00000,18435.00000,27752.00000,829.00000,47016.00000,50614.00000,4443.00000,19771.00000,5192.00000,29573.00000,34016.00000,571.00000,135.00000,-779.00000,16598.00000,50614.00000
2014-03-31,219.00000,1887.00000,,632.00000,3748.00000,18493.00000,28091.00000,834.00000,47418.00000,51166.00000,4621.00000,19814.00000,5224.00000,29747.00000,34368.00000,575.00000,144.00000,-795.00000,16798.00000,51166.00000
2013-12-31,168.00000,1977.00000,,597.00000,3907.00000,18646.00000,28411.00000,823.00000,47880.00000,51787.00000,4409.00000,20181.00000,5253.00000,30187.00000,34596.00000,584.00000,66.00000,-802.00000,17191.00000,51787.00000
2013-09-30,266.00000,1979.00000,,563.00000,3812.00000,18665.00000,28685.00000,822.00000,48172.00000,51984.00000,3978.00000,20391.00000,6776.00000,31292.00000,35270.00000,593.00000,-173.00000,-1660.00000,16714.00000,51984.00000
2013-06-30,214.00000,1958.00000,,570.00000,3648.00000,18777.00000,29988.00000,841.00000,49606.00000,53254.00000,3748.00000,20283.00000,6843.00000,31106.00000,34854.00000,604.00000,1193.00000,-1688.00000,18400.00000,53254.00000
2013-03-31,476.00000,1929.00000,,587.00000,3875.00000,18825.00000,30229.00000,800.00000,49854.00000,53729.00000,4583.00000,19595.00000,6883.00000,30290.00000,34873.00000,616.00000,1244.00000,-1695.00000,18856.00000,53729.00000
2012-12-31,211.00000,1959.00000,,552.00000,3638.00000,18909.00000,30597.00000,796.00000,50302.00000,53940.00000,4595.00000,19400.00000,7092.00000,30056.00000,34651.00000,626.00000,1285.00000,-1701.00000,19289.00000,53940.00000
2012-09-30,194.00000,1971.00000,,649.00000,3833.00000,19013.00000,30932.00000,854.00000,50799.00000,54632.00000,4931.00000,19508.00000,5913.00000,29504.00000,34435.00000,623.00000,1506.00000,-984.00000,20197.00000,54632.00000
2012-06-30,281.00000,1920.00000,,628.00000,3847.00000,19054.00000,31289.00000,900.00000,51243.00000,55090.00000,5207.00000,19682.00000,5935.00000,29572.00000,34779.00000,622.00000,1688.00000,-998.00000,20311.00000,55090.00000
2012-03-31,1530.00000,1879.00000,,481.00000,4882.00000,19295.00000,31824.00000,841.00000,51960.00000,56842.00000,5643.00000,20667.00000,5978.00000,30561.00000,36204.00000,621.00000,2067.00000,-1000.00000,20638.00000,56842.00000
2011-12-31,128.00000,1977.00000,,393.00000,3517.00000,19444.00000,32214.00000,869.00000,52527.00000,56044.00000,4017.00000,21356.00000,6044.00000,31200.00000,35217.00000,619.00000,2319.00000,-1012.00000,20827.00000,56044.00000
2011-09-30,1123.00000,2055.00000,,378.00000,3808.00000,19290.00000,32805.00000,832.00000,52927.00000,56735.00000,4737.00000,21142.00000,5364.00000,30022.00000,34759.00000,617.00000,2663.00000,-158.00000,21976.00000,56735.00000
2011-06-30,2546.00000,1837.00000,,348.00000,5007.00000,18024.00000,31033.00000,778.00000,49835.00000,54842.00000,5064.00000,19734.00000,5297.00000,28137.00000,33201.00000,602.00000,2958.00000,-141.00000,21641.00000,54842.00000
2011-03-31,269.65900,699.04400,35.44800,57.13700,1140.73600,8648.58000,10260.64000,1851.50200,20760.72000,21901.46000,1073.00700,7168.25100,1593.53900,11169.84000,12242.85000,305.77800,3291.78400,-138.95700,9658.60700,21901.46000
2010-12-31,173.00000,815.00000,,74.00000,1143.00000,8754.00000,11813.00000,328.00000,20895.00000,22038.00000,1011.00000,7316.00000,1695.00000,11380.00000,12391.00000,305.00000,3302.00000,-141.00000,9647.00000,22038.00000
2010-09-30,243.06100,835.08800,35.13500,34.35500,1227.10700,8801.74300,10260.64000,1930.72000,20993.10000,22220.21000,1649.72800,7061.74400,1642.78700,10964.63000,12614.36000,302.68500,3298.64300,-89.54400,9605.85400,22220.21000
2010-06-30,186.35700,744.29100,35.59900,43.51300,1083.65000,8866.47100,10260.64000,1988.82300,21115.93000,22199.58000,1629.58600,7178.64600,1623.42500,11018.90000,12648.49000,301.26600,3287.22500,-92.07400,9551.09600,22199.58000
2010-03-31,206.49000,670.95700,37.00700,51.35600,1040.98700,8970.29700,10251.76000,2058.50200,21280.56000,22321.54000,1761.06300,7221.01800,1619.24300,11059.23000,12820.29000,300.16200,3267.31800,-94.60300,9501.25300,22321.54000
2009-12-31,161.80700,801.27300,35.75500,41.43700,1123.59100,9097.13900,11698.18000,643.82300,21439.14000,22562.73000,1707.19500,7253.65300,1878.50300,11388.74000,13095.93000,299.18900,3232.76900,-85.30600,9466.79900,22562.73000
2009-09-30,531.18900,670.73200,43.37100,107.73400,1458.25800,9363.18700,11504.85000,630.76800,21498.80000,22957.06000,2149.27700,7454.51500,1831.77400,11443.76000,13593.03000,297.46700,3212.32800,-111.68100,9364.02900,22957.06000
2009-06-30,59.14400,199.10000,9.38400,52.67500,320.30300,2786.21000,4015.67400,764.51300,7566.39700,7886.70000,447.41700,2899.93600,1353.02500,4252.96100,4700.37800,101.14000,3141.33400,-114.47200,3186.32200,7886.70000
2009-03-31,61.23000,194.19400,8.78100,56.42500,320.63000,2821.57000,4015.67400,775.93900,7613.18300,7933.81300,414.86200,3002.40200,1341.34000,4343.74200,4758.60400,100.57900,3143.03600,-116.60500,3175.20900,7933.81300
