,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1063.40000,785.90000,873.70000,153.90000,2876.90000,6316.70000,4497.30000,919.20000,12116.70000,14993.60000,1445.60000,4340.90000,784.10000,6375.20000,7820.80000,0.60000,3719.40000,-38.50000,7172.80000,14993.60000
2022-09-30,840.30000,1011.70000,823.40000,171.90000,2847.30000,6153.80000,4496.10000,835.20000,11882.40000,14729.70000,1419.70000,4339.90000,797.90000,6372.20000,7791.90000,0.60000,3577.00000,-125.10000,6937.80000,14729.70000
2022-06-30,772.10000,1026.60000,835.20000,126.40000,2760.30000,6164.30000,4444.10000,771.80000,11782.50000,14542.80000,761.40000,5044.30000,755.90000,7009.29900,7770.70000,0.60000,3423.10000,-128.10000,6772.10000,14542.80000
2022-03-31,189.60000,759.20000,782.40000,256.30000,1987.50000,6208.90000,4442.70000,1191.70000,12254.00000,14241.50000,712.90000,5102.30000,743.10000,7097.50000,7810.40000,0.60000,3094.90000,-129.20000,6431.10000,14241.50000
2021-12-31,258.90000,774.00000,752.60000,240.10000,2025.60000,6338.00000,4559.40000,1043.30000,12367.40000,14393.00000,752.60000,5100.80000,727.30000,7102.79900,7855.40000,0.60000,3161.90000,-97.60000,6537.60000,14393.00000
2021-09-30,2383.10000,801.90000,717.50000,98.20000,4000.70000,5610.50000,3397.80000,359.40000,9785.50000,13786.20000,601.20000,5099.40000,542.20000,6826.80000,7428.00000,0.60000,3043.40000,-151.40000,6358.20000,13786.20000
2021-06-30,70.30000,722.00000,729.10000,94.90000,1616.30000,5549.00000,3324.60000,298.90000,9606.80000,11223.10000,758.00000,2627.20000,531.70000,4336.90000,5094.90000,0.60000,2827.20000,-153.00000,6128.20000,11223.10000
2021-03-31,354.80000,563.60000,690.00000,67.30000,1675.70000,5335.40000,2918.40000,288.90000,8983.60100,10659.30000,448.80000,2626.50000,480.60000,4283.80000,4732.60000,0.60000,2637.20000,-155.60000,5926.70000,10659.30000
2020-12-31,304.40000,575.10000,709.00000,79.80000,1668.30000,5242.30000,2922.00000,295.20000,8912.50000,10580.80000,499.30000,2625.80000,370.50000,4188.20000,4687.50000,0.60000,2607.70000,-158.40000,5893.30000,10580.80000
2020-09-30,193.70000,686.30000,714.50000,58.30000,1652.80000,5180.50000,2918.80000,214.10000,8782.60000,10435.40000,506.20000,2625.20000,362.40000,4170.30000,4676.50000,0.60000,2460.50000,-138.60000,5758.90000,10435.40000
2020-06-30,70.10000,690.40000,712.90000,113.70000,1587.10000,5160.50000,2878.50000,132.50000,8639.50000,10226.60000,595.30000,2624.50000,351.30000,4137.70000,4733.00000,0.60000,2201.70000,-142.20000,5493.60000,10226.60000
2020-03-31,424.00000,562.80000,700.50000,145.70000,1833.00000,5185.40000,2880.40000,126.70000,8670.40000,10503.40000,1075.60000,2623.90000,338.30000,4128.40000,5204.00000,0.60000,2018.60000,-145.40000,5299.40000,10503.40000
2019-12-31,21.00000,573.70000,690.80000,141.20000,1426.70000,5206.00000,2883.60000,133.40000,8704.90000,10131.60000,838.50000,2433.60000,339.30000,3939.80000,4778.30000,0.60000,2077.20000,-145.80000,5353.30000,10131.60000
2019-09-30,49.08700,763.87800,649.71600,115.71700,1578.39800,5132.14700,2888.57800,139.50900,8645.08700,10223.49000,688.98200,2732.81500,235.38000,4230.06500,4919.04700,0.62400,2021.64700,-134.76500,5304.43800,10223.49000
2019-06-30,53.59500,710.60500,646.34200,122.57900,1533.12100,5132.68200,2888.14400,122.35000,8630.53600,10163.66000,822.21600,2732.01800,233.70000,4244.17100,5066.38700,0.62300,1814.97400,-137.33400,5097.27000,10163.66000
2019-03-31,37.35700,550.60700,646.17600,135.97100,1370.11100,5146.68200,2895.67800,137.70300,8678.29700,10048.41000,757.63700,2801.22800,234.09800,4315.27400,5072.91100,0.62500,1705.71700,-140.32400,4975.49600,10048.41000
2018-12-31,44.90000,523.30000,663.00000,134.60000,1365.80000,5157.20000,2900.40000,128.00000,8185.60100,9551.40000,786.70000,2730.40000,379.30000,3815.30000,4602.00000,0.60000,1693.30000,-143.60000,4949.40000,9551.40000
2018-09-30,53.96100,644.83500,651.29500,104.71700,1454.80800,5103.39500,2908.41000,121.55800,8133.36300,9588.17100,772.68600,2829.65700,242.16500,3873.15700,4645.84300,0.62600,1669.12600,-121.49100,4942.32800,9588.17100
2018-06-30,33.77900,675.57000,650.91700,96.88700,1457.15300,5113.42600,2916.19100,109.98200,8139.59900,9596.75200,709.13300,2898.87600,238.83700,4032.14900,4741.28200,0.62900,1579.67400,-125.88300,4855.47000,9596.75200
2018-03-31,1422.37300,466.46500,606.79400,106.29800,2601.93000,3582.49400,2659.06600,104.56000,6346.12000,8948.05000,650.97900,2728.10200,227.06800,3617.24100,4268.22000,0.62800,1422.20700,-127.48500,4679.83000,8948.05000
2017-12-31,1446.36400,487.24000,600.59100,96.96500,2631.16000,3592.81300,2666.63900,101.89900,6361.35100,8992.51100,694.21600,2727.29400,233.75800,3615.81800,4310.03400,0.62800,1440.06900,-129.10400,4682.47700,8992.51100
2017-09-30,35.21900,582.53200,576.42900,83.80900,1277.98900,3521.57700,2664.64600,102.57300,6288.79600,7566.78500,468.50300,1642.50200,228.60400,2764.30000,3232.80300,0.62700,1090.77800,-122.92800,4333.98200,7566.78500
2017-06-30,36.72200,570.61800,549.86500,87.09200,1244.29700,3505.26000,2663.29900,103.00400,6271.56300,7515.86000,534.32500,1641.94400,221.73800,2781.00400,3315.32900,0.62700,967.05800,-125.90600,4200.53100,7515.86000
2017-03-31,55.41800,479.21500,537.00000,51.60900,1123.24200,3467.64500,2667.12700,135.77700,6270.54900,7393.79100,631.55800,1556.24600,210.30500,2686.27900,3317.83700,0.62600,851.35400,-128.42500,4075.95400,7393.79100
2016-12-31,50.03800,457.91000,521.62400,56.81300,1086.38500,3423.39500,2670.64900,120.47600,6214.52000,7300.90500,546.58800,1506.15300,194.46900,2611.72700,3158.31500,0.63000,935.57400,-130.68700,4142.59000,7300.90500
2016-09-30,60.68400,566.42500,508.19900,56.21700,1191.52500,3379.61300,2675.65500,126.40800,6181.67600,7373.20100,604.90900,1536.81000,196.78800,2609.89400,3214.80300,0.63300,932.67900,-104.51100,4158.39800,7373.20100
2016-06-30,28.59600,534.45900,504.87700,53.99700,1121.92900,3322.20500,2643.45900,145.71200,6111.37600,7233.30500,601.60400,1541.06200,197.80100,2615.20100,3216.80500,0.63300,800.02800,-106.06800,4016.50000,7233.30500
2016-03-31,27.24200,448.04800,485.36700,37.65800,998.31500,3262.98100,2654.71000,142.28100,6059.97200,7058.28700,492.13100,1575.32700,197.70000,2620.52000,3112.65100,0.63300,743.59300,-103.83300,3945.63600,7058.28700
2015-12-31,168.40900,410.92100,469.14100,33.16400,1081.63500,3156.00000,2578.78700,141.18900,5875.97600,6957.61100,366.65800,1550.06100,172.71800,2530.77600,2897.43400,0.64300,874.43600,-105.62200,4060.17700,6957.61100
2015-09-30,436.42900,577.42400,464.52500,37.42700,1515.80500,3073.53400,2577.05500,142.04000,5792.62900,7308.43400,574.85900,1553.76800,158.10600,2480.99500,3055.85400,0.66000,1079.76400,-112.74200,4252.58000,7308.43400
2015-06-30,44.16900,497.46800,479.85600,508.62900,1530.12200,3049.52300,2580.82600,99.92600,5730.27500,7260.39700,363.30100,1637.90500,154.36500,2586.66300,2949.96400,0.66800,1146.82100,-112.81400,4310.43300,7260.39700
2015-03-31,56.36600,381.38900,505.04700,103.02700,1045.82900,3365.10600,2663.42500,102.95900,6131.49000,7177.31900,343.02200,1562.19000,158.64100,2492.11400,2835.13600,0.67300,1190.80700,-106.72300,4342.18300,7177.31900
2014-12-31,108.65100,421.00100,484.91900,29.60700,1044.17800,3402.77000,2664.00400,108.80200,6175.57600,7219.75400,396.64800,1571.05900,160.02100,2470.35800,2867.00600,0.67100,1213.03500,-106.15900,4352.74800,7219.75400
2014-09-30,73.59700,523.92800,475.29300,49.84400,1212.79800,3377.95100,2642.54200,105.56700,6126.06000,7338.85800,436.99800,1603.94400,144.27500,2526.24700,2963.24500,0.67100,1176.12100,-43.28100,4375.61300,7338.85800
2014-06-30,34.32900,343.78400,348.16800,78.00700,876.70100,1775.37400,663.51700,40.45100,2479.34200,3356.04300,244.72500,1072.39700,113.98100,1544.31900,1789.04400,0.46300,1149.38800,-42.14100,1566.99900,3356.04300
2014-03-31,35.80100,242.58700,354.71800,51.78800,758.21400,1793.53600,664.36400,39.14300,2497.04300,3255.25700,193.75800,1055.54100,108.86200,1517.20600,1710.96400,0.46200,1108.51600,-42.74400,1544.29300,3255.25700
2013-12-31,42.43700,245.42100,347.30700,45.38000,755.36600,1799.24100,665.21200,40.00700,2504.46000,3259.82600,210.54900,1018.51800,97.35200,1474.35800,1684.90700,0.46100,1148.73800,-44.11400,1574.91900,3259.82600
2013-09-30,57.24100,331.03000,350.43800,29.95500,845.66900,1782.61800,665.66890,43.14900,2491.43600,3337.10500,226.43200,1107.19200,89.04500,1611.79000,1838.22200,0.46100,1131.27600,-102.71000,1498.88300,3337.10500
2013-06-30,43.71200,287.52100,348.87300,47.27500,806.48500,1717.38600,664.97090,42.27700,2424.63400,3231.11900,192.53300,1087.15000,90.41500,1597.91900,1790.45200,0.46100,1077.99800,-106.25700,1440.66700,3231.11900
2013-03-31,37.26000,202.15000,347.64100,49.19700,715.73300,1732.08700,665.89790,41.05700,2439.04200,3154.77500,168.69000,1072.85000,88.78200,1576.02800,1744.71800,0.45900,1055.25600,-104.94800,1410.05700,3154.77500
2012-12-31,25.39400,224.05000,332.31100,40.93000,700.40100,1753.24100,666.63700,40.64700,2460.52500,3160.92600,173.33500,1042.18300,86.39500,1537.29200,1710.62700,0.45900,1101.59800,-106.16900,1450.29900,3160.92600
2012-09-30,35.42100,296.94700,335.09200,37.88900,785.10700,1750.94100,667.31600,39.84000,2458.09700,3243.20400,217.10900,1092.11700,84.43700,1556.07400,1773.18300,0.45800,1098.52900,-77.48000,1470.02100,3243.20400
2012-06-30,41.39300,275.41600,331.98400,36.53800,760.33100,1753.77800,671.08700,41.33700,2466.20200,3226.53300,199.06600,1137.07600,90.37500,1610.66300,1809.72900,0.45700,1054.04800,-80.64000,1416.80400,3226.53300
2012-03-31,44.95000,212.05200,333.48700,32.45300,701.94400,1768.92800,669.95300,41.29200,2480.17300,3182.11700,185.37100,1127.17800,89.65600,1598.46400,1783.83500,0.45600,1035.73900,-81.99100,1398.28200,3182.11700
2011-12-31,26.02200,203.74800,322.60700,24.79900,657.85000,1774.29100,670.80400,44.87700,2489.97200,3147.82200,173.71200,1052.90200,92.17900,1525.24600,1698.95800,0.45600,1090.89100,-83.89000,1448.86400,3147.82200
2011-09-30,56.84000,259.77300,337.73000,20.11400,767.41600,1686.64100,657.25000,47.25100,2391.14200,3158.55800,197.74600,1038.33500,84.56700,1475.26100,1673.00700,0.45600,1094.46900,-49.56000,1485.55100,3158.55800
2011-06-30,26.09900,269.39000,336.36500,22.67300,745.56800,1697.77800,657.38100,48.19200,2403.35100,3148.91900,262.89800,978.95600,86.98600,1435.42200,1698.32000,0.45600,1063.73200,-49.31900,1450.59900,3148.91900
2011-03-31,176.82900,203.24200,331.67900,39.80600,840.36100,1676.32100,643.69300,48.23100,2368.24500,3208.60600,158.76200,1161.51800,83.40200,1615.09800,1773.86000,0.45500,1046.34600,-54.56400,1434.74600,3208.60600
2010-12-31,70.32300,183.36100,331.89400,27.25300,696.21100,1687.83000,644.07500,46.62700,2378.53200,3074.74300,385.49300,782.04500,82.57700,1220.99100,1606.48400,0.45500,1082.16000,-53.66000,1468.25900,3074.74300
2010-09-30,60.49900,249.61300,323.82000,26.59100,732.11600,1693.20600,641.78700,48.67400,2383.66700,3115.78300,426.83500,785.70600,84.59600,1231.72000,1658.55500,0.45400,1085.75000,-67.24900,1457.22800,3115.78300
2010-06-30,32.09500,257.76100,319.84200,26.01800,708.46600,1694.41700,642.50800,51.00100,2387.92600,3096.39200,414.62600,811.93800,97.34800,1264.96900,1679.59500,0.45400,1052.15900,-69.48800,1416.79700,3096.39200
2010-03-31,221.04300,202.10100,322.02700,36.61900,854.71100,1695.04500,643.08700,52.05900,2390.19100,3244.90200,395.34600,1029.60600,95.60200,1476.66100,1872.00700,0.45300,1016.15600,-70.52800,1372.89500,3244.90200
2009-12-31,263.59100,162.81500,332.56900,37.58200,856.86000,1692.90500,636.69300,52.82500,2382.42300,3239.28300,373.55300,1023.49200,79.52700,1459.31900,1832.87200,0.45300,1058.69800,-75.08400,1406.41100,3239.28300
2009-09-30,193.83500,241.52000,329.78100,21.55800,844.96600,1698.13900,637.11100,52.46500,2387.71500,3232.68100,394.78500,1038.87300,78.54300,1485.92000,1880.70500,0.44600,1080.08400,-89.26700,1351.97600,3232.68100
