,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1928.00000,3565.00000,3995.00000,787.00000,10275.00000,2970.00000,19765.00000,2464.00000,26609.00000,36884.00000,6303.00000,11857.00000,1467.00000,13965.00000,20268.00000,38.00000,14765.00000,-221.00000,16616.00000,36884.00000
2022-09-30,1497.00000,3103.00000,3883.00000,835.00000,9318.00000,2798.00000,20046.00000,2431.00000,26665.00000,35983.00000,4571.00000,12751.00000,1577.00000,14949.00000,19520.00000,38.00000,14486.00000,-89.00000,16463.00000,35983.00000
2022-06-30,1127.00000,3145.00000,3749.00000,804.00000,8825.00000,2803.00000,20360.00000,2419.00000,27207.00000,36032.00000,4404.00000,13374.00000,1793.00000,15954.00000,20358.00000,38.00000,13933.00000,-286.00000,15674.00000,36032.00000
2022-03-31,1530.00000,2991.00000,3525.00000,679.00000,8725.00000,2793.00000,20658.00000,2359.00000,27412.00000,36137.00000,4408.00000,13885.00000,1881.00000,16683.00000,21091.00000,38.00000,13540.00000,-479.00000,15046.00000,36137.00000
2021-12-31,3019.00000,3022.00000,3314.00000,662.00000,10017.00000,2833.00000,17758.00000,2263.00000,24614.00000,34631.00000,4549.00000,12472.00000,1820.00000,15205.00000,19754.00000,38.00000,13480.00000,-531.00000,14877.00000,34631.00000
2021-09-30,2639.00000,2817.00000,3434.00000,570.00000,9460.00000,2746.00000,17951.00000,2128.00000,24685.00000,34145.00000,4449.00000,12629.00000,1960.00000,15518.00000,19967.00000,38.00000,13081.00000,-816.00000,14178.00000,34145.00000
2021-06-30,2325.00000,2714.00000,3431.00000,562.00000,9032.00000,2738.00000,18063.00000,2114.00000,24666.00000,33698.00000,4252.00000,12734.00000,1965.00000,15626.00000,19878.00000,38.00000,12881.00000,-943.00000,13820.00000,33698.00000
2021-03-31,2312.00000,2616.00000,3473.00000,578.00000,8979.00000,2710.00000,18181.00000,2066.00000,24476.00000,33455.00000,3953.00000,13059.00000,1955.00000,16000.00000,19953.00000,38.00000,12525.00000,-867.00000,13502.00000,33455.00000
2020-12-31,3024.00000,2701.00000,3494.00000,488.00000,9707.00000,2752.00000,18332.00000,2009.00000,24623.00000,34330.00000,5041.00000,13230.00000,1985.00000,16205.00000,21246.00000,38.00000,12462.00000,-1157.00000,13084.00000,34330.00000
2020-09-30,7161.00000,2426.00000,3459.00000,499.00000,13545.00000,2529.00000,13045.00000,1540.00000,18741.00000,32286.00000,4689.00000,12008.00000,1604.00000,14611.00000,19300.00000,38.00000,12129.00000,-917.00000,12986.00000,32286.00000
2020-06-30,6619.00000,2203.00000,3442.00000,537.00000,12801.00000,2527.00000,13086.00000,1499.00000,18682.00000,31483.00000,4405.00000,11811.00000,1523.00000,14324.00000,18729.00000,38.00000,11725.00000,-715.00000,12754.00000,31483.00000
2020-03-31,4048.00000,2646.00000,3359.00000,683.00000,10736.00000,2607.00000,13132.00000,1428.00000,18704.00000,29440.00000,4162.00000,9404.00000,1733.00000,12163.00000,16325.00000,38.00000,12024.00000,-623.00000,13115.00000,29440.00000
2019-12-31,4425.00000,2893.00000,2980.00000,760.00000,11058.00000,2567.00000,13296.00000,1671.00000,19109.00000,30167.00000,4400.00000,10231.00000,1661.00000,12960.00000,17360.00000,37.00000,11748.00000,-606.00000,12807.00000,30167.00000
