,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,500.34000,4933.63700,4661.51600,300.51300,10396.01000,4562.43500,5488.09400,496.97800,11691.22000,22087.23000,8388.52100,10349.91000,1012.63400,12262.12000,20650.64000,765.17500,10649.34000,-1324.78800,1436.58900,22087.23000
2022-09-30,437.67000,5336.85700,4682.60900,310.13100,10767.27000,4462.60800,5340.86100,552.76500,11443.68000,22210.94000,8959.26400,10263.33000,971.19000,12136.34000,21095.60000,765.17500,10757.14000,-1711.32500,1115.34100,22210.94000
2022-06-30,867.08600,4874.84600,4437.49800,303.78900,10483.22000,4456.42000,5494.99800,550.15000,11602.47000,22085.69000,8750.05400,10066.93000,967.90700,11953.37000,20703.43000,765.17500,10539.72000,-1482.05400,1382.26000,22085.69000
2022-03-31,876.13900,4824.83300,4409.09400,303.21200,10413.28000,4345.09800,5746.65500,637.99500,11910.40000,22323.68000,8372.18700,10608.84000,1090.38600,12630.08000,21002.27000,765.17500,10279.79000,-1299.00400,1321.40900,22323.68000
2021-12-31,1374.27600,4320.84100,4115.68300,252.35100,10063.15000,4307.15600,5323.24000,621.30400,11363.61000,21426.76000,7593.56000,10593.39000,1166.19600,12612.13000,20205.69000,765.17500,10216.63000,-1236.25800,1221.07200,21426.76000
2021-09-30,2067.87300,4309.88300,4054.84400,255.58800,10688.19000,4343.26300,5330.32000,630.22700,11414.68000,22102.87000,7737.98200,10645.44000,1167.87500,12691.59000,20429.57000,765.17500,10288.29000,-1217.93700,1673.29200,22102.87000
2021-06-30,3007.12300,3790.26900,3695.21900,240.95600,10733.57000,4326.06300,4690.21200,602.01100,10679.97000,21413.54000,7319.84400,10588.18000,1136.48000,12540.80000,19860.64000,765.17500,10151.71000,-1148.76400,1552.89600,21413.54000
2021-03-31,4895.72300,3222.19300,3218.82700,250.02200,11586.76000,4297.86200,4702.07300,473.43300,10456.52000,22043.28000,7007.92900,11741.11000,1228.26500,13639.75000,20647.68000,765.17500,10241.67000,-1352.44600,1395.59700,22043.28000
2020-12-31,5767.03400,2900.04500,3100.47800,223.87200,11991.43000,4382.73700,4728.28500,471.22500,10498.42000,22489.85000,6716.54300,12463.28000,1235.93900,14346.51000,21063.05000,765.17500,10383.49000,-1388.16900,1426.79900,22489.85000
2020-09-30,5985.53200,3115.76000,3134.73200,197.07400,12433.10000,4404.59700,4570.75000,483.57200,10308.46000,22741.56000,7168.06700,12422.78000,1217.22700,14273.48000,21441.55000,765.17500,10546.60000,-1612.38600,1300.01100,22741.56000
