,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,11376.00000,10975.00000,2247.00000,24598.00000,33625.00000,6063.00000,1698.00000,44946.00000,69544.00000,17679.00000,17769.00000,3640.00000,34877.00000,52556.00000,9.00000,20177.00000,-3218.00000,16988.00000,69544.00000
2022-06-30,12071.00000,11396.00000,2104.00000,25571.00000,33487.00000,6151.00000,1286.00000,44518.00000,70089.00000,17337.00000,17997.00000,3563.00000,36442.00000,53779.00000,9.00000,18958.00000,-3251.00000,16310.00000,70089.00000
2022-03-31,12545.00000,11199.00000,1857.00000,25601.00000,33595.00000,6133.00000,1130.00000,44512.00000,70113.00000,16842.00000,19740.00000,3568.00000,37837.00000,54679.00000,9.00000,17433.00000,-3257.00000,15434.00000,70113.00000
2021-12-31,10593.00000,12541.00000,1800.00000,24934.00000,33475.00000,6178.00000,1080.00000,44471.00000,69405.00000,17569.00000,19784.00000,3578.00000,37567.00000,55136.00000,9.00000,16179.00000,-3278.00000,14269.00000,69405.00000
2021-09-30,10560.00000,10474.00000,1809.00000,22843.00000,32859.00000,5556.00000,840.00000,42896.00000,65739.00000,15472.00000,20838.00000,3987.00000,38210.00000,53682.00000,9.00000,13973.00000,-3029.00000,12057.00000,65739.00000
2021-06-30,9954.00000,10137.00000,1897.00000,21988.00000,32631.00000,5595.00000,900.00000,42881.00000,64869.00000,15770.00000,21027.00000,3953.00000,38277.00000,54047.00000,9.00000,12531.00000,-3064.00000,10822.00000,64869.00000
2021-03-31,8082.00000,10127.00000,2776.00000,20985.00000,32455.00000,5614.00000,971.00000,42327.00000,63312.00000,16306.00000,21916.00000,3816.00000,39847.00000,56153.00000,9.00000,10748.00000,-4659.00000,7159.00000,63312.00000
2020-12-31,6316.00000,10750.00000,3150.00000,20216.00000,32254.00000,5641.00000,697.00000,42192.00000,62408.00000,17016.00000,22031.00000,3847.00000,44723.00000,61739.00000,9.00000,6896.00000,-7113.00000,669.00000,62408.00000
2020-09-30,9241.00000,8993.00000,1696.00000,19930.00000,32164.00000,6105.00000,908.00000,42476.00000,62406.00000,15456.00000,23336.00000,3760.00000,41344.00000,56800.00000,9.00000,11115.00000,-6022.00000,5606.00000,62406.00000
2020-06-30,9216.00000,9230.00000,1780.00000,20226.00000,31439.00000,5994.00000,1123.00000,41831.00000,62057.00000,16271.00000,23199.00000,3276.00000,41410.00000,57681.00000,9.00000,10032.00000,-5933.00000,4376.00000,62057.00000
2020-03-31,9460.00000,8126.00000,1803.00000,19389.00000,30908.00000,5952.00000,1306.00000,41506.00000,60895.00000,15846.00000,24196.00000,2783.00000,41736.00000,57582.00000,9.00000,9137.00000,-5876.00000,3313.00000,60895.00000
2019-12-31,5741.00000,9552.00000,1810.00000,17103.00000,30482.00000,5980.00000,1106.00000,40754.00000,57857.00000,15413.00000,21818.00000,2719.00000,39161.00000,54574.00000,9.00000,9105.00000,-5997.00000,3283.00000,57857.00000
