,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,1422.21300,773.73700,2195.95000,9811.64200,142.11600,3960.44700,14294.43000,17175.67000,475.15100,8390.93800,403.33500,9277.57400,10484.40000,7.65200,-3299.63000,185.17800,6691.27400,17175.67000
2022-06-30,1610.36300,764.55100,2374.91400,9848.97700,144.59700,3719.48700,14091.54000,17152.42000,463.33300,8392.73000,411.89400,9310.63300,10501.61000,7.65000,-3205.75100,73.30000,6650.81300,17152.42000
2022-03-31,1786.61500,760.75300,2547.36800,9914.26300,149.61300,3804.75100,14257.35000,17492.36000,541.82500,8614.06900,427.90400,9789.13500,11054.39000,7.64900,-3154.54900,51.77600,6437.97000,17492.36000
2021-12-31,1930.35100,735.97900,2666.33000,9841.49800,154.89500,3874.97500,14263.06000,17266.59000,613.49700,8615.94600,463.01700,9767.64600,10751.35000,7.64800,-3079.32000,-17.53400,6515.23800,17266.59000
2021-09-30,2268.19700,745.74300,3013.94000,9610.59500,158.43800,3982.42400,14137.73000,17488.80000,449.76800,8631.74100,463.87000,10086.30000,10908.97000,7.64600,-2988.99900,-45.17900,6579.82500,17488.80000
2021-06-30,2317.33700,723.84600,3041.18300,9002.13300,21.34700,3856.74200,13250.39000,16656.79000,399.49700,8109.75300,428.95800,9288.39500,10088.48000,7.64100,-2925.16100,-51.43700,6568.31700,16656.79000
2021-03-31,1755.61000,743.38900,2498.99900,8986.99200,22.39000,3895.68900,13280.21000,16145.14000,432.03500,7392.53800,431.77500,8558.94300,9391.95200,7.63800,-2871.68100,-60.75300,6753.18500,16145.14000
2020-12-31,1730.36900,751.73300,2482.10200,8918.49700,23.85600,4057.08300,13372.36000,16221.82000,427.20200,7398.99600,440.19400,8445.45700,9273.66700,7.63300,-2774.18200,-75.09900,6948.15500,16221.82000
2020-09-30,1490.33800,781.43200,2271.77000,10305.42000,25.74600,4200.06300,14916.32000,17562.90000,430.44600,7457.13200,1670.23800,9821.12100,10677.21000,7.62900,-2463.63500,-89.83400,6885.68500,17562.90000
2020-06-30,1863.34100,811.20400,2674.54500,10214.46000,27.66000,4400.34700,14990.94000,18042.45000,385.95600,7955.86700,1626.74000,10301.52000,11113.54000,7.62500,-2415.50000,-82.64600,6928.90900,18042.45000
2020-03-31,1667.30800,847.60200,2514.91000,10118.65000,29.12300,4815.25100,15316.49000,18209.66000,407.59800,7960.75700,1426.76200,10011.32000,10916.45000,7.62400,-2091.61200,-82.71900,7293.21200,18209.66000
2019-12-31,1607.13100,837.93900,2445.07000,10058.05000,30.96500,5019.39200,15462.40000,18287.01000,440.04900,7406.60900,1742.20800,10037.73000,10976.04000,7.61800,-1954.26600,-40.23300,7310.97800,18287.01000
2019-09-30,1245.55600,843.14500,2088.70100,10264.59000,30.77300,5100.81800,15756.79000,18216.10000,453.33100,7487.14800,1220.05300,9561.53300,10505.84000,7.61300,-1649.03500,-47.35900,7710.25600,18216.10000
2019-06-30,1076.91000,834.35100,1911.26100,10148.19000,32.47800,5084.20600,15622.38000,17913.86000,392.58100,7527.60400,1152.45500,9542.12100,10417.71000,7.61100,-1845.99500,-38.06600,7496.14400,17913.86000
2019-03-31,900.80600,840.03800,1740.84400,10213.21000,34.16100,4846.83200,15439.45000,17637.96000,442.49600,8639.52600,2113.78300,11620.39000,12547.06000,7.60900,-4120.26500,-11.38500,5090.89200,17637.96000
2018-12-31,716.90500,1008.45300,1725.35800,13057.71000,136.78100,1860.63400,15455.44000,17180.79000,430.97600,9836.62100,1021.75200,11641.93000,12072.91000,7.60000,-4167.18400,7.66400,5107.88300,17180.79000
2018-09-30,919.81000,1007.09000,1926.90000,11966.79000,139.99400,2200.91300,14751.12000,16678.02000,415.53100,9792.65900,507.53400,11224.98000,11640.51000,7.58900,-4135.60200,34.17300,5037.50900,16678.02000
2018-06-30,1211.95900,1002.38700,2214.34600,12012.42000,146.37000,2049.03300,14651.74000,16866.08000,394.07900,9781.52900,808.63300,11528.42000,11922.49000,7.58700,-4206.38100,33.35100,4943.58700,16866.08000
2018-03-31,1418.06800,998.92200,2416.99000,11963.35000,152.83400,1925.82100,14447.49000,16864.48000,431.09400,9774.47800,775.83200,11408.51000,11839.61000,7.58400,-4198.08800,30.25800,5024.87800,16864.48000
2017-12-31,1914.81200,985.41100,2900.22300,11871.01000,159.26000,2063.94700,14497.71000,17397.93000,415.79400,9729.48700,804.50100,11974.44000,12390.23000,7.57700,-4183.25300,128.68200,5007.70100,17397.93000
2017-09-30,1385.78300,972.59600,2358.37900,11777.54000,166.19800,2183.65700,14483.74000,16842.12000,412.10000,9351.60200,816.54000,11142.45000,11554.55000,7.57100,-4098.12700,121.80100,5287.57300,16842.12000
