,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,541.00000,1519.00000,2034.00000,233.00000,4327.00000,1429.00000,11910.00000,850.00000,14189.00000,18516.00000,3467.00000,3751.00000,768.00000,4902.00000,8369.00000,2.00000,4577.00000,-661.00000,10147.00000,18516.00000
2022-09-30,514.00000,1462.00000,2023.00000,200.00000,4199.00000,1402.00000,11771.00000,890.00000,14063.00000,18262.00000,3328.00000,3824.00000,835.00000,5009.00000,8337.00000,2.00000,4447.00000,-808.00000,9925.00000,18262.00000
2022-06-30,501.00000,1422.00000,1918.00000,205.00000,4046.00000,1428.00000,11990.00000,869.00000,14287.00000,18333.00000,3190.00000,3987.00000,852.00000,5196.00000,8386.00000,2.00000,4314.00000,-641.00000,9947.00000,18333.00000
2022-03-31,488.00000,1382.00000,1828.00000,213.00000,3911.00000,1468.00000,12199.00000,860.00000,14527.00000,18438.00000,2880.00000,4225.00000,869.00000,5470.00000,8350.00000,2.00000,4176.00000,-449.00000,10088.00000,18438.00000
2021-12-31,473.00000,1477.00000,1689.00000,193.00000,3832.00000,1497.00000,12292.00000,833.00000,14622.00000,18454.00000,2910.00000,4056.00000,884.00000,5305.00000,8215.00000,2.00000,4055.00000,-466.00000,10239.00000,18454.00000
2021-09-30,456.40000,1367.00000,1689.60000,247.10000,3760.10000,1509.00000,12384.50000,698.30000,14591.80000,18351.90000,2811.60000,4067.20000,993.00000,5349.10000,8160.70000,2.00000,3887.80000,-432.60000,10191.20000,18351.90000
2021-06-30,453.50000,1452.60000,1661.20000,240.90000,3808.20000,1544.30000,12529.20000,630.70000,14704.20000,18512.40000,2844.70000,4079.60000,958.10000,5339.90000,8184.60000,2.00000,3780.10000,-375.80000,10327.80000,18512.40000
2021-03-31,483.50000,1403.00000,1671.50000,221.00000,3779.00000,1575.50000,12552.90000,635.80000,14764.20000,18543.20000,3168.90000,3923.30000,977.50000,5197.20000,8366.10000,2.00000,3678.30000,-409.00000,10177.10000,18543.20000
2020-12-31,599.00000,1412.00000,1642.00000,227.00000,3880.00000,1601.00000,12354.00000,619.00000,14574.00000,18454.00000,3226.00000,3792.00000,1001.00000,5075.00000,8301.00000,2.00000,3589.00000,-339.00000,10153.00000,18454.00000
2020-09-30,559.30000,1433.50000,1779.70000,163.70000,3936.20000,1603.70000,12255.70000,648.80000,14508.20000,18444.40000,3228.60000,3799.90000,1094.30000,5163.40000,8392.00000,2.00000,3524.20000,-482.20000,10052.40000,18444.40000
2020-06-30,587.90000,1410.30000,1799.50000,172.00000,3969.70000,1612.40000,12245.30000,638.00000,14495.70000,18465.40000,3483.20000,3768.70000,1070.70000,5101.60000,8584.80000,2.00000,3419.00000,-537.80000,9880.60000,18465.40000
2020-03-31,615.90000,1672.00000,1785.70000,167.50000,4241.10000,1623.00000,12283.70000,625.30000,14532.00000,18773.10000,2981.60000,4655.10000,1078.10000,5993.80000,8975.40000,2.00000,3355.60000,-560.60000,9797.70000,18773.10000
2019-12-31,604.20000,1663.90000,1773.10000,150.90000,4192.10000,1655.80000,12464.60000,631.70000,14752.10000,18944.20000,3258.00000,4333.60000,1100.70000,5692.60000,8950.60000,2.00000,3267.00000,-382.60000,9993.60000,18944.20000
2019-09-30,587.40000,1673.30000,1957.30000,192.40000,4410.40000,1622.70000,12310.20000,557.60000,14490.50000,18900.90000,3198.90000,4633.50000,1173.90000,5972.60000,9171.50000,2.00000,3154.80000,-468.60000,9729.40000,18900.90000
2019-06-30,461.37100,1707.40900,1881.79100,178.56900,4229.14000,1646.09700,12515.03000,552.32900,14713.45000,18942.59000,3211.31500,4528.76800,1101.86700,5896.12100,9107.43600,1.98100,3087.46800,-289.18000,9835.15700,18942.59000
2019-03-31,512.87000,1726.82400,1947.22000,194.22300,4381.13700,1634.96600,12506.49000,555.30800,14696.77000,19077.90000,3254.43500,4641.28600,1129.08900,6043.02400,9297.45900,1.98100,3005.80900,-309.00000,9780.44600,19077.90000
2018-12-31,2342.30000,1146.80000,844.90000,115.60000,4449.60000,563.80000,3526.40000,109.40000,4199.60000,8649.20000,1646.60000,3792.80000,47.00000,4133.50000,5780.10000,1.30000,3022.00000,-256.60000,2869.10000,8649.20000
2018-09-30,2135.38100,1240.52100,866.20500,111.44100,4353.54800,557.42300,3569.97800,72.27700,4199.67800,8553.22600,1530.29300,3818.06100,45.66100,4112.58100,5642.87400,1.32300,2999.13900,-205.73300,2910.35200,8553.22600
2018-06-30,245.57400,1213.23400,863.79300,124.28600,2446.88700,555.83400,3602.99100,71.89400,4230.71900,6677.60600,1606.46800,1857.80600,84.35100,2196.51000,3802.97800,1.32300,2922.98600,-156.20100,2874.62800,6677.60600
2018-03-31,249.88600,1268.69700,829.27600,117.95500,2465.81400,573.40100,3760.54600,76.02000,4409.96700,6875.78100,1648.04800,1871.07600,80.09200,2239.50400,3887.55200,1.32300,2850.13500,34.01600,2988.22900,6875.78100
2017-12-31,233.40100,1166.78700,742.63400,122.29100,2265.11300,573.97200,3664.53500,76.36000,4314.86700,6579.98000,1573.33000,1823.30300,75.17900,2178.11800,3751.44800,1.32300,2773.30000,-44.99200,2828.53200,6579.98000
2017-09-30,228.08000,1144.33900,764.78100,139.92500,2277.12500,550.36700,3525.14500,97.01300,4172.52500,6449.65000,1465.44000,1824.15600,32.94600,2247.84100,3713.28100,1.32300,2735.87600,-91.93000,2736.36900,6449.65000
2017-06-30,328.52200,1128.99100,746.23600,141.06000,2344.80900,547.84200,3472.97300,73.11600,4093.93100,6438.74000,1482.09900,1934.60400,37.35900,2372.27000,3854.36900,1.32300,2679.99500,-184.55000,2584.37100,6438.74000
2017-03-31,280.17900,1051.54200,703.88100,130.63100,2166.23300,524.05900,3277.61500,62.99200,3864.66600,6030.89900,1471.40700,1782.62400,39.75200,2190.72400,3662.13100,1.32300,2617.57500,-331.65200,2368.76800,6030.89900
2016-12-31,398.48400,942.50800,658.51000,868.12900,2867.63100,518.37600,3132.62500,62.38600,3713.38700,6581.01800,1446.63900,1762.96700,38.31000,2157.55400,3604.19300,1.32300,2553.25800,-379.60500,2976.82500,6581.01800
2016-09-30,250.38200,624.22600,495.99800,248.78500,1695.13200,357.97000,1334.31600,40.73900,1733.02500,3428.15700,624.93500,819.77000,40.45200,1072.73100,1697.66600,1.32300,2524.35400,-286.05500,1730.49100,3428.15700
