,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,117.00000,1196.00000,870.00000,383.00000,2524.00000,5090.00000,47287.00000,510.00000,53730.00000,59975.00000,4903.00000,23309.00000,9315.00000,38688.00000,43591.00000,1368.00000,7128.00000,-91.00000,16384.00000,59975.00000
2022-06-30,335.00000,1084.00000,645.00000,367.00000,2411.00000,4842.00000,46535.00000,544.00000,53273.00000,59317.00000,4865.00000,23205.00000,9211.00000,38481.00000,43346.00000,1367.00000,6747.00000,-103.00000,15971.00000,59317.00000
2022-03-31,90.00000,1190.00000,505.00000,347.00000,1890.00000,4022.00000,45837.00000,554.00000,52724.00000,57985.00000,5352.00000,21534.00000,9137.00000,36901.00000,42253.00000,1361.00000,6686.00000,-116.00000,15732.00000,57985.00000
2021-12-31,166.00000,1018.00000,631.00000,333.00000,2091.00000,4239.00000,45457.00000,498.00000,52321.00000,57851.00000,5046.00000,21779.00000,9015.00000,37193.00000,42239.00000,1360.00000,6572.00000,-123.00000,15612.00000,57851.00000
2021-09-30,631.00000,1022.00000,587.00000,290.00000,1957.00000,4487.00000,44730.00000,411.00000,51688.00000,57517.00000,5764.00000,20979.00000,8988.00000,36582.00000,42346.00000,1346.00000,6508.00000,-126.00000,15171.00000,57517.00000
2021-06-30,538.00000,948.00000,500.00000,273.00000,1888.00000,4147.00000,44141.00000,487.00000,51242.00000,56779.00000,4950.00000,21476.00000,8997.00000,37037.00000,41987.00000,1346.00000,6146.00000,-135.00000,14792.00000,56779.00000
2021-03-31,1039.00000,959.00000,469.00000,285.00000,1563.00000,4315.00000,43582.00000,468.00000,50756.00000,56511.00000,4877.00000,21470.00000,8896.00000,36934.00000,41811.00000,1345.00000,6082.00000,-138.00000,14700.00000,56511.00000
2020-12-31,129.00000,916.00000,535.00000,292.00000,1403.00000,3275.00000,42950.00000,409.00000,49192.00000,53957.00000,4239.00000,19645.00000,8697.00000,35143.00000,39382.00000,1344.00000,5968.00000,-141.00000,14575.00000,53957.00000
2020-09-30,885.00000,899.00000,512.00000,310.00000,1231.00000,3837.00000,42227.00000,379.00000,48337.00000,53708.00000,4393.00000,19960.00000,8790.00000,35538.00000,39931.00000,1314.00000,5912.00000,-143.00000,13777.00000,53708.00000
2020-06-30,1625.00000,799.00000,487.00000,281.00000,1198.00000,4390.00000,41124.00000,1057.00000,47837.00000,53456.00000,5473.00000,19463.00000,8758.00000,34598.00000,40071.00000,1313.00000,5538.00000,-145.00000,13385.00000,53456.00000
2020-03-31,244.00000,839.00000,488.00000,298.00000,1114.00000,2983.00000,40776.00000,555.00000,46890.00000,51133.00000,5839.00000,17010.00000,8657.00000,31992.00000,37831.00000,1313.00000,5478.00000,-148.00000,13302.00000,51133.00000
2019-12-31,248.00000,837.00000,544.00000,228.00000,1256.00000,3113.00000,39483.00000,514.00000,45663.00000,50448.00000,4568.00000,17407.00000,8342.00000,32641.00000,37209.00000,1311.00000,5413.00000,-141.00000,13239.00000,50448.00000
2019-09-30,864.00000,821.00000,544.00000,232.00000,1139.00000,3600.00000,38703.00000,500.00000,44922.00000,50240.00000,5021.00000,16819.00000,8328.00000,32078.00000,37099.00000,1311.00000,5336.00000,-142.00000,13141.00000,50240.00000
2019-06-30,353.00000,737.00000,483.00000,216.00000,1150.00000,2939.00000,37651.00000,513.00000,43882.00000,48584.00000,5060.00000,15996.00000,8295.00000,31158.00000,36218.00000,1287.00000,5024.00000,-135.00000,12366.00000,48584.00000
2019-03-31,94.00000,974.00000,445.00000,266.00000,1130.00000,2909.00000,37114.00000,524.00000,43322.00000,47850.00000,4424.00000,16118.00000,8305.00000,31097.00000,35521.00000,1287.00000,4996.00000,-127.00000,12329.00000,47850.00000
2018-12-31,147.00000,860.00000,548.00000,233.00000,1306.00000,3094.00000,36944.00000,306.00000,42893.00000,45987.00000,4460.00000,15803.00000,8289.00000,29305.00000,33765.00000,1285.00000,4893.00000,-124.00000,12222.00000,45987.00000
2018-09-30,213.00000,856.00000,528.00000,228.00000,1178.00000,3003.00000,35879.00000,314.00000,41832.00000,44835.00000,3838.00000,15508.00000,8242.00000,28832.00000,32670.00000,1283.00000,4876.00000,-119.00000,12165.00000,44835.00000
2018-06-30,332.00000,808.00000,511.00000,242.00000,1163.00000,3056.00000,35289.00000,320.00000,41184.00000,44240.00000,4178.00000,15311.00000,8188.00000,28412.00000,32590.00000,1272.00000,4580.00000,-122.00000,11650.00000,44240.00000
2018-03-31,116.00000,868.00000,492.00000,251.00000,1055.00000,2782.00000,34679.00000,329.00000,40377.00000,43159.00000,4122.00000,14522.00000,8108.00000,27476.00000,31598.00000,1272.00000,4510.00000,-124.00000,11561.00000,43159.00000
2017-12-31,83.00000,797.00000,610.00000,251.00000,1232.00000,2973.00000,34329.00000,326.00000,40057.00000,43030.00000,4088.00000,14520.00000,8022.00000,27487.00000,31575.00000,1269.00000,4413.00000,-125.00000,11455.00000,43030.00000
2017-09-30,167.84100,807.62100,616.67500,198.90800,1107.82900,2898.87400,33949.95000,308.24100,39569.92000,42468.79000,3340.40600,14572.97000,4708.93800,27689.01000,31029.42000,1269.40700,4386.05000,-104.80900,11439.38000,42468.79000
2017-06-30,61.38200,759.37800,542.04400,331.74000,1062.00600,2756.55000,33543.84000,305.88000,39104.44000,41860.99000,3690.70400,14091.83000,4788.31700,27047.13000,30737.83000,1269.40700,4079.06800,-106.79500,11123.16000,41860.99000
2017-03-31,73.98500,781.24800,519.08100,322.20100,936.63900,2633.15400,33158.38000,296.03200,38652.18000,41285.34000,3707.97600,13696.46000,4784.91200,26507.25000,30215.23000,1269.40700,4036.35200,-108.58100,11070.11000,41285.34000
