,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,4082.00000,1233.00000,-420.00000,813.00000,-93.00000,-1.00000,-4.00000,-84.00000,121.00000,4943.00000,-1807.00000,187.00000,,,,109.00000,-1511.00000,-1469.00000,-1469.00000,-1423.00000,-1423.00000,-569.00000,-28.00000,-3489.00000,-57.00000,-569.00000
2021-12-31,1313.00000,1360.00000,758.00000,2118.00000,-386.00000,-9.00000,245.00000,60.00000,37.00000,3496.00000,-1110.00000,256.00000,,,,21.00000,-833.00000,-1370.00000,-1370.00000,-847.00000,-847.00000,-331.00000,-75.00000,-2623.00000,40.00000,-331.00000
2020-12-31,-4904.00000,1772.00000,4604.00000,6376.00000,149.00000,19.00000,-167.00000,-24.00000,-186.00000,1388.00000,-1274.00000,166.00000,,,,-358.00000,-1466.00000,373.00000,373.00000,1.00000,1.00000,-214.00000,-67.00000,93.00000,15.00000,-214.00000
2019-12-31,-3682.00000,2680.00000,3872.00000,6552.00000,133.00000,-41.00000,-5.00000,-6.00000,-3.00000,2867.00000,-2243.00000,,,,,-1203.00000,-3446.00000,235.00000,235.00000,2.00000,2.00000,-681.00000,556.00000,112.00000,-467.00000,-681.00000
2018-12-31,286.00000,2405.00000,841.00000,3246.00000,150.00000,-6.00000,77.00000,19.00000,245.00000,3777.00000,-3766.00000,,,,,-178.00000,-3944.00000,-378.00000,-378.00000,-305.00000,-305.00000,-727.00000,623.00000,-787.00000,-954.00000,-727.00000
2017-12-31,1503.00000,2280.00000,-1239.00000,1041.00000,-270.00000,32.00000,63.00000,-149.00000,-320.00000,2428.00000,-2002.00000,661.00000,,,,-75.00000,-1416.00000,-70.00000,-70.00000,,,-645.00000,-6.00000,-721.00000,291.00000,-645.00000
2016-12-31,-1273.00000,2618.00000,769.00000,3387.00000,126.00000,-27.00000,-63.00000,126.00000,153.00000,2430.00000,-1815.00000,,,,,155.00000,-1660.00000,-181.00000,-181.00000,,,-672.00000,-7.00000,-860.00000,-90.00000,-672.00000
2015-12-31,-10667.00000,3300.00000,10107.00000,13407.00000,663.00000,21.00000,-489.00000,-119.00000,-80.00000,2667.00000,-4540.00000,854.00000,,391.00000,391.00000,4378.00000,1083.00000,-2509.00000,-2509.00000,,,-506.00000,53.00000,-2962.00000,788.00000,-506.00000
2014-12-31,-8019.00000,4526.00000,12010.00000,16536.00000,757.00000,-31.00000,-216.00000,-267.00000,-329.00000,7957.00000,-10494.00000,1262.00000,,,,842.00000,-8390.00000,1568.00000,1568.00000,-1864.00000,-1864.00000,-505.00000,7.00000,-794.00000,-1227.00000,-505.00000
2013-12-31,2288.00000,5866.00000,1362.00000,7228.00000,105.00000,-65.00000,286.00000,160.00000,19.00000,9835.00000,-9249.00000,4098.00000,,,,-1965.00000,-7116.00000,-2581.00000,-2581.00000,-997.00000,-997.00000,-360.00000,2965.00000,-973.00000,1746.00000,-360.00000
2012-12-31,2001.00000,6881.00000,1091.00000,7972.00000,28.00000,-60.00000,-84.00000,-443.00000,-1692.00000,8504.00000,-9437.00000,-3105.00000,,,,-882.00000,-13424.00000,5089.00000,5089.00000,,,-332.00000,28.00000,4785.00000,-135.00000,-332.00000
2011-12-31,4584.00000,4204.00000,1400.00000,5604.00000,-759.00000,-37.00000,241.00000,184.00000,-281.00000,9953.00000,-6656.00000,-1813.00000,,,,-176.00000,-8645.00000,-925.00000,-925.00000,,,-306.00000,84.00000,-1147.00000,161.00000,-306.00000
2010-12-31,3032.00000,3083.00000,1063.00000,4146.00000,-496.00000,35.00000,214.00000,-86.00000,-642.00000,6726.00000,-4922.00000,-8360.00000,,,,-121.00000,-13403.00000,1415.00000,1415.00000,2258.00000,3485.00000,-226.00000,89.00000,4763.00000,-1914.00000,-226.00000
2009-12-31,-285.00000,5213.00000,-126.00000,5087.00000,-187.00000,-5.00000,-180.00000,-59.00000,-761.00000,4224.00000,-3629.00000,-310.00000,792.00000,,792.00000,-100.00000,-3247.00000,148.00000,148.00000,28.00000,-70.00000,-209.00000,21.00000,-110.00000,867.00000,-202.00000
