,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,590.00000,771.00000,329.00000,1100.00000,-497.00000,-258.00000,137.00000,73.00000,-403.00000,1263.00000,-840.00000,-42.00000,-4310.00000,,3.00000,3.00000,7.00000,-5182.00000,-4.00000,2471.00000,2467.00000,,,-72.00000,-36.00000,2359.00000,-1584.00000,86.00000,-9.00000
2021-12-31,609.00000,781.00000,343.00000,1124.00000,37.00000,-710.00000,265.00000,35.00000,-483.00000,1222.00000,-602.00000,-2.00000,-130.00000,,22.00000,22.00000,-17.00000,-729.00000,-1487.00000,1428.00000,-59.00000,,,-63.00000,-69.00000,-191.00000,286.00000,87.00000,
2020-12-31,1822.00000,773.00000,-1304.00000,-531.00000,-243.00000,-8.00000,186.00000,47.00000,155.00000,1413.00000,-574.00000,-2.00000,-49.00000,,,,-1.00000,-626.00000,-57.00000,-372.00000,-429.00000,1058.00000,2173.00000,-98.00000,-33.00000,1613.00000,2424.00000,60.00000,-66.00000
2019-12-31,1009.00000,723.00000,105.00000,828.00000,-74.00000,8.00000,133.00000,-233.00000,-175.00000,1624.00000,-767.00000,-10.00000,-334.00000,,,,,-1111.00000,-679.00000,721.00000,42.00000,-420.00000,-420.00000,-237.00000,-34.00000,-649.00000,-139.00000,66.00000,-237.00000
2018-12-31,1107.00000,683.00000,28.00000,711.00000,55.00000,-120.00000,62.00000,-212.00000,-142.00000,1628.00000,-833.00000,-16.00000,-1197.00000,,,,-2.00000,-2048.00000,-13.00000,268.00000,255.00000,-499.00000,-499.00000,-263.00000,-48.00000,-555.00000,-1029.00000,58.00000,-263.00000
2017-12-31,1428.00000,553.00000,65.00000,618.00000,-287.00000,-224.00000,268.00000,-223.00000,-538.00000,1468.00000,-691.00000,-50.00000,-324.00000,,,,-187.00000,-1252.00000,794.00000,-15.00000,779.00000,-383.00000,-383.00000,-348.00000,408.00000,456.00000,758.00000,62.00000,-348.00000
2016-12-31,1326.00000,498.00000,-53.00000,445.00000,-207.00000,-45.00000,35.00000,51.00000,274.00000,1941.00000,-638.00000,-3.00000,230.00000,,,,-167.00000,-578.00000,-10.00000,-34.00000,-44.00000,-634.00000,-634.00000,-359.00000,-44.00000,-1081.00000,259.00000,62.00000,-359.00000
2015-12-31,1535.00000,355.00000,23.00000,378.00000,-183.00000,-14.00000,142.00000,-17.00000,-173.00000,1703.00000,-496.00000,-3.00000,-930.00000,,,,-270.00000,-1699.00000,1497.00000,-214.00000,1283.00000,-1159.00000,-1159.00000,-349.00000,-59.00000,-284.00000,-325.00000,67.00000,-349.00000
2014-12-31,1440.00000,549.00000,178.00000,727.00000,67.00000,21.00000,-6.00000,40.00000,78.00000,2135.00000,-764.00000,-5.00000,-345.00000,2.00000,,2.00000,-74.00000,-1186.00000,1.00000,7.00000,8.00000,-1024.00000,-1024.00000,-374.00000,-8.00000,-1398.00000,-485.00000,73.00000,-374.00000
2013-12-31,1301.00000,510.00000,122.00000,632.00000,-213.00000,-26.00000,237.00000,-97.00000,-74.00000,1750.00000,-572.00000,,-10.00000,5.00000,,5.00000,-78.00000,-655.00000,-565.00000,480.00000,-85.00000,-457.00000,-457.00000,-266.00000,-14.00000,-822.00000,284.00000,46.00000,-266.00000
2012-12-31,1160.00000,503.00000,84.00000,587.00000,198.00000,49.00000,-153.00000,-96.00000,-200.00000,1478.00000,-685.00000,,-996.00000,1.00000,,1.00000,49.00000,-1631.00000,-5.00000,350.00000,345.00000,-403.00000,-403.00000,-47.00000,,-105.00000,-258.00000,21.00000,-47.00000
2011-12-31,1223.00000,485.00000,-35.00000,450.00000,-149.00000,-64.00000,98.00000,-25.00000,-137.00000,1377.00000,-558.00000,,-17.00000,588.00000,,588.00000,-23.00000,-10.00000,-571.00000,2260.00000,1689.00000,,,-136.00000,-4747.00000,-3194.00000,-1856.00000,14.00000,-136.00000
2010-12-31,703.00000,421.00000,-36.00000,385.00000,-184.00000,-130.00000,354.00000,42.00000,170.00000,1142.00000,-407.00000,,,-501.00000,,-501.00000,-3.00000,-911.00000,-50.00000,-49.00000,-99.00000,,,-27.00000,,-126.00000,112.00000,5.00000,-27.00000
2009-12-31,9344.00000,679.00000,-10201.00000,-9522.00000,37.00000,189.00000,154.00000,404.00000,337.00000,-98.00000,-299.00000,,,170.00000,,170.00000,-38.00000,-167.00000,41.00000,341.00000,382.00000,,,-13.00000,2008.00000,2377.00000,2148.00000,0.00000,-13.00000
