,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-10-31,11495.00000,4984.00000,1911.00000,6895.00000,-870.00000,-627.00000,-79.00000,-214.00000,-1654.00000,16736.00000,-424.00000,,-246.00000,,,3.00000,-667.00000,-426.00000,-426.00000,-8341.00000,-8341.00000,-7032.00000,-17.00000,-15816.00000,253.00000,1533.00000,-7032.00000
2021-10-31,6736.00000,6041.00000,1114.00000,7155.00000,210.00000,-294.00000,243.00000,-472.00000,-127.00000,13764.00000,-443.00000,,37.00000,169.00000,169.00000,-8.00000,-245.00000,-1591.00000,-1591.00000,-1129.00000,-1129.00000,-6212.00000,-42.00000,-8974.00000,4545.00000,1704.00000,-6212.00000
2020-10-31,2960.00000,6905.00000,1103.00000,8008.00000,981.00000,-31.00000,-3.00000,-71.00000,1093.00000,12061.00000,-463.00000,,-10654.00000,,,8.00000,-11109.00000,7703.00000,7703.00000,-489.00000,-489.00000,-5534.00000,-69.00000,1611.00000,2563.00000,1976.00000,-5534.00000
2019-10-31,2724.00000,5808.00000,1349.00000,7157.00000,486.00000,250.00000,-42.00000,-584.00000,-184.00000,9697.00000,-344.00000,,-15076.00000,,,-2.00000,-15422.00000,13234.00000,13234.00000,-6154.00000,-2475.00000,-4235.00000,-36.00000,6488.00000,763.00000,2185.00000,-4235.00000
2018-10-31,12610.00000,4081.00000,-6855.00000,-2774.00000,-652.00000,417.00000,-325.00000,-402.00000,-956.00000,8880.00000,-396.00000,,-4027.00000,-249.00000,-249.00000,-2.00000,-4674.00000,-973.00000,-973.00000,-7102.00000,-7102.00000,-2998.00000,-45.00000,-11118.00000,-6912.00000,1227.00000,-2998.00000
2017-10-31,1784.00000,4737.00000,1016.00000,5753.00000,-267.00000,-39.00000,-97.00000,-692.00000,-986.00000,6551.00000,-628.00000,,-30.00000,-7.00000,-7.00000,-9.00000,-674.00000,3758.00000,3758.00000,257.00000,257.00000,-1745.00000,-40.00000,2230.00000,8107.00000,921.00000,-1745.00000
2016-10-31,-1861.00000,3078.00000,1711.00000,4789.00000,-491.00000,996.00000,33.00000,-218.00000,483.00000,3411.00000,-718.00000,,-9157.00000,46.00000,46.00000,-11.00000,-9840.00000,8193.00000,8193.00000,295.00000,295.00000,-750.00000,-34.00000,7704.00000,1275.00000,679.00000,-750.00000
2015-10-31,1364.00000,984.00000,6.00000,990.00000,-187.00000,62.00000,29.00000,52.00000,-36.00000,2318.00000,-483.00000,,256.00000,-14.00000,-14.00000,,-241.00000,-1817.00000,-1817.00000,241.00000,241.00000,-408.00000,125.00000,-1859.00000,218.00000,232.00000,-408.00000
2014-10-31,263.00000,639.00000,22.00000,661.00000,-70.00000,193.00000,13.00000,95.00000,251.00000,1175.00000,-409.00000,,-5511.00000,35.00000,35.00000,,-5885.00000,5588.00000,5588.00000,112.00000,112.00000,-284.00000,-87.00000,5329.00000,619.00000,163.00000,-284.00000
2013-10-31,552.00000,188.00000,51.00000,239.00000,-26.00000,-55.00000,22.00000,-42.00000,-69.00000,722.00000,-236.00000,,-414.00000,-2.00000,-2.00000,,-652.00000,,,6.00000,6.00000,-198.00000,23.00000,-169.00000,-99.00000,77.00000,-198.00000
2012-10-31,563.00000,155.00000,63.00000,218.00000,-13.00000,,-2.00000,-45.00000,-88.00000,693.00000,-241.00000,,-4.00000,,,1.00000,-244.00000,-2.00000,-2.00000,-66.00000,-66.00000,-137.00000,11.00000,-194.00000,255.00000,53.00000,-137.00000
2011-10-31,552.00000,158.00000,51.00000,209.00000,-42.00000,-5.00000,25.00000,-20.00000,-35.00000,726.00000,-112.00000,-1.00000,-8.00000,,,-1.00000,-122.00000,-233.00000,-233.00000,-23.00000,-23.00000,-86.00000,6.00000,-336.00000,268.00000,38.00000,-86.00000
2010-10-31,415.00000,161.00000,33.00000,194.00000,-96.00000,-26.00000,23.00000,-27.00000,-99.00000,510.00000,-77.00000,,-9.00000,,,,-86.00000,-366.00000,-366.00000,28.00000,28.00000,,3.00000,-335.00000,89.00000,25.00000,0.00000
2009-10-31,-44.00000,164.00000,25.00000,189.00000,,27.00000,-16.00000,2.00000,-6.00000,139.00000,-57.00000,-1.00000,-5.00000,,,,-63.00000,-115.00000,-115.00000,298.00000,298.00000,,,183.00000,259.00000,12.00000,
