,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,3058.00000,451.00000,1250.00000,1701.00000,-1228.00000,-695.00000,1795.00000,6554.00000,-368.00000,,-768.00000,32.00000,-736.00000,586.00000,-518.00000,1741.00000,1741.00000,-6621.00000,-6621.00000,-17.00000,-4897.00000,1099.00000,404.00000
2021-12-31,1165.00000,421.00000,965.00000,1386.00000,-1002.00000,-268.00000,269.00000,2820.00000,-304.00000,-1185.00000,-17.00000,508.00000,491.00000,,-998.00000,-1053.00000,-1053.00000,-163.00000,-163.00000,-23.00000,-1239.00000,570.00000,376.00000
2020-12-31,59.00000,1520.00000,-474.00000,1046.00000,891.00000,355.00000,-1020.00000,85.00000,-286.00000,,-74.00000,2997.00000,2923.00000,,2637.00000,2864.00000,2864.00000,-1303.00000,-1303.00000,-33.00000,1528.00000,4250.00000,255.00000
2019-12-31,4865.00000,527.00000,14.00000,541.00000,-323.00000,-698.00000,-541.00000,4865.00000,-368.00000,-9.00000,-672.00000,8099.00000,7427.00000,,7050.00000,,-25.00000,-8187.00000,-8187.00000,-8.00000,-8220.00000,3687.00000,325.00000
2018-12-31,3998.00000,485.00000,730.00000,1215.00000,-319.00000,-191.00000,125.00000,5338.00000,-442.00000,-273.00000,-2686.00000,5616.00000,2930.00000,,2215.00000,-1487.00000,-1462.00000,-5971.00000,-5971.00000,2.00000,-7431.00000,82.00000,331.00000
2017-12-31,2341.00000,442.00000,301.00000,743.00000,-270.00000,1161.00000,1578.00000,4662.00000,-288.00000,-553.00000,-6941.00000,3580.00000,-3361.00000,,-4202.00000,1759.00000,1759.00000,-1828.00000,-1828.00000,-10.00000,-79.00000,481.00000,261.00000
2016-12-31,2135.00000,1327.00000,308.00000,1635.00000,-284.00000,-16.00000,214.00000,3984.00000,-220.00000,-49.00000,3684.00000,-6748.00000,-3064.00000,,-3333.00000,995.00000,995.00000,-996.00000,-996.00000,,-1.00000,604.00000,250.00000
2015-12-31,2551.36000,346.75900,313.63300,660.39200,-68.69400,-105.52000,-8.22900,3203.52300,-173.91500,-140.33800,5084.23800,-8669.69000,-3585.45300,5.17800,-3894.52700,2251.40500,2251.40500,-3067.98800,-3067.98800,-14.70500,-831.28800,-1671.42300,249.13300
2014-12-31,2421.75300,267.78000,250.25900,518.03900,-182.20900,-47.05600,-25.39500,2914.39700,-131.50400,-2496.36600,10902.50000,-10552.21000,350.28610,-80.30700,-2357.89100,2139.61700,2139.61700,-733.98900,-733.98900,23.36600,1428.99400,1849.02400,189.29200
2013-12-31,1892.79800,181.59100,174.10600,355.69700,-111.57200,-17.65000,52.94100,2301.43600,-84.44500,-331.91800,8291.28300,-9955.80000,-1664.51700,-81.38700,-2162.26700,564.41310,564.41310,-984.43800,-984.43800,16.51400,-403.51100,-246.35500,142.09800
2012-12-31,1424.03700,110.17300,107.72500,217.89800,-105.27700,-6.92900,143.81500,1785.75000,-55.15800,-33.86100,-1553.08300,,-1553.08300,79.38900,-1562.71300,999.99900,999.99900,-315.41700,-315.41700,-15.72700,668.85500,903.51300,72.03500
2011-12-31,1059.13100,77.59800,120.30400,197.90200,-125.79300,0.24700,84.77900,1341.81200,-46.83300,-68.19200,-775.83400,,-775.83400,-13.90900,-904.76800,-0.21300,-0.21300,-171.85500,-171.85500,21.04100,-151.02700,273.86900,66.19400
2010-12-31,528.14200,73.90600,124.37200,198.27800,-29.27500,-4.59800,50.87700,777.29700,-22.59300,-112.40500,-741.36300,,-741.36300,35.26300,-841.09800,279.59900,279.59900,-99.38300,-99.38300,32.74100,212.95700,156.82600,68.39600
2009-12-31,489.47200,59.86100,-107.33800,-47.47700,-22.76700,3.64500,67.67000,509.66500,-15.10600,-1.50000,,-481.05800,-481.05800,-3.79600,-501.46000,-197.12200,-197.12200,26.01300,26.01300,2.14900,-168.96000,-162.40900,40.67100
