,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1020.58400,752.20200,-282.79800,469.40410,-7.62100,-186.18000,-207.58900,1282.39900,-1381.46500,4.90200,4.90200,-226.23900,-1602.80200,1479.55700,-145.00000,1334.55700,-0.35200,-0.35200,-685.01900,-93.12900,556.05700,235.65400,52.02600,-685.01900
2021-12-31,631.93200,720.85200,4.52900,725.38100,4.82000,-238.09200,-224.08600,1133.22700,-971.20100,1.45100,1.45100,-70.20600,-1039.95600,-275.16190,145.00000,-130.16190,24.21400,-175.78600,-683.75300,-321.74100,-1311.44200,-1218.17100,50.86000,-683.75300
2020-12-31,1018.69100,685.98500,-437.86600,248.11890,22.55000,-144.67200,-109.97000,1156.84000,-505.52900,2.55100,2.55100,-110.74100,-613.71900,1230.95700,,1230.95700,3.27700,3.27700,-688.90400,-61.00800,484.32200,1027.44300,44.14200,-688.90400
2019-12-31,651.99900,680.17600,79.46400,759.64000,-24.87600,-219.08300,-230.47400,1181.16500,-1036.65400,-2.13200,-2.13200,23.69500,-1015.09100,802.19400,,802.19400,13.71000,13.71000,-666.29400,-262.98900,-113.37900,52.69500,40.95800,-666.29400
2018-12-31,712.56300,645.64900,-86.77100,558.87800,29.20400,-156.99000,-121.19600,1150.24500,-639.18710,-0.90200,-0.90200,-458.78700,-1098.87600,776.90590,-45.00000,731.90590,-0.73000,-0.73000,-587.62800,-61.09500,82.45300,133.82200,40.11700,-587.62800
2017-12-31,562.48100,617.54700,35.88600,653.43300,2.43300,-156.32900,-303.93500,911.97900,-1022.36000,-1.66900,-1.66900,141.98500,-882.04400,605.34500,45.00000,650.34500,0.24100,0.24100,-526.57800,-68.66200,55.34600,85.28100,35.36100,-526.57800
2016-12-31,569.97700,694.40300,-125.35500,569.04800,3.68800,-177.37800,-104.47700,1034.54800,-836.53800,-1.16100,-1.16100,-499.64800,-1337.34700,662.18010,,662.18010,-0.27100,-0.27100,-671.62600,-64.90400,-74.62100,-377.42000,32.91100,-671.62600
2015-12-31,799.91800,639.54200,-380.79400,258.74800,-46.32600,-233.47300,-259.25500,799.41100,-29.39110,-668.90900,-668.90900,418.07400,-280.22600,-55.15700,,-55.15700,0.79900,0.16600,-1226.19900,-277.35600,-1558.54600,-1039.36100,29.18300,-1226.19900
2014-12-31,526.05700,628.57300,-280.68100,347.89200,12.86900,-191.17700,-178.39600,695.55300,-179.23000,-1.78000,-1.78000,-484.11400,-665.12400,-1290.29500,,-1290.29500,1.92300,-15.45000,-840.26400,1513.52200,-632.48700,-602.05800,28.09900,-840.26400
2013-12-31,841.44000,565.39700,-561.83200,3.56500,-0.44300,-101.04600,-67.07900,777.92600,-848.90310,-1.55800,-1.55800,317.82100,-532.64000,720.97410,,720.97410,-0.33400,150.21900,-451.11800,657.79800,1077.87300,1323.15900,45.15500,-451.11800
2012-12-31,332.13900,454.04400,-38.03100,416.01300,23.15500,-135.56800,-105.20300,642.94900,-1272.09100,-1.23500,-1.23500,-4.70600,-1278.03200,12.21800,,12.21800,247.25300,228.92400,-372.89900,-14.39000,-146.14700,-781.23000,29.67900,-372.89900
2011-12-31,313.82600,439.18400,34.92500,474.10900,-19.39600,-175.64900,-181.60700,606.32800,-478.43000,-1.25900,266.24100,122.09300,-90.09600,729.89810,,729.89810,448.70400,448.70400,-332.59700,-17.97700,828.02800,1344.26000,29.67200,-332.59700
2010-12-31,190.32700,338.37100,52.77300,391.14400,-5.11500,-153.89300,-205.57800,375.89300,-850.51900,2.14900,-265.35100,-45.40400,-1161.27400,162.68910,,162.68910,22.59300,22.59300,-324.68600,-45.20000,-184.60400,-969.98500,32.85200,-324.68600
2009-12-31,274.49900,321.68100,92.90000,414.58100,1.84400,-97.32200,-71.70400,617.37600,-442.84400,4.07800,4.07800,-7.83500,-446.60100,682.20800,-125.00000,557.20800,,,-357.32800,836.76800,1036.64800,1207.42300,26.63600,-357.32800
