,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,235.00000,630.10000,-129.90000,500.20000,-49.80000,-153.00000,-84.10000,651.10000,-59.80000,-708.30000,-67.00000,-67.00000,,-835.10000,445.10000,445.10000,-109.80000,-109.80000,-209.40000,-44.20000,81.70000,-112.30000,30.70000,-209.40000
2021-12-31,529.00000,169.60000,11.80000,181.40000,12.00000,-218.00000,-113.60000,596.80000,-51.00000,-150.90000,-150.80000,-150.80000,,-352.70000,90.00000,90.00000,-87.50000,-87.50000,-193.30000,-9.50000,-200.30000,34.70000,26.60000,-193.30000
2020-12-31,468.20000,160.50000,-13.30000,147.20000,-90.00000,840.90000,843.40000,1458.80000,-47.40000,-351.50000,-31.60000,-31.60000,,-430.50000,338.70000,338.70000,-363.10000,-363.10000,-170.60000,-6.70000,-201.70000,828.20000,21.70000,-170.60000
2019-12-31,370.80000,189.30000,20.60000,209.90000,50.30000,-7.10000,52.10000,632.80000,-35.10000,,-10.80000,-10.80000,30.00000,-15.90000,-350.00000,-350.00000,-158.60000,-158.60000,-150.00000,-4.30000,-662.90000,-45.80000,21.80000,-150.00000
2018-12-31,425.20000,206.50000,-10.20000,196.30000,-70.30000,-46.60000,-86.80000,534.70000,-36.30000,,10.70000,10.70000,,-25.60000,-25.00000,-25.00000,-159.70000,-159.70000,-130.30000,-56.60000,-371.60000,131.60000,35.10000,-130.30000
2017-12-31,400.60000,195.80000,-167.90000,27.90000,-20.60000,-41.60000,-54.10000,374.40000,-37.50000,-1414.10000,15.10000,15.10000,,-1436.50000,1243.90000,1243.90000,-24.10000,-24.10000,-118.10000,-2.00000,1099.70000,46.20000,52.60000,-118.10000
2016-12-31,185.70000,44.40000,3.10000,47.50000,-8.40000,-1.20000,-3.60000,229.60000,-44.40000,-14.30000,-23.70000,-23.70000,-2.00000,-84.40000,,,-64.60000,-64.60000,-78.50000,-7.10000,-150.20000,-5.00000,14.50000,-78.50000
2015-12-31,205.00000,46.30000,3.80000,50.10000,0.20000,1.00000,-9.80000,245.30000,-39.30000,-3.00000,-37.10000,-37.10000,,-79.40000,,,-135.40000,-135.40000,-73.40000,-2.70000,-211.50000,-45.60000,12.20000,-73.40000
2014-12-31,189.71400,40.00000,20.16600,60.16600,-8.49800,2.29700,12.77700,262.65700,-50.15400,,-1.98700,-1.98700,0.00300,-52.13800,,,-176.66000,-176.66000,-110.83000,3.55700,-283.93300,-73.41400,15.57700,-110.83000
2013-12-31,175.99900,34.60200,15.90200,50.50400,-4.22200,-2.14200,-2.12300,224.38000,-28.67300,,-2.53200,-2.53200,0.00800,-31.19700,,,-51.42600,-51.42600,-58.36900,2.35600,-107.43900,85.74400,20.82300,-58.36900
2012-12-31,157.39500,31.57300,13.54900,45.12200,-8.08800,1.28200,-1.98200,200.53500,-30.06600,,-2.91100,-2.91100,,-32.97700,,,-52.87200,-52.87200,-114.02500,,-166.89700,0.66100,12.34800,-114.02500
2011-12-31,139.40600,34.18400,15.59400,49.77800,0.16800,0.19200,13.94500,203.12900,-29.14300,,-1.25000,-1.25000,0.11200,-30.28100,,,-51.32900,-51.32900,-40.37200,,-91.70100,81.14700,12.61800,-40.37200
2010-12-31,99.39600,29.96000,23.25800,53.21800,-7.30900,-3.45400,-17.70100,134.91300,-23.55600,,-7.99000,-7.99000,-0.99800,-32.54400,,,0.79100,0.79100,-133.07800,-300.02300,-432.31000,-329.94100,20.80100,-133.07800
2009-12-31,106.45100,27.72500,2.45400,30.17900,-0.95900,-22.37400,-23.86400,112.76600,-37.99700,,,,27.65700,-10.34000,,,,,,-0.11900,-0.11900,102.30700,,
