,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,4165.00000,4247.00000,762.00000,5009.00000,-2971.00000,-1435.00000,4260.00000,7149.00000,7003.00000,16177.00000,-2727.00000,-1388.00000,-7746.00000,6729.00000,-1017.00000,85.00000,-5047.00000,-4211.00000,,-4211.00000,-2949.00000,-2949.00000,-2907.00000,-449.00000,-10516.00000,614.00000,447.00000,-2907.00000
2021-12-31,7898.00000,4943.00000,1476.00000,6419.00000,-2703.00000,735.00000,2898.00000,3018.00000,3948.00000,18265.00000,-2520.00000,-146.00000,-9963.00000,7246.00000,-2717.00000,122.00000,-5261.00000,-9267.00000,,-9267.00000,549.00000,549.00000,-2625.00000,-13.00000,-11356.00000,1648.00000,484.00000,-2625.00000
2020-12-31,7192.00000,4441.00000,1073.00000,5514.00000,-1510.00000,-973.00000,2769.00000,2873.00000,3159.00000,15865.00000,-2437.00000,-26.00000,-9639.00000,6467.00000,-3172.00000,101.00000,-5534.00000,-5673.00000,,-5673.00000,264.00000,264.00000,-2624.00000,337.00000,-7696.00000,2635.00000,400.00000,-2624.00000
2019-12-31,6631.00000,4371.00000,347.00000,4718.00000,-2158.00000,-1075.00000,3550.00000,1182.00000,1499.00000,12848.00000,-2457.00000,-444.00000,-7534.00000,7049.00000,-485.00000,47.00000,-3339.00000,-4600.00000,-720.00000,-5320.00000,210.00000,210.00000,-2603.00000,59.00000,-7654.00000,1855.00000,453.00000,-2603.00000
2018-12-31,-596.00000,8867.00000,706.00000,9573.00000,-1139.00000,-1153.00000,2329.00000,-149.00000,-112.00000,8865.00000,-2037.00000,-41394.00000,,125.00000,125.00000,21.00000,-43285.00000,38821.00000,-556.00000,38265.00000,242.00000,242.00000,-2038.00000,350.00000,36819.00000,2395.00000,280.00000,-2038.00000
2017-12-31,6623.00000,2660.00000,-860.00000,1800.00000,-941.00000,-514.00000,1710.00000,-671.00000,-416.00000,8007.00000,-1918.00000,-1181.00000,,-76.00000,-76.00000,298.00000,-2877.00000,,-598.00000,-598.00000,-4032.00000,-4032.00000,-2049.00000,-72.00000,-6751.00000,-1620.00000,234.00000,-2049.00000
2016-12-31,5319.00000,2475.00000,1018.00000,3493.00000,-243.00000,-742.00000,2189.00000,125.00000,1329.00000,10141.00000,-2224.00000,-524.00000,-80.00000,91.00000,11.00000,267.00000,-2470.00000,-2488.00000,1874.00000,-614.00000,-4165.00000,-4165.00000,-1840.00000,-142.00000,-6761.00000,912.00000,222.00000,-1840.00000
2015-12-31,5239.00000,2092.00000,-36.00000,2056.00000,-1594.00000,-1141.00000,2834.00000,253.00000,1244.00000,8539.00000,-2332.00000,-11475.00000,-267.00000,243.00000,-24.00000,411.00000,-13420.00000,11903.00000,-685.00000,11218.00000,-4639.00000,-4639.00000,-1576.00000,-124.00000,4879.00000,-22.00000,230.00000,-1576.00000
2014-12-31,4644.00000,1931.00000,628.00000,2559.00000,-737.00000,-770.00000,1742.00000,-361.00000,934.00000,8137.00000,-2125.00000,-2439.00000,4.00000,,4.00000,515.00000,-4045.00000,-1617.00000,685.00000,-932.00000,-3580.00000,-3580.00000,-1288.00000,106.00000,-5694.00000,-1608.00000,165.00000,-1288.00000
2013-12-31,4592.00000,1870.00000,55.00000,1925.00000,-2210.00000,12.00000,1024.00000,-31.00000,-734.00000,5783.00000,-1930.00000,-415.00000,-90.00000,,-90.00000,600.00000,-1835.00000,3964.00000,-690.00000,3274.00000,-3476.00000,-3476.00000,-1097.00000,62.00000,-1237.00000,2714.00000,141.00000,-1097.00000
2012-12-31,3862.00000,1753.00000,369.00000,2122.00000,-387.00000,-853.00000,1147.00000,14.00000,687.00000,6671.00000,-2007.00000,-371.00000,0.00000,,,529.00000,-1849.00000,-479.00000,-60.00000,-539.00000,-3494.00000,-3494.00000,-829.00000,2.00000,-4860.00000,-38.00000,132.00000,-829.00000
2011-12-31,3458.00000,1568.00000,226.00000,1794.00000,-748.00000,586.00000,1128.00000,-467.00000,604.00000,5856.00000,-1868.00000,-1191.00000,57.00000,,57.00000,592.00000,-2410.00000,-659.00000,450.00000,-209.00000,-2570.00000,-2570.00000,-674.00000,-7.00000,-3460.00000,-14.00000,135.00000,-674.00000
2010-12-31,3424.00000,1469.00000,180.00000,1649.00000,532.00000,-352.00000,-40.00000,-258.00000,-294.00000,4779.00000,-1971.00000,-177.00000,1.00000,,1.00000,507.00000,-1640.00000,-1112.00000,-15.00000,-1127.00000,-1215.00000,-1215.00000,-479.00000,23.00000,-2798.00000,341.00000,150.00000,-479.00000
2009-12-31,3696.00000,1389.00000,213.00000,1602.00000,-86.00000,-1199.00000,4.00000,84.00000,-1263.00000,4035.00000,-2525.00000,-101.00000,-5.00000,,-5.00000,1562.00000,-1069.00000,2147.00000,-2729.00000,-582.00000,-2227.00000,-2227.00000,-439.00000,16.00000,-3232.00000,-266.00000,165.00000,-439.00000
