,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-03-31,736.00000,1742.00000,81.00000,1823.00000,228.00000,-262.00000,-1063.00000,1501.00000,-449.00000,533.00000,24.00000,24.00000,-168.00000,-60.00000,-925.00000,163.00000,-762.00000,-615.00000,-615.00000,,-441.00000,-1818.00000,-296.00000,101.00000,0.00000
2021-03-31,-146.00000,1991.00000,-864.00000,1127.00000,257.00000,-981.00000,-817.00000,124.00000,-351.00000,5131.00000,0.00000,,-115.00000,4665.00000,-3489.00000,-1866.00000,-5355.00000,1.00000,1.00000,-53.00000,-69.00000,-5476.00000,-711.00000,56.00000,-53.00000
2020-03-31,-5358.00000,8750.00000,512.00000,9262.00000,269.00000,-1073.00000,-1566.00000,2350.00000,-512.00000,-1997.00000,-37.00000,-37.00000,409.00000,-2137.00000,294.00000,1363.00000,1657.00000,-725.00000,-725.00000,-214.00000,-61.00000,657.00000,780.00000,68.00000,-214.00000
2019-03-31,1262.00000,2013.00000,171.00000,2184.00000,-947.00000,-706.00000,-1812.00000,1783.00000,-201.00000,-430.00000,0.00000,,700.00000,69.00000,-1170.00000,-93.00000,-1263.00000,-1297.00000,-1297.00000,-210.00000,1107.00000,-1663.00000,170.00000,74.00000,-210.00000
2018-03-31,1782.00000,2010.00000,-864.00000,1146.00000,-464.00000,-66.00000,-323.00000,2567.00000,-377.00000,735.00000,,,361.00000,719.00000,-997.00000,-621.00000,-1618.00000,6.00000,6.00000,-174.00000,-104.00000,-1890.00000,1461.00000,93.00000,-174.00000
2017-03-31,-100.00000,675.00000,105.00000,780.00000,-25.00000,-96.00000,-99.00000,619.00000,-329.00000,-431.00000,,,195.00000,-565.00000,-154.00000,236.00000,82.00000,54.00000,54.00000,-78.00000,35.00000,93.00000,87.00000,75.00000,-78.00000
2016-03-31,263.00000,767.00000,195.00000,962.00000,129.00000,-242.00000,-412.00000,802.00000,-479.00000,-517.00000,-70.00000,-70.00000,-114.00000,-1180.00000,-941.00000,939.00000,-2.00000,9.00000,9.00000,-430.00000,-62.00000,-485.00000,-920.00000,45.00000,-430.00000
2015-03-31,17.00000,977.00000,407.00000,1384.00000,237.00000,165.00000,56.00000,1473.00000,-425.00000,-62.00000,0.00000,,-49.00000,-536.00000,-242.00000,-32.00000,-274.00000,-646.00000,-646.00000,-128.00000,-30.00000,-1078.00000,-345.00000,68.00000,-128.00000
2014-03-31,968.00000,1018.00000,-77.00000,941.00000,168.00000,-38.00000,-291.00000,1577.00000,-579.00000,58.00000,0.00000,,-45.00000,-566.00000,-492.00000,439.00000,-53.00000,-307.00000,-307.00000,-119.00000,-137.00000,-616.00000,389.00000,73.00000,-119.00000
2013-03-31,779.00000,1070.00000,-311.00000,759.00000,55.00000,292.00000,-379.00000,1119.00000,-525.00000,1074.00000,,,-93.00000,456.00000,-161.00000,-41.00000,-202.00000,-228.00000,-228.00000,-124.00000,-35.00000,-589.00000,961.00000,49.00000,-124.00000
2012-03-31,-602.00000,1371.00000,771.00000,2142.00000,240.00000,-318.00000,-369.00000,1176.00000,-785.00000,-372.00000,,,-151.00000,-1308.00000,-485.00000,20.00000,-465.00000,15.00000,15.00000,-124.00000,-7.00000,-581.00000,-744.00000,36.00000,-124.00000
2011-03-31,759.00000,1140.00000,92.00000,1232.00000,170.00000,-320.00000,-429.00000,1564.00000,-722.00000,-39.00000,,,-131.00000,-892.00000,-92.00000,-1494.00000,-1586.00000,8.00000,8.00000,-77.00000,-21.00000,-1676.00000,-947.00000,56.00000,-77.00000
2010-03-31,834.00000,1156.00000,71.00000,1227.00000,70.00000,54.00000,-420.00000,1643.00000,-669.00000,9.00000,,,-130.00000,-790.00000,-537.00000,-7.00000,-544.00000,97.00000,97.00000,,-40.00000,-487.00000,487.00000,64.00000,0.00000
2009-03-31,1123.00000,1270.00000,478.00000,1748.00000,224.00000,72.00000,-847.00000,1986.00000,-785.00000,-100.00000,,,-153.00000,-1038.00000,-532.00000,1265.00000,733.00000,9.00000,9.00000,,,742.00000,1598.00000,54.00000,0.00000
